row_index,model_a,model_b,mean,min,max
327954,minilm,biobert,0.064,0.04,0.12
327954,minilm,simcse,0.092,0.04,0.12
327954,pubmedbert,biobert,0.28400000000000003,0.2,0.36
327954,pubmedbert,simcse,0.172,0.08,0.24
327954,biobert,simcse,0.21600000000000003,0.16,0.28
93549,specter,specter2,0.144,0.04,0.24
93549,specter,scincl,0.188,0.08,0.32
93549,specter,scibert,0.09999999999999999,0.0,0.24
93549,specter,bert,0.068,0.0,0.12
93549,specter,mpnet,0.24800000000000005,0.12,0.4
93549,specter,minilm,0.22400000000000003,0.12,0.32
93549,specter,pubmedbert,0.10799999999999998,0.04,0.24
93549,specter,biobert,0.10799999999999998,0.0,0.2
93549,specter,simcse,0.148,0.04,0.28
93549,specter2,scincl,0.13999999999999999,0.0,0.24
93549,specter2,scibert,0.152,0.08,0.24
93549,specter2,bert,0.14399999999999996,0.08,0.24
93549,specter2,mpnet,0.152,0.08,0.24
93549,specter2,minilm,0.24000000000000005,0.12,0.28
93549,specter2,pubmedbert,0.22800000000000004,0.08,0.32
93549,specter2,biobert,0.21600000000000003,0.12,0.32
93549,specter2,simcse,0.192,0.08,0.28
93549,scincl,scibert,0.28,0.12,0.52
93549,scincl,bert,0.11200000000000002,0.04,0.2
93549,scincl,mpnet,0.22000000000000003,0.08,0.36
93549,scincl,minilm,0.23200000000000004,0.16,0.36
93549,scincl,pubmedbert,0.25200000000000006,0.08,0.44
93549,scincl,biobert,0.20400000000000001,0.04,0.36
93549,scincl,simcse,0.13200000000000003,0.04,0.2
93549,scibert,bert,0.33999999999999997,0.28,0.44
93549,scibert,mpnet,0.124,0.04,0.24
93549,scibert,minilm,0.148,0.08,0.24
93549,scibert,pubmedbert,0.6839999999999999,0.56,0.76
93549,scibert,biobert,0.5279999999999999,0.48,0.6
93549,scibert,simcse,0.21600000000000003,0.16,0.28
93549,bert,mpnet,0.10400000000000001,0.04,0.2
93549,bert,minilm,0.14000000000000004,0.08,0.24
93549,bert,pubmedbert,0.352,0.28,0.44
93549,bert,biobert,0.36,0.2,0.44
93549,bert,simcse,0.404,0.32,0.52
93549,mpnet,minilm,0.45200000000000007,0.28,0.52
93549,mpnet,pubmedbert,0.10800000000000001,0.04,0.2
93549,mpnet,biobert,0.11200000000000002,0.04,0.24
93549,mpnet,simcse,0.16399999999999998,0.08,0.28
93549,minilm,pubmedbert,0.13200000000000003,0.04,0.2
93549,minilm,biobert,0.16399999999999998,0.08,0.2
93549,minilm,simcse,0.22400000000000003,0.08,0.36
93549,pubmedbert,biobert,0.6239999999999999,0.56,0.72
93549,pubmedbert,simcse,0.184,0.12,0.28
93549,biobert,simcse,0.196,0.04,0.32
14405,specter,specter2,0.156,0.12,0.2
14405,specter,scincl,0.36,0.28,0.44
14405,specter,scibert,0.26400000000000007,0.24,0.28
14405,specter,bert,0.10800000000000001,0.08,0.16
14405,specter,mpnet,0.23600000000000004,0.2,0.28
14405,specter,minilm,0.22400000000000003,0.16,0.28
14405,specter,pubmedbert,0.10800000000000001,0.08,0.16
14405,specter,biobert,0.156,0.08,0.2
14405,specter,simcse,0.1,0.04,0.16
14405,specter2,scincl,0.352,0.28,0.44
14405,specter2,scibert,0.15999999999999998,0.12,0.2
14405,specter2,bert,0.16399999999999998,0.08,0.24
14405,specter2,mpnet,0.38,0.32,0.52
14405,specter2,minilm,0.356,0.28,0.44
14405,specter2,pubmedbert,0.184,0.12,0.24
14405,specter2,biobert,0.144,0.08,0.2
14405,specter2,simcse,0.144,0.08,0.2
14405,scincl,scibert,0.11200000000000002,0.08,0.16
14405,scincl,bert,0.028000000000000004,0.0,0.04
14405,scincl,mpnet,0.5599999999999999,0.44,0.64
14405,scincl,minilm,0.42800000000000005,0.32,0.48
14405,scincl,pubmedbert,0.1,0.04,0.12
14405,scincl,biobert,0.068,0.04,0.12
14405,scincl,simcse,0.048,0.0,0.08
14405,scibert,bert,0.33599999999999997,0.28,0.44
14405,scibert,mpnet,0.22000000000000003,0.16,0.28
14405,scibert,minilm,0.21600000000000003,0.2,0.24
14405,scibert,pubmedbert,0.5360000000000001,0.48,0.6
14405,scibert,biobert,0.5199999999999999,0.48,0.6
14405,scibert,simcse,0.184,0.12,0.24
14405,bert,mpnet,0.10400000000000001,0.08,0.16
14405,bert,minilm,0.22400000000000003,0.16,0.28
14405,bert,pubmedbert,0.41200000000000003,0.36,0.52
14405,bert,biobert,0.33999999999999997,0.28,0.44
14405,bert,simcse,0.5600000000000002,0.52,0.64
14405,mpnet,minilm,0.5440000000000002,0.48,0.6
14405,mpnet,pubmedbert,0.18,0.12,0.24
14405,mpnet,biobert,0.13600000000000004,0.08,0.2
14405,mpnet,simcse,0.07999999999999999,0.04,0.12
14405,minilm,pubmedbert,0.22000000000000003,0.16,0.28
14405,minilm,biobert,0.16399999999999998,0.12,0.2
14405,minilm,simcse,0.22400000000000003,0.16,0.28
14405,pubmedbert,biobert,0.568,0.48,0.68
14405,pubmedbert,simcse,0.304,0.24,0.4
14405,biobert,simcse,0.22400000000000003,0.12,0.36
329824,specter,specter2,0.184,0.16,0.2
329824,specter,scincl,0.25600000000000006,0.2,0.28
329824,specter,scibert,0.26800000000000007,0.24,0.28
329824,specter,bert,0.312,0.28,0.36
329824,specter,mpnet,0.11599999999999999,0.08,0.16
329824,specter,minilm,0.14,0.12,0.16
329824,specter,pubmedbert,0.3,0.28,0.32
329824,specter,biobert,0.23200000000000004,0.2,0.24
329824,specter,simcse,0.196,0.16,0.24
329824,specter2,scincl,0.22400000000000003,0.2,0.24
329824,specter2,scibert,0.1,0.04,0.16
329824,specter2,bert,0.13599999999999998,0.12,0.16
329824,specter2,mpnet,0.22800000000000004,0.2,0.24
329824,specter2,minilm,0.188,0.16,0.2
329824,specter2,pubmedbert,0.1,0.08,0.12
329824,specter2,biobert,0.13999999999999999,0.12,0.16
329824,specter2,simcse,0.12000000000000002,0.08,0.16
329824,scincl,scibert,0.30400000000000005,0.28,0.36
329824,scincl,bert,0.23200000000000004,0.2,0.24
329824,scincl,mpnet,0.11199999999999999,0.08,0.12
329824,scincl,minilm,0.184,0.16,0.2
329824,scincl,pubmedbert,0.2,0.16,0.24
329824,scincl,biobert,0.192,0.16,0.24
329824,scincl,simcse,0.12000000000000002,0.12,0.12
329824,scibert,bert,0.348,0.32,0.4
329824,scibert,mpnet,0.11199999999999999,0.08,0.12
329824,scibert,minilm,0.076,0.04,0.08
329824,scibert,pubmedbert,0.5440000000000002,0.48,0.56
329824,scibert,biobert,0.4720000000000001,0.44,0.56
329824,scibert,simcse,0.25600000000000006,0.2,0.28
329824,bert,mpnet,0.31999999999999995,0.28,0.36
329824,bert,minilm,0.3000000000000001,0.24,0.36
329824,bert,pubmedbert,0.5,0.44,0.52
329824,bert,biobert,0.31599999999999995,0.28,0.36
329824,bert,simcse,0.6199999999999999,0.56,0.64
329824,mpnet,minilm,0.5640000000000001,0.52,0.64
329824,mpnet,pubmedbert,0.14400000000000002,0.12,0.16
329824,mpnet,biobert,0.14800000000000002,0.12,0.16
329824,mpnet,simcse,0.42400000000000004,0.4,0.44
329824,minilm,pubmedbert,0.14400000000000004,0.12,0.2
329824,minilm,biobert,0.10400000000000001,0.08,0.12
329824,minilm,simcse,0.4,0.32,0.44
329824,pubmedbert,biobert,0.584,0.56,0.6
329824,pubmedbert,simcse,0.30000000000000004,0.24,0.32
