field_id,cka_biased,cka_debiased,model,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
33,0.9750961637207118,0.9749120553892489,pubmedbert/mean,native,common,2000,11.07428199573417,0.9813789812859213
33,0.9748924994628096,0.9746649702486493,biobert/mean,native,common,2000,11.045065463842178,0.9814768007779616
33,0.9835078590085234,0.9830888895604228,simcse/cls,native,common,2000,9.733194319064651,0.9856056893211892
34,0.9912128492502361,0.9910837878010221,specter/cls,native,common,2000,8.459072618031428,0.9891211938897972
34,0.9866363690431084,0.9863127630025194,specter2/cls,native,common,2000,11.008850519848618,0.9815976973350322
34,0.9905456990491105,0.9903921841573893,scincl/cls,native,common,2000,8.649920989186317,0.9886257177664308
34,0.8948714610518906,0.8928266333049155,scibert/mean,native,common,2000,19.51665813325145,0.9425444004897213
34,0.9433518692456956,0.9425757926634046,bert/mean,native,common,2000,17.920065045008748,0.9514867089038499
34,0.9932297009927465,0.9930920201327998,mpnet/mean,native,common,2000,7.904370524378271,0.9904989760810778
34,0.9998334482038426,0.9998288930967564,minilm/mean,native,common,2000,1.2636477129153425,0.9997568024660393
34,0.8984615134742722,0.8972354673792272,pubmedbert/mean,native,common,2000,18.67445940049475,0.94735310250052
34,0.9334275537779388,0.9319503723221008,biobert/mean,native,common,2000,17.411371857616718,0.9541809571943518
34,0.9473844076126207,0.9463681700018749,simcse/cls,native,common,2000,16.912165698555,0.9567518372577238
35,0.9920370027500859,0.9919348657820689,specter/cls,native,common,2000,8.218073655784504,0.9897311901088304
35,0.9860841644783318,0.9856963091323592,specter2/cls,native,common,2000,10.967563730435632,0.9817350468717098
35,0.9916664215900411,0.9915501544887247,scincl/cls,native,common,2000,8.192688956264215,0.9897944225563905
35,0.8987521489162759,0.8968406321625807,scibert/mean,native,common,2000,18.871468415322767,0.9462465427054982
35,0.9493467863746043,0.9486860715708594,bert/mean,native,common,2000,17.19836883165043,0.9552867803240908
35,0.9920600263405998,0.9918985823233734,mpnet/mean,native,common,2000,8.345578475754447,0.9894106414298718
35,0.999634122397778,0.9996245318839747,minilm/mean,native,common,2000,1.864799363270148,0.9994703967686313
35,0.9076667274574504,0.906447883091243,pubmedbert/mean,native,common,2000,17.786213211831384,0.9522029230630618
35,0.9404215756455343,0.939255565402007,biobert/mean,native,common,2000,16.908820065078668,0.9567688222647452
35,0.9564331123015438,0.955736351410489,simcse/cls,native,common,2000,16.083060753698064,0.9608610990301343
36,0.991065441690948,0.9908794748283279,specter/cls,native,common,2000,7.189167304064589,0.9921383798618296
36,0.9896464303014776,0.9893214363984822,specter2/cls,native,common,2000,8.326866985596,0.98945798915277
36,0.9913841168466967,0.9911970111266691,scincl/cls,native,common,2000,7.146969124642135,0.9922302801930102
36,0.9321843612287374,0.9310418863220116,scibert/mean,native,common,2000,15.80284584826407,0.9622044683398178
36,0.9664990875702076,0.9659542349149658,bert/mean,native,common,2000,13.767088510744308,0.9712711366101529
36,0.9925658155958811,0.9922883143718385,mpnet/mean,native,common,2000,6.765743443874752,0.9930361231360697
36,0.9999080096270105,0.9999039464289324,minilm/mean,native,common,2000,0.8069333080671028,0.9999008271381943
36,0.9439574842055795,0.9434651117817392,pubmedbert/mean,native,common,2000,14.759781227337296,0.9670024605472828
36,0.9593212215516804,0.9587509043083616,biobert/mean,native,common,2000,13.913067688867548,0.9706616665136467
36,0.9697533527900364,0.9690883253494386,simcse/cls,native,common,2000,12.56366755106863,0.9760548948965534
