field_id,period_start,model_a,model_b,median_change_1024_to_2048,central95_width_at2048,median2048_minus_full,passes_operational_screen
12,2000,specter2,bert,0.004040523279677577,0.007313501139365464,0.0002137715368250026,True
12,2000,specter2,mpnet,0.00029285934605560726,0.004984824244579356,9.913145405793244e-05,True
12,2000,specter2,minilm,0.0008682741604603139,0.004918320066464532,1.3005869600735132e-05,True
12,2000,specter2,pubmedbert,0.004764239950780236,0.00895078824975809,0.00011356730627759548,True
12,2000,specter2,biobert,0.003654982955312247,0.009101375360405783,0.0005393143402598888,True
12,2000,specter2,simcse,0.0018590072045169825,0.005257412085033053,-0.000194894297569026,True
12,2000,scincl,scibert,0.0013332314440135384,0.007416444177831605,0.0008966141441538178,True
12,2000,scincl,bert,0.001958872206785811,0.006826329056076941,0.00020464380755325084,True
12,2000,scincl,mpnet,0.0008746223582993817,0.005098612676162517,0.00015556989455023373,True
12,2000,scincl,minilm,0.0009795493551889578,0.005066905373443675,-0.0002714575961897392,True
12,2000,scincl,pubmedbert,0.005273840215303749,0.009562291769535713,1.4188265669956568e-05,True
12,2000,scincl,biobert,0.004287801751318765,0.00861013718118897,0.0007731013235065531,True
12,2000,scincl,simcse,0.0015691652164208092,0.005855798694549941,0.0005918184191326947,True
12,2000,scibert,bert,0.00011851820915498301,0.0028871503764872353,-0.00046962224415125764,True
12,2000,scibert,mpnet,0.0014395289377319154,0.006907954616063194,0.0011680696475929175,True
12,2000,scibert,minilm,0.0014759911013072502,0.007116541847649649,0.0008856095285497689,True
12,2000,scibert,pubmedbert,0.000911383326382964,0.003957995340809761,-0.0004259087959047614,True
12,2000,scibert,biobert,0.0027269169042654084,0.004179096837747309,-0.0006939916500121601,True
12,2000,scibert,simcse,0.0015880065141370414,0.0040771005712129105,-0.0005883532701200789,True
12,2000,bert,mpnet,0.00413742832996894,0.00582348301514185,0.000483852490879344,True
12,2000,bert,minilm,0.0020650806183934445,0.006052930974955351,0.0005009484171526468,True
12,2000,bert,pubmedbert,0.0005895740633511393,0.005348444408941,-0.0007605367028746812,True
12,2000,bert,biobert,0.0020981309970597994,0.004403430831304789,-0.0008698483905947851,True
12,2000,bert,simcse,0.0017361153674487761,0.0032697553156837422,-0.0003905928524819968,True
12,2000,mpnet,minilm,0.0003413827902766231,0.0027841004865358787,7.34013179897186e-05,True
12,2000,mpnet,pubmedbert,0.00043681204149148556,0.007871836296844126,-0.00027180643353352796,True
12,2000,mpnet,biobert,0.003450789409870203,0.007501808749716343,0.0003543278827274343,True
12,2000,mpnet,simcse,0.00297384533268763,0.005425179835738259,0.0005478644452059367,True
12,2000,minilm,pubmedbert,0.002454775118921615,0.008167479564935243,-0.0001810191998465882,True
12,2000,minilm,biobert,0.0018341290955708467,0.007621495026934433,0.0006508470189406923,True
12,2000,minilm,simcse,0.0006427295346078665,0.0054267064629601736,-2.7475416033428957e-05,True
12,2000,pubmedbert,biobert,0.0006368347486367387,0.002571201596157313,-0.00039506353572271724,True
12,2000,pubmedbert,simcse,0.0023272246167960198,0.006970964620220288,-0.0009583458326929417,True
12,2000,biobert,simcse,0.002634466915267031,0.005714801177218565,-0.0010455337583294977,True
12,2005,specter,specter2,0.000682855720229858,0.0034749905145228244,-0.0005128968284994206,True
12,2005,specter,scincl,0.0009587910327999438,0.0030895072995882344,-0.0004568293770306209,True
12,2005,specter,scibert,0.0016003215070354848,0.007070449641559673,-0.0004170455233368786,True
12,2005,specter,bert,0.0014508580485539935,0.006860852499121717,-0.00028914655742168227,True
12,2005,specter,mpnet,0.001548199514938342,0.004932728502036965,-0.0010997708551492291,True
12,2005,specter,minilm,0.0010216720533859913,0.00444833106389575,-0.0009760981988764517,True
12,2005,specter,pubmedbert,0.002140474930038605,0.008288358745118185,-0.0009434617356063324,True
12,2005,specter,biobert,0.0009692368188264355,0.007842424045263807,-0.00012089054274555533,True
12,2005,specter,simcse,0.0006929979816466814,0.006070509772073629,-0.0007053968289469914,True
12,2005,specter2,scincl,0.0006306575082936083,0.0030177432909378465,-0.0009305004359652091,True
12,2005,specter2,scibert,0.0005306586998596874,0.009415478583413406,-0.000342759280722138,True
12,2005,specter2,bert,0.0008551409092355522,0.007489447123838422,-0.000563450013879252,True
12,2005,specter2,mpnet,0.001917798510656099,0.0037100541373403795,-0.0006355958720989374,True
12,2005,specter2,minilm,0.001264089355211162,0.004042595839034435,-0.00043443777540674855,True
12,2005,specter2,pubmedbert,0.00024800421261544914,0.00913048030217023,-0.0013082265280311423,True
12,2005,specter2,biobert,0.0017636075837643705,0.010178701364730702,-0.00023039621945020183,True
12,2005,specter2,simcse,0.0007030119823340786,0.0064704966927737195,-0.0007108629097770658,True
12,2005,scincl,scibert,0.002655653718557749,0.00811036323971065,-0.00023335887865472138,True
12,2005,scincl,bert,0.0026450388431551453,0.0073241697891870405,-0.0006107359706868376,True
12,2005,scincl,mpnet,0.0009924751232006646,0.004476712765814961,-0.0005968510312089892,True
12,2005,scincl,minilm,0.0011760464938073145,0.004433503254259619,-0.001000484954720715,True
12,2005,scincl,pubmedbert,0.00223983717688514,0.010118711222936283,-0.0006804486274253341,True
12,2005,scincl,biobert,0.00010366646247617073,0.008375033705739499,-0.0003629422525386339,True
12,2005,scincl,simcse,0.0017147551785150483,0.006538754898167465,-0.0005956555598759516,True
12,2005,scibert,bert,0.0019252888008970404,0.002818973047308937,-0.00012220992438460865,True
12,2005,scibert,mpnet,0.0003764829682093018,0.009217667306998911,-0.00045511421666943885,True
12,2005,scibert,minilm,0.0013263469157758223,0.00643562517308377,-0.00011369518200676776,True
12,2005,scibert,pubmedbert,0.0022322881489489355,0.005219059670183435,-0.0008877755703270429,True
12,2005,scibert,biobert,0.0014316970832041198,0.005035430692832299,-0.00040732096212237057,True
12,2005,scibert,simcse,0.0030301087798425552,0.004875729352467717,0.0002165622376201215,True
12,2005,bert,mpnet,0.0019176154373694576,0.0075636953300587395,-0.0003403254135131428,True
12,2005,bert,minilm,4.181389822943693e-05,0.005593517294549488,-0.0005695074266104383,True
12,2005,bert,pubmedbert,0.0007408858391284578,0.005057508005379074,-0.00029456104103575687,True
12,2005,bert,biobert,0.00017357600613843172,0.003934997873073609,-0.0001183823979333809,True
12,2005,bert,simcse,0.00010625686813792168,0.002969141344421944,1.8796954361688378e-05,True
12,2005,mpnet,minilm,0.00010477588545021455,0.0031101502333237274,-0.00048067280795327516,True
