field_id,period_start,delta_overlap,extended_overlap,k,native_overlap,other_model
12,2005,0.005152354570637119,0.3034349030470914,25,0.2982825484764543,scincl
12,2005,0.0043490304709141265,0.33572483841181905,50,0.3313758079409049,scincl
12,2005,0.02008310249307479,0.16066481994459833,10,0.14058171745152354,scibert
12,2005,0.02182825484764543,0.2026038781163435,25,0.18077562326869806,scibert
12,2005,0.02513388734995383,0.2480517082179132,50,0.2229178208679594,scibert
12,2005,0.028254847645429366,0.20831024930747924,10,0.18005540166204986,bert
12,2005,0.03054478301015697,0.25602954755309326,25,0.22548476454293628,bert
12,2005,0.031911357340720224,0.3007202216066482,50,0.268808864265928,bert
12,2005,-0.011403508771929824,0.4278393351800554,10,0.43924284395198515,mpnet
12,2005,-0.015549399815327793,0.46107109879963065,25,0.47662049861495853,mpnet
12,2005,-0.015937211449676823,0.4937026777469991,50,0.5096398891966759,mpnet
12,2005,-0.215466297322253,0.784533702677747,10,1.0,minilm
12,2005,-0.19678670360110803,0.8032132963988918,25,1.0,minilm
12,2005,-0.18170821791320407,0.8182917820867959,50,1.0,minilm
12,2005,0.020867959372114497,0.14783010156971377,10,0.12696214219759927,pubmedbert
12,2005,0.02428439519852262,0.18903047091412745,25,0.1647460757156048,pubmedbert
12,2005,0.028153277931671286,0.2345521698984303,50,0.206398891966759,pubmedbert
12,2005,0.022253000923361035,0.16241920590951062,10,0.1401662049861496,biobert
12,2005,0.024228993536472763,0.2080701754385965,25,0.18384118190212373,biobert
12,2005,0.0289196675900277,0.2550600184672207,50,0.22614035087719297,biobert
12,2005,0.02253000923361034,0.23144044321329643,10,0.20891043397968606,simcse
12,2005,0.026408125577100646,0.2751061865189289,25,0.24869806094182828,simcse
12,2005,0.02479224376731302,0.3172206832871653,50,0.29242843951985226,simcse
12,2010,-0.0005489478499542538,0.22973467520585547,10,0.23028362305580968,specter
12,2010,0.0019579139981701745,0.2675754803293687,25,0.26561756633119854,specter
12,2010,0.002323879231473011,0.3012808783165599,50,0.2989569990850869,specter
12,2010,-0.005535224153705397,0.23984446477584634,10,0.24537968892955173,specter2
12,2010,-0.004098810612991766,0.27075937785910337,25,0.27485818847209514,specter2
12,2010,-0.004263494967978042,0.3012076852698994,50,0.3054711802378774,specter2
12,2010,0.0006404391582799634,0.2627630375114365,10,0.26212259835315643,scincl
12,2010,-0.0002195791399817015,0.30111619396157363,25,0.30133577310155535,scincl
12,2010,0.001033851784080513,0.33455626715462033,50,0.33352241537053984,scincl
12,2010,0.016651418115279044,0.15887465690759378,10,0.14222323879231474,scibert
12,2010,0.01917657822506862,0.1997255260750229,25,0.18054894784995426,scibert
12,2010,0.019917657822506863,0.2388014638609332,50,0.21888380603842636,scibert
12,2010,0.02520585544373284,0.20878316559926807,10,0.18357731015553524,bert
12,2010,0.02636779505946935,0.2521134492223239,25,0.22574565416285453,bert
12,2010,0.027218664226898445,0.2938060384263495,50,0.26658737419945105,bert
12,2010,-0.00910338517840805,0.43792314730100645,10,0.4470265324794145,mpnet
12,2010,-0.010521500457456541,0.47557182067703574,25,0.4860933211344923,mpnet
12,2010,-0.012817932296431836,0.5042086001829826,50,0.5170265324794144,mpnet
12,2010,-0.2166971637694419,0.7833028362305581,10,1.0,minilm
12,2010,-0.19935956084172005,0.8006404391582799,25,1.0,minilm
12,2010,-0.18526989935956084,0.8147301006404392,50,1.0,minilm
12,2010,0.01889295516925892,0.14556267154620314,10,0.12666971637694419,pubmedbert
12,2010,0.02386093321134492,0.18823421774931381,25,0.16437328453796893,pubmedbert
12,2010,0.02585544373284538,0.22693504117108873,50,0.20107959743824338,pubmedbert
12,2010,0.01999085086916743,0.16614821591948767,10,0.14615736505032023,biobert
12,2010,0.021445562671546205,0.20464775846294603,25,0.18320219579139982,biobert
12,2010,0.024126258005489475,0.24679780420860017,50,0.2226715462031107,biobert
12,2010,0.017657822506861848,0.2235590118938701,10,0.20590118938700824,simcse
12,2010,0.017291857273559013,0.2630192131747484,25,0.24572735590118944,simcse
12,2010,0.01763037511436414,0.301171088746569,50,0.28354071363220495,simcse
12,2015,0.003257686676427525,0.21855783308931187,10,0.21530014641288436,specter
12,2015,0.0018301610541727666,0.2543338213762812,25,0.2525036603221084,specter
12,2015,0.002401171303074671,0.2911566617862372,50,0.2887554904831625,specter
12,2015,-0.0017203513909224012,0.2408125915080527,10,0.24253294289897512,specter2
