centroid_edge_spearman,model_a,model_b,period_start,stage
0.7602953874119519,specter,minilm,2020,cls
0.6871539685036618,specter,pubmedbert,2020,cls
0.7413710170765386,specter,biobert,2020,cls
0.7973656336846522,specter,simcse,2020,cls
0.9470802090433995,specter2,scincl,2020,cls
0.7718217887543042,specter2,scibert,2020,cls
0.8096939506755458,specter2,bert,2020,cls
0.8655693636061734,specter2,mpnet,2020,cls
0.8731134532361527,specter2,minilm,2020,cls
0.7766465663398179,specter2,pubmedbert,2020,cls
0.8182280250991908,specter2,biobert,2020,cls
0.8777683393634316,specter2,simcse,2020,cls
0.7691944138569907,scincl,scibert,2020,cls
0.7840539737472253,scincl,bert,2020,cls
0.8110688130320033,scincl,mpnet,2020,cls
0.8219834652963487,scincl,minilm,2020,cls
0.7661818118259837,scincl,pubmedbert,2020,cls
0.8142845157569085,scincl,biobert,2020,cls
0.8473668571828084,scincl,simcse,2020,cls
0.9503868002027511,scibert,bert,2020,cls
0.7612581056752836,scibert,mpnet,2020,cls
0.8062866830964991,scibert,minilm,2020,cls
0.9723332109835178,scibert,pubmedbert,2020,cls
0.9462349466030449,scibert,biobert,2020,cls
0.9269889710380509,scibert,simcse,2020,cls
0.8253295579675949,bert,mpnet,2020,cls
0.867932462901788,bert,minilm,2020,cls
0.9629664586719802,bert,pubmedbert,2020,cls
0.968282383374408,bert,biobert,2020,cls
0.9542568996556728,bert,simcse,2020,cls
0.9759816824847501,mpnet,minilm,2020,cls
0.7687815706220615,mpnet,pubmedbert,2020,cls
0.8177602992326919,mpnet,biobert,2020,cls
0.8398007445860207,mpnet,simcse,2020,cls
0.8192309440162202,minilm,pubmedbert,2020,cls
0.8624882456784299,minilm,biobert,2020,cls
0.877411777043679,minilm,simcse,2020,cls
0.9721301102896196,pubmedbert,biobert,2020,cls
0.9276489609004948,pubmedbert,simcse,2020,cls
0.9302176078863196,biobert,simcse,2020,cls
0.8841805184136473,specter,specter2,2000,sep
0.9180979847237517,specter,scincl,2000,sep
0.7547183332459406,specter,scibert,2000,sep
0.5963015398598221,specter,bert,2000,sep
0.7043850173911523,specter,mpnet,2000,sep
0.6756901403527171,specter,minilm,2000,sep
0.8124069704437803,specter,pubmedbert,2000,sep
0.708587558771608,specter,biobert,2000,sep
0.7298750284026359,specter,simcse,2000,sep
0.9497558247251501,specter2,scincl,2000,sep
0.8793449041301803,specter2,scibert,2000,sep
0.7384730743012952,specter2,bert,2000,sep
0.847429080803314,specter2,mpnet,2000,sep
0.837158687710835,specter2,minilm,2000,sep
0.899610578015486,specter2,pubmedbert,2000,sep
0.852638036809816,specter2,biobert,2000,sep
0.851712722632968,specter2,simcse,2000,sep
0.8344281893975145,scincl,scibert,2000,sep
0.6771936448010069,scincl,bert,2000,sep
0.7935633509866639,scincl,mpnet,2000,sep
0.7758789086396449,scincl,minilm,2000,sep
0.8729662838865293,scincl,pubmedbert,2000,sep
0.810297659622813,scincl,biobert,2000,sep
0.7992578609756525,scincl,simcse,2000,sep
0.9002037998357019,scibert,bert,2000,sep
0.8359914704699981,scibert,mpnet,2000,sep
0.8572422351563457,scibert,minilm,2000,sep
0.9518336741649627,scibert,pubmedbert,2000,sep
0.9402957369828536,scibert,biobert,2000,sep
0.9153881110936326,scibert,simcse,2000,sep
0.734849422334085,bert,mpnet,2000,sep
0.7806743222694144,bert,minilm,2000,sep
0.8345837484487793,bert,pubmedbert,2000,sep
0.8747026025553633,bert,biobert,2000,sep
0.860957474699806,bert,simcse,2000,sep
0.9595969447503192,mpnet,minilm,2000,sep
0.8046877457920403,mpnet,pubmedbert,2000,sep
0.8056651460332444,mpnet,biobert,2000,sep
0.8340604408089071,mpnet,simcse,2000,sep
0.80123293657036,minilm,pubmedbert,2000,sep
0.8616485763725028,minilm,biobert,2000,sep
