stage,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity,rsa_spearman
quality,14,2005,0.5050017941803266,0.4927603531869541,scibert/mean,mpnet/mean,1715,50.7271125925765,0.6330146174375191,
quality,14,2005,0.45397401179137276,0.4396342635508809,scibert/mean,minilm/mean,1715,52.7011756289603,0.6059720781390548,
quality,14,2005,0.8388831271336517,0.8361905467791199,scibert/mean,pubmedbert/mean,1715,33.65230681103894,0.8324156881135006,
quality,14,2005,0.8547288979707947,0.8520644347096584,scibert/mean,biobert/mean,1715,35.18311579706535,0.817314728770907,
quality,14,2005,0.5700919527902621,0.5611039361166306,scibert/mean,simcse/cls,1715,45.84068479120991,0.696655860697536,
quality,14,2005,0.5307621753140623,0.5192035762796685,bert/mean,mpnet/mean,1715,49.45708075735323,0.6500174725614987,
quality,14,2005,0.5085321690859123,0.4958687069311368,bert/mean,minilm/mean,1715,51.05149335349727,0.628621693716785,
quality,14,2005,0.7617965399821423,0.7576450779428097,bert/mean,pubmedbert/mean,1715,38.31333983889672,0.7846320497624314,
quality,14,2005,0.8025020314465867,0.798683151872402,bert/mean,biobert/mean,1715,37.73974226088245,0.7907991671402179,
quality,14,2005,0.7506893264261962,0.7454084430408834,bert/mean,simcse/cls,1715,34.89113917316161,0.8202403487699175,
quality,14,2005,0.8249124536143004,0.8170780816527813,mpnet/mean,minilm/mean,1715,39.37708510414909,0.7729873660531951,
quality,14,2005,0.45321218710492917,0.43998653424315964,mpnet/mean,pubmedbert/mean,1715,52.75757233945141,0.6051887813368654,
quality,14,2005,0.5119777756502303,0.49852717899175725,mpnet/mean,biobert/mean,1715,51.957589060958206,0.6162446004621065,
quality,14,2005,0.5636502206567239,0.5498292571117408,mpnet/mean,simcse/cls,1715,49.02494537073064,0.6557303822304202,
quality,14,2005,0.41789375396133377,0.4029894261135269,minilm/mean,pubmedbert/mean,1715,54.3130167687868,0.5833567027180621,
quality,14,2005,0.4748005506610247,0.45950506816074627,minilm/mean,biobert/mean,1715,53.515570285782275,0.5946043144759402,
quality,14,2005,0.5749574577496579,0.5609617916108502,minilm/mean,simcse/cls,1715,50.17443423150497,0.6404524491107323,
quality,14,2005,0.8686638243536126,0.8663406247389974,pubmedbert/mean,biobert/mean,1715,33.69741730719505,0.8319791317262121,
quality,14,2005,0.568935061033691,0.560197076477182,pubmedbert/mean,simcse/cls,1715,46.44998593607973,0.6889874999657194,
quality,14,2005,0.6144529098253279,0.6055027009200233,biobert/mean,simcse/cls,1715,45.731321573687076,0.6980239372193023,
quality,14,2010,0.741077676837652,0.7361008220739116,specter/cls,specter2/cls,1900,41.96350790784969,0.7435708487934382,
quality,14,2010,0.7792736683043432,0.7753970332553314,specter/cls,scincl/cls,1900,38.60781697917141,0.7814353479894158,
quality,14,2010,0.4695409173895782,0.46021773955651213,specter/cls,scibert/mean,1900,50.287328753381715,0.6389379584317507,
quality,14,2010,0.46953286780750314,0.46070344809802427,specter/cls,bert/mean,1900,51.21790480163315,0.6263602394199171,
quality,14,2010,0.747428993868523,0.7425937113407836,specter/cls,mpnet/mean,1900,43.077417622240915,0.7304315232699805,
quality,14,2010,0.7194070681202144,0.7139570924677284,specter/cls,minilm/mean,1900,46.144957790658644,0.6928362261767779,
quality,14,2010,0.4047800218694636,0.39490911852165217,specter/cls,pubmedbert/mean,1900,52.76449435388487,0.6050926007084731,
quality,14,2010,0.461289292817518,0.4512962279625443,specter/cls,biobert/mean,1900,52.689490966519905,0.6061342936183141,
quality,14,2010,0.5266452302027429,0.5175815120081929,specter/cls,simcse/cls,1900,50.59600697892861,0.6347843645181789,
quality,14,2010,0.8164943680764577,0.8125716283797824,specter2/cls,scincl/cls,1900,35.015445637162756,0.8189973913829954,
quality,14,2010,0.5592613018931063,0.5495548631934479,specter2/cls,scibert/mean,1900,45.46689386013305,0.7013212713296225,
quality,14,2010,0.5028824155929718,0.49262461488022147,specter2/cls,bert/mean,1900,50.865715016710666,0.6311400696749423,
quality,14,2010,0.7778618395650039,0.7708058102927597,specter2/cls,mpnet/mean,1900,42.854653770572085,0.7330814197163859,
quality,14,2010,0.7322836964882415,0.7233753985577921,specter2/cls,minilm/mean,1900,46.12782542816426,0.693051814232043,
quality,14,2010,0.4665443862971662,0.4555642348472621,specter2/cls,pubmedbert/mean,1900,51.533408997990406,0.6220581943553711,
quality,14,2010,0.5229862235047286,0.5116722381776192,specter2/cls,biobert/mean,1900,51.411609460536376,0.6237212296378725,
quality,14,2010,0.5333918609623267,0.5216121356559288,specter2/cls,simcse/cls,1900,50.90013673579712,0.630673955402605,
quality,14,2010,0.4833929769423704,0.4736507156311268,scincl/cls,scibert/mean,1900,48.72371763940968,0.6596906249593375,
quality,14,2010,0.4729768702730084,0.4636601700770159,scincl/cls,bert/mean,1900,51.69292976199626,0.6198758676421484,
quality,14,2010,0.776413035813089,0.771397723823089,scincl/cls,mpnet/mean,1900,42.017487363042605,0.7429405641344534,
quality,14,2010,0.7408798376383618,0.734926190370195,scincl/cls,minilm/mean,1900,45.38157027109279,0.702382046573262,
quality,14,2010,0.4192967577410897,0.409009350438754,scincl/cls,pubmedbert/mean,1900,53.14383766809043,0.5998082015996445,
quality,14,2010,0.462801889505878,0.45209549353775064,scincl/cls,biobert/mean,1900,53.23433414844886,0.5985436575729806,
quality,14,2010,0.5248086029939364,0.5149353624159254,scincl/cls,simcse/cls,1900,51.02362424112863,0.6289999041264958,
quality,14,2010,0.6993870529068938,0.6941585048964856,scibert/mean,bert/mean,1900,39.28504211159274,0.7740055365528921,
quality,14,2010,0.5111061724530838,0.4991501888955788,scibert/mean,mpnet/mean,1900,50.99884226560392,0.6293360941479877,
quality,14,2010,0.4853436277728124,0.47209789364943283,scibert/mean,minilm/mean,1900,52.6134497586228,0.6071893400596432,
quality,14,2010,0.8098649169050999,0.8066513515721551,scibert/mean,pubmedbert/mean,1900,34.382360282052744,0.8252873962166831,
quality,14,2010,0.8249203212486454,0.8215753829709461,scibert/mean,biobert/mean,1900,36.11535707246446,0.8078319317060949,
quality,14,2010,0.5590040436703264,0.5500395068563678,scibert/mean,simcse/cls,1900,46.67904119725575,0.686084526395421,
quality,14,2010,0.513693432523005,0.5027241510752106,bert/mean,mpnet/mean,1900,49.99103035022188,0.6429075260067125,
quality,14,2010,0.5097779720415826,0.49828665171149855,bert/mean,minilm/mean,1900,51.210505898376255,0.6264608994602145,
quality,14,2010,0.7251556906324921,0.7206275745415265,bert/mean,pubmedbert/mean,1900,39.3558820509087,0.7732220890683659,
quality,14,2010,0.7578189199724241,0.7533188823308925,bert/mean,biobert/mean,1900,39.01754715058885,0.7769531921509465,
quality,14,2010,0.7535394399230805,0.7488356681579984,bert/mean,simcse/cls,1900,35.34443433896165,0.8156892013640443,
quality,14,2010,0.8279228888272436,0.8211630713326538,mpnet/mean,minilm/mean,1900,39.39290815485607,0.7728121320121585,
quality,14,2010,0.44752542844647775,0.43492450343486666,mpnet/mean,pubmedbert/mean,1900,53.06007003543684,0.6009773871909522,
quality,14,2010,0.5042187096383443,0.4910843394541354,mpnet/mean,biobert/mean,1900,52.54464335067981,0.6081430844123584,
quality,14,2010,0.5617707847643355,0.5495114725663846,mpnet/mean,simcse/cls,1900,49.373837406367024,0.6511208504546809,
quality,14,2010,0.4352151991741675,0.42167001217745637,minilm/mean,pubmedbert/mean,1900,54.347155918940786,0.5828726478991503,
quality,14,2010,0.4894999374830134,0.47521743017338164,minilm/mean,biobert/mean,1900,53.71847940736716,0.5917532147820928,
quality,14,2010,0.5790636702559585,0.5667929222784633,minilm/mean,simcse/cls,1900,50.264901078603955,0.6392390254452764,
quality,14,2010,0.8429315903053027,0.8401928483020605,pubmedbert/mean,biobert/mean,1900,34.4944264868932,0.8241812825433988,
quality,14,2010,0.5565593326252192,0.5481830502915063,pubmedbert/mean,simcse/cls,1900,47.244686478402684,0.6788688425427964,
quality,14,2010,0.5968610666600646,0.5879955104704278,biobert/mean,simcse/cls,1900,46.81251933779038,0.6843878072720202,
quality,14,2015,0.741867881171369,0.7382155939653114,specter/cls,specter2/cls,2480,42.61732250045637,0.7358924104095859,
quality,14,2015,0.776082568754171,0.7731602076862877,specter/cls,scincl/cls,2480,39.52835142767249,0.7713097410443465,
quality,14,2015,0.4922328456760933,0.4852884258021009,specter/cls,scibert/mean,2480,50.99617882786382,0.6293722190959544,
quality,14,2015,0.46577211259932505,0.4591779149813902,specter/cls,bert/mean,2480,52.046126320611634,0.6150268829678822,
quality,14,2015,0.7413402395865044,0.7376905835008526,specter/cls,mpnet/mean,2480,44.19286656347987,0.7169974005116834,
