model,field_id,period_start,cka_biased,cka_debiased,model_a,model_b,n,procrustes_angle_degrees,procrustes_similarity
scibert,21,2010,0.8529043257980199,0.8517260222368166,scibert/mean,scibert/cls,2166,38.68759156291806,0.7805657966384353
scibert,21,2010,0.8607151716907535,0.8596975560740737,scibert/mean,scibert/sep,2166,38.532810924242234,0.7822515401516421
scibert,21,2010,0.9260478943129559,0.9254320785844632,scibert/cls,scibert/sep,2166,22.837481606662173,0.9216094503954654
scibert,21,2015,0.8455661811820157,0.8443588877574804,scibert/mean,scibert/cls,2166,39.04892785177425,0.7766082686861774
scibert,21,2015,0.8587600564866208,0.8577643342776402,scibert/mean,scibert/sep,2166,39.00599749691733,0.7770800824153651
scibert,21,2015,0.9109357783688232,0.9102027251254062,scibert/cls,scibert/sep,2166,23.8216514995741,0.9148071068108543
scibert,21,2020,0.8376921828096419,0.8363931789372985,scibert/mean,scibert/cls,2166,39.55836179126521,0.770976270478055
scibert,21,2020,0.8570106067336533,0.856007812054872,scibert/mean,scibert/sep,2166,39.57241616887573,0.770820027657434
scibert,21,2020,0.9029992090589964,0.9022385258583842,scibert/cls,scibert/sep,2166,24.709114094123795,0.908441695520017
scibert,22,2000,0.727581280628106,0.7263975690949632,scibert/mean,scibert/cls,6990,44.26372885856715,0.7161347226502035
scibert,22,2000,0.7060404375776338,0.7046598889524894,scibert/mean,scibert/sep,6990,43.537412163324454,0.7249247446658063
scibert,22,2000,0.9179100215022494,0.9175879997556379,scibert/cls,scibert/sep,6990,23.509162922806034,0.9169962934423341
scibert,22,2005,0.8113373956167832,0.8109540319551769,scibert/mean,scibert/cls,11310,42.709360339720625,0.7348037952475689
scibert,22,2005,0.7990861992231801,0.7986311549653475,scibert/mean,scibert/sep,11310,42.12905012013313,0.7416358257522804
scibert,22,2005,0.9272043175238933,0.9270600045823097,scibert/cls,scibert/sep,11310,23.998106678431835,0.9135588976322069
scibert,22,2010,0.8065158552230637,0.8062440958417403,scibert/mean,scibert/cls,15203,42.58470206282922,0.7362777863389913
scibert,22,2010,0.7959467967276215,0.7956259724484803,scibert/mean,scibert/sep,15203,41.913805138881294,0.7441506136273649
scibert,22,2010,0.9205269232425913,0.9204107614096088,scibert/cls,scibert/sep,15203,24.029590057383086,0.9133352791548272
scibert,22,2015,0.7467954592743505,0.746309315892612,scibert/mean,scibert/cls,14738,43.147853017880955,0.7295913567450152
scibert,22,2015,0.7420814466517398,0.7415391433281334,scibert/mean,scibert/sep,14738,42.34820132607333,0.7390646468346324
scibert,22,2015,0.875633494178215,0.8754000451971546,scibert/cls,scibert/sep,14738,25.099260798715378,0.9055742717430366
scibert,22,2020,0.7481448109462855,0.747791095555044,scibert/mean,scibert/cls,18907,43.39456129560482,0.7266398883105496
scibert,22,2020,0.7499845210015846,0.7495989775190954,scibert/mean,scibert/sep,18907,42.423783874005615,0.7381753694302174
scibert,22,2020,0.8720630742132323,0.871893314971273,scibert/cls,scibert/sep,18907,25.636023274599523,0.9015606851741486
scibert,23,2000,0.7878745062895687,0.7853828019447433,scibert/mean,scibert/cls,2166,39.79525003671912,0.7683365876467894
scibert,23,2000,0.7518604786386494,0.7482567483561836,scibert/mean,scibert/sep,2166,40.032216797085354,0.7656828895179558
scibert,23,2000,0.8695537362886451,0.8679495886486458,scibert/cls,scibert/sep,2166,24.490800633947487,0.9100278419735545
scibert,23,2005,0.8115434669904233,0.8102411887142518,scibert/mean,scibert/cls,2876,40.25891469080352,0.7631319296582281
scibert,23,2005,0.7870623010305375,0.7852119556580356,scibert/mean,scibert/sep,2876,40.517695323188256,0.7602053527302254
scibert,23,2005,0.8892980985547204,0.8884967684243377,scibert/cls,scibert/sep,2876,24.866352531110238,0.9072911149896604
scibert,23,2010,0.8003543628395774,0.79937517068535,scibert/mean,scibert/cls,4005,41.064677709829446,0.7539685145142797
scibert,23,2010,0.78262310784886,0.7812575097318057,scibert/mean,scibert/sep,4005,41.386571215038266,0.75026604499478
scibert,23,2010,0.886517383386247,0.8859225472815169,scibert/cls,scibert/sep,4005,25.460052852077144,0.9028852212742418
scibert,23,2015,0.721648900041989,0.7197792408332084,scibert/mean,scibert/cls,4018,42.07080354246502,0.74231737681227
scibert,23,2015,0.7039698481250293,0.7014915654018631,scibert/mean,scibert/sep,4018,42.28037993749921,0.7398615144404616
scibert,23,2015,0.8367886036099483,0.8356621348528385,scibert/cls,scibert/sep,4018,26.72223056863765,0.8931969868359744
scibert,23,2020,0.7209709763451401,0.7197100153432737,scibert/mean,scibert/cls,5919,42.627814247885084,0.735768410819678
scibert,23,2020,0.705030255836638,0.7033764087959403,scibert/mean,scibert/sep,5919,42.515143594575825,0.7370987487943725
scibert,23,2020,0.8351857845905796,0.83441674997091,scibert/cls,scibert/sep,5919,27.239775983157564,0.8890988316149674
scibert,24,2000,0.6864999943786947,0.6823979161489753,scibert/mean,scibert/cls,2166,42.648371672672944,0.7355253757400999
scibert,24,2000,0.6757233769516657,0.6709289677004321,scibert/mean,scibert/sep,2166,42.07164586977783,0.7423075260919729
scibert,24,2000,0.8351390491453766,0.8331206546286755,scibert/cls,scibert/sep,2166,26.46971817533467,0.8951700599719742
scibert,24,2005,0.7025962315102329,0.699283343720618,scibert/mean,scibert/cls,2166,42.3714849165365,0.7387908373824793
scibert,24,2005,0.6889995891925377,0.6849507903638353,scibert/mean,scibert/sep,2166,41.9373568778959,0.7438759608850479
scibert,24,2005,0.8413289707018649,0.8396260950189003,scibert/cls,scibert/sep,2166,26.27730996949245,0.8966618232469487
scibert,24,2010,0.7116986311993673,0.7085673504540896,scibert/mean,scibert/cls,2166,42.363072328325764,0.7388897814862925
scibert,24,2010,0.6979083320119039,0.6939631595430248,scibert/mean,scibert/sep,2166,42.295324123652954,0.7396860166883139
scibert,24,2010,0.8336631119368608,0.8319849269539815,scibert/cls,scibert/sep,2166,27.023622696593367,0.8908192709806374
scibert,24,2015,0.6865934579679173,0.6830196854374816,scibert/mean,scibert/cls,2166,42.563197915200796,0.7365317045587907
scibert,24,2015,0.6652371392613107,0.6606518107492314,scibert/mean,scibert/sep,2166,42.892191113782935,0.7326356679585975
scibert,24,2015,0.804903219603214,0.8028023757922748,scibert/cls,scibert/sep,2166,27.801355073257163,0.8845699446951447
scibert,24,2020,0.6854839102820913,0.6820206547972107,scibert/mean,scibert/cls,2166,42.72452306797916,0.7346242698907836
scibert,24,2020,0.6509898652540553,0.6463829488833323,scibert/mean,scibert/sep,2166,43.03035809651664,0.730992243005097
scibert,24,2020,0.7840339224801305,0.7817771514309381,scibert/cls,scibert/sep,2166,28.106915444224665,0.882070009743816
scibert,25,2000,0.6795926343744557,0.6748040886367245,scibert/mean,scibert/cls,2166,42.90352257044225,0.7325010463760073
scibert,25,2000,0.6234416148364005,0.6176018338126493,scibert/mean,scibert/sep,2166,42.87827904771364,0.7328009088753664
scibert,25,2000,0.8748405910186708,0.8731006032465342,scibert/cls,scibert/sep,2166,23.950538942555795,0.9138962359898126
scibert,25,2005,0.7252789274801742,0.7214362719380538,scibert/mean,scibert/cls,2166,41.934716569221806,0.7439067575649064
scibert,25,2005,0.6837244972928626,0.6791979953048515,scibert/mean,scibert/sep,2166,42.17462621627113,0.7411019991733369
scibert,25,2005,0.8857603973975596,0.884356586381397,scibert/cls,scibert/sep,2166,24.00399045086997,0.9135171276408031
scibert,25,2010,0.7282518192558339,0.725610150681862,scibert/mean,scibert/cls,2962,42.57886562133674,0.736346712548421
