cosine_distance,field_a,field_b,model,period_start,stage
0.052066007504962375,12,34,specter2,2000,mean
0.059248362625248574,12,35,specter2,2000,mean
0.02537963126389331,12,36,specter2,2000,mean
0.05569120167625807,13,14,specter2,2000,mean
0.03452675260003879,13,15,specter2,2000,mean
0.02132830412843001,13,16,specter2,2000,mean
0.041252734068553676,13,17,specter2,2000,mean
0.03948835186450739,13,18,specter2,2000,mean
0.0377906244318843,13,19,specter2,2000,mean
0.04680075216739321,13,20,specter2,2000,mean
0.03746187342487017,13,21,specter2,2000,mean
0.040430127782140834,13,22,specter2,2000,mean
0.02514430097191911,13,23,specter2,2000,mean
0.01043497082626521,13,24,specter2,2000,mean
0.0329907307031565,13,25,specter2,2000,mean
0.042148579804713426,13,26,specter2,2000,mean
0.008339025403436895,13,27,specter2,2000,mean
0.021051438270383915,13,28,specter2,2000,mean
0.012855471182059208,13,29,specter2,2000,mean
0.015267278609824242,13,30,specter2,2000,mean
0.04009888404201378,13,31,specter2,2000,mean
0.04143343421692525,13,32,specter2,2000,mean
0.047439484256458164,13,33,specter2,2000,mean
0.022128133916498816,13,34,specter2,2000,mean
0.04312471277988594,13,35,specter2,2000,mean
0.03147389316772575,13,36,specter2,2000,mean
0.05165664839531259,14,15,specter2,2000,mean
0.06266125355050578,14,16,specter2,2000,mean
0.03215519139887113,14,17,specter2,2000,mean
0.008114306961546913,14,18,specter2,2000,mean
0.05002695084111286,14,19,specter2,2000,mean
0.009238057757383289,14,20,specter2,2000,mean
0.03681648599085108,14,21,specter2,2000,mean
0.03912855920602909,14,22,specter2,2000,mean
0.035224368088976665,14,23,specter2,2000,mean
0.062062291964788074,14,24,specter2,2000,mean
0.05708783123280936,14,25,specter2,2000,mean
0.045016177767459364,14,26,specter2,2000,mean
0.04809935783202024,14,27,specter2,2000,mean
0.05832241566431995,14,28,specter2,2000,mean
0.04518510625241334,14,29,specter2,2000,mean
0.054401239831674,14,30,specter2,2000,mean
0.061654791195181136,14,31,specter2,2000,mean
0.027169745578696114,14,32,specter2,2000,mean
0.014744901212242145,14,33,specter2,2000,mean
0.05801558798861739,14,34,specter2,2000,mean
0.06611670030993078,14,35,specter2,2000,mean
0.02389253408827907,14,36,specter2,2000,mean
0.014745790184098384,15,16,specter2,2000,mean
0.037564720969960996,15,17,specter2,2000,mean
0.03524391488783918,15,18,specter2,2000,mean
0.033714281045762684,15,19,specter2,2000,mean
0.048692219722484054,15,20,specter2,2000,mean
0.0136645375764195,15,21,specter2,2000,mean
0.01604239821569886,15,22,specter2,2000,mean
0.02576799853963796,15,23,specter2,2000,mean
0.049869560416359704,15,24,specter2,2000,mean
0.009265142988299946,15,25,specter2,2000,mean
0.04482999723146175,15,26,specter2,2000,mean
0.03813062111374854,15,27,specter2,2000,mean
0.04650709646379303,15,28,specter2,2000,mean
0.03488298412324109,15,29,specter2,2000,mean
0.031922787715737644,15,30,specter2,2000,mean
0.02657880002025692,15,31,specter2,2000,mean
0.05972481457010781,15,32,specter2,2000,mean
0.056458551519011135,15,33,specter2,2000,mean
0.04888241392361192,15,34,specter2,2000,mean
0.058176489269454734,15,35,specter2,2000,mean
0.048833458057687795,15,36,specter2,2000,mean
0.048822793947119414,16,17,specter2,2000,mean
0.046872134560614453,16,18,specter2,2000,mean
0.04117326074675243,16,19,specter2,2000,mean
0.05620011825835425,16,20,specter2,2000,mean
0.02651376324549648,16,21,specter2,2000,mean
0.03472981823989518,16,22,specter2,2000,mean
0.029414950881109014,16,23,specter2,2000,mean
0.036704259187124944,16,24,specter2,2000,mean
0.01481709108022733,16,25,specter2,2000,mean
0.048124032016902185,16,26,specter2,2000,mean
0.030292331751935353,16,27,specter2,2000,mean
