field_id,period_start,model_a,model_b,k,queries,mean_overlap
11,2015,specter,biobert,25,100,0.1324
11,2015,specter,biobert,50,100,0.1496
11,2015,specter,simcse,10,100,0.095
11,2015,specter,simcse,25,100,0.1024
11,2015,specter,simcse,50,100,0.114
11,2015,specter2,scincl,10,100,0.256
11,2015,specter2,scincl,25,100,0.2784
11,2015,specter2,scincl,50,100,0.29760000000000003
11,2015,specter2,scibert,10,100,0.097
11,2015,specter2,scibert,25,100,0.1128
11,2015,specter2,scibert,50,100,0.1272
11,2015,specter2,bert,10,100,0.074
11,2015,specter2,bert,25,100,0.0876
11,2015,specter2,bert,50,100,0.1008
11,2015,specter2,mpnet,10,100,0.263
11,2015,specter2,mpnet,25,100,0.2792
11,2015,specter2,mpnet,50,100,0.2838
11,2015,specter2,minilm,10,100,0.236
11,2015,specter2,minilm,25,100,0.2468
11,2015,specter2,minilm,50,100,0.2528
11,2015,specter2,pubmedbert,10,100,0.093
11,2015,specter2,pubmedbert,25,100,0.0984
11,2015,specter2,pubmedbert,50,100,0.107
11,2015,specter2,biobert,10,100,0.096
11,2015,specter2,biobert,25,100,0.1036
11,2015,specter2,biobert,50,100,0.11539999999999999
11,2015,specter2,simcse,10,100,0.078
11,2015,specter2,simcse,25,100,0.0872
11,2015,specter2,simcse,50,100,0.0934
11,2015,scincl,scibert,10,100,0.10500000000000001
11,2015,scincl,scibert,25,100,0.1268
11,2015,scincl,scibert,50,100,0.142
11,2015,scincl,bert,10,100,0.094
11,2015,scincl,bert,25,100,0.1012
11,2015,scincl,bert,50,100,0.1216
11,2015,scincl,mpnet,10,100,0.324
11,2015,scincl,mpnet,25,100,0.3544
11,2015,scincl,mpnet,50,100,0.3776
11,2015,scincl,minilm,10,100,0.27599999999999997
11,2015,scincl,minilm,25,100,0.3016
11,2015,scincl,minilm,50,100,0.3226
11,2015,scincl,pubmedbert,10,100,0.098
11,2015,scincl,pubmedbert,25,100,0.10679999999999999
11,2015,scincl,pubmedbert,50,100,0.126
11,2015,scincl,biobert,10,100,0.11100000000000002
11,2015,scincl,biobert,25,100,0.11
11,2015,scincl,biobert,50,100,0.1328
11,2015,scincl,simcse,10,100,0.08299999999999999
11,2015,scincl,simcse,25,100,0.102
11,2015,scincl,simcse,50,100,0.11220000000000001
11,2015,scibert,bert,10,100,0.23700000000000002
11,2015,scibert,bert,25,100,0.25120000000000003
11,2015,scibert,bert,50,100,0.2792
11,2015,scibert,mpnet,10,100,0.093
11,2015,scibert,mpnet,25,100,0.11560000000000001
11,2015,scibert,mpnet,50,100,0.1346
11,2015,scibert,minilm,10,100,0.088
11,2015,scibert,minilm,25,100,0.11
11,2015,scibert,minilm,50,100,0.1276
11,2015,scibert,pubmedbert,10,100,0.344
11,2015,scibert,pubmedbert,25,100,0.40399999999999997
11,2015,scibert,pubmedbert,50,100,0.4316
11,2015,scibert,biobert,10,100,0.344
11,2015,scibert,biobert,25,100,0.3908
11,2015,scibert,biobert,50,100,0.4178
11,2015,scibert,simcse,10,100,0.127
11,2015,scibert,simcse,25,100,0.1396
11,2015,scibert,simcse,50,100,0.1524
11,2015,bert,mpnet,10,100,0.10400000000000001
11,2015,bert,mpnet,25,100,0.1112
11,2015,bert,mpnet,50,100,0.1318
11,2015,bert,minilm,10,100,0.098
11,2015,bert,minilm,25,100,0.1116
11,2015,bert,minilm,50,100,0.1318
11,2015,bert,pubmedbert,10,100,0.20299999999999999
11,2015,bert,pubmedbert,25,100,0.2372
11,2015,bert,pubmedbert,50,100,0.26780000000000004
11,2015,bert,biobert,10,100,0.256
11,2015,bert,biobert,25,100,0.2672
11,2015,bert,biobert,50,100,0.2948
11,2015,bert,simcse,10,100,0.179
11,2015,bert,simcse,25,100,0.22519999999999998
11,2015,bert,simcse,50,100,0.24480000000000002
11,2015,mpnet,minilm,10,100,0.409
11,2015,mpnet,minilm,25,100,0.43079999999999996
11,2015,mpnet,minilm,50,100,0.45399999999999996
11,2015,mpnet,pubmedbert,10,100,0.08499999999999999
11,2015,mpnet,pubmedbert,25,100,0.11359999999999999
11,2015,mpnet,pubmedbert,50,100,0.12539999999999998
11,2015,mpnet,biobert,10,100,0.10500000000000001
11,2015,mpnet,biobert,25,100,0.1184
11,2015,mpnet,biobert,50,100,0.1374
11,2015,mpnet,simcse,10,100,0.09
11,2015,mpnet,simcse,25,100,0.106
11,2015,mpnet,simcse,50,100,0.1202
11,2015,minilm,pubmedbert,10,100,0.08299999999999999
11,2015,minilm,pubmedbert,25,100,0.106
11,2015,minilm,pubmedbert,50,100,0.1186
11,2015,minilm,biobert,10,100,0.10300000000000001
