field_id,model_a,model_b,delta_common_native_n2000,median_delta_n1000,absolute_median_error,central95_width_delta_n1000,min_delta_n1000,max_delta_n1000
17,scibert,pubmedbert,-0.0013326604167011036,-0.0014705744249360886,0.000137914008234985,0.003409268856127229,-0.003465812066137608,-1.6874558014023933e-05
17,scibert,biobert,0.0006346374276026134,-0.0003306933442634996,0.000965330771866113,0.007273761746955765,-0.0026577035677048944,0.0056874110548200685
17,scibert,simcse,0.007084563142341738,0.007049604703542933,3.495843879880445e-05,0.0064715286448049775,0.004288017400235988,0.011937221934074538
17,bert,mpnet,0.0017181605280596202,0.001545136675074943,0.00017302385298467726,0.0024609796699573802,0.00017188233027265465,0.002875519696986628
17,bert,minilm,0.003841999202987223,0.003814840733664282,2.715846932294097e-05,0.002587798958185969,0.0025614930165677174,0.005211743257740431
17,bert,pubmedbert,0.0056407708120947975,0.005718647382963016,7.787657086821831e-05,0.005807768479139049,0.003063157432218855,0.00932521560563726
17,bert,biobert,0.002351518920433837,0.0025643445075263505,0.0002128255870925133,0.00750999633530368,-0.0009412637670954682,0.0070160715417284525
17,bert,simcse,0.0007397563882625136,0.0006788384256796731,6.0917962582840435e-05,0.0018341963465602154,0.000105412563881635,0.0020579617166792685
17,mpnet,minilm,0.0013200393204686467,0.001321067192333325,1.0278718646783425e-06,0.0009620539190307948,0.0007294336703473903,0.0018372140452646013
17,mpnet,pubmedbert,0.006165887505800716,0.006690987442836666,0.0005250999370359499,0.007212086944325499,0.002758510625342492,0.011614321373742575
17,mpnet,biobert,0.0067562981940316735,0.006903075528228331,0.00014677733419665717,0.013925448803975385,0.0010545364419987102,0.01683761941334677
17,mpnet,simcse,0.0007749455881266298,0.0007745077356989816,4.378524276482665e-07,0.0023479438773802252,-0.00046232794386491527,0.0023159734142490507
17,minilm,pubmedbert,0.0077793029455246465,0.007861426031159302,8.212308563465553e-05,0.006269428774912146,0.004860128271194919,0.012777919060419751
17,minilm,biobert,0.008253707892350026,0.008179054346205028,7.46535461449982e-05,0.011912197248510831,0.0037731575034267717,0.017566007378490123
17,minilm,simcse,0.002277886390632311,0.0022933056650745742,1.541927444226321e-05,0.0023965216803360475,0.0010502486899217622,0.003553882695442212
17,pubmedbert,biobert,0.002805636815247592,0.0014375368919111176,0.0013680999233364743,0.0067316335235212636,-0.0002794259331956317,0.006607677482376895
17,pubmedbert,simcse,0.004884681983791994,0.004711544346235164,0.00017313763755683054,0.0071048139803100594,0.0017634802924643145,0.010388238610889777
17,biobert,simcse,0.005639088899323963,0.005594781663091852,4.4307236232110636e-05,0.012810160540075034,9.181878681041589e-06,0.014743957336265323
18,specter,specter2,-0.0001503803884917998,-0.00026764596591788425,0.00011726557742608446,0.0017312817340808747,-0.000905610772111487,0.0009191505266911149
18,specter,scincl,-0.0012301053433888542,-0.001458228218887636,0.00022812287549878185,0.0016717960919963154,-0.0021080106639763674,-8.527351821241425e-05
18,specter,scibert,0.01296585647224846,0.013055118754647405,8.926228239894418e-05,0.0067876384486406215,0.0083193780988573,0.016224176824972292
18,specter,bert,0.0005450180772215152,0.00076528360523892,0.00022026552801740484,0.004296701858756182,-0.0023938165759859187,0.00278889119104897
18,specter,mpnet,-0.001761750209398505,-0.0018405084980165909,7.875828861808598e-05,0.0011743943478830835,-0.0022179872735118566,-0.0007292603710157275
18,specter,minilm,0.0005649063044559366,0.0006254933339356339,6.0587029479697296e-05,0.0013762145702126524,-0.00011263577389863944,0.0013480382341192199
18,specter,pubmedbert,0.004999667480555248,0.003929447743790837,0.0010702197367644106,0.008212015514651224,-0.0014004495686391616,0.007815187882667274
18,specter,biobert,0.0029061096148725873,0.0033261259113248343,0.0004200162964522469,0.00927329081750436,-0.0033055530587552395,0.007454010068597139
18,specter,simcse,-0.0029034114226740293,-0.003192695727526451,0.00028928430485242185,0.003830528367890942,-0.005605374573161459,-0.0011193934225305346
18,specter2,scincl,0.0005930875202988517,0.0006802288611290619,8.714134083021019e-05,0.0015290591386040104,-7.273435184884658e-05,0.001645948172430134
18,specter2,scibert,0.017090692113890915,0.016861600349624806,0.00022909176426610944,0.006910417617414061,0.012829457204398875,0.020725975358653725
18,specter2,bert,0.0012706779133830892,0.0012272642984142434,4.341361496884577e-05,0.004409589826769237,-0.0017008238151583477,0.0034816205518655163
18,specter2,mpnet,0.0007028881573671875,0.0008721223779285525,0.00016923422056136506,0.0013205736972828341,-0.00022073819024748254,0.0013500022778381027
18,specter2,minilm,0.001674738119411101,0.0019086202694570398,0.0002338821500459387,0.001440931727130651,0.0008900327366405669,0.0024111932446801987
18,specter2,pubmedbert,0.006330401781485029,0.004919085945018248,0.001411315836466781,0.009045847355362865,-0.0001824397675732614,0.009448367945547098
18,specter2,biobert,0.0036153914202329274,0.003865205438916719,0.0002498140186837916,0.010223436963642708,-0.004341446201821864,0.008179033686656179
18,specter2,simcse,-0.0014542405628145127,-0.0024393226032392024,0.0009850820404246896,0.004145465438580493,-0.003626027439725399,0.0007324868975507881
18,scincl,scibert,0.016790462726461453,0.01702985791771583,0.0002393951912543768,0.007591769260651863,0.012602256905353326,0.021626962396679605
18,scincl,bert,0.0019636616974062493,0.001850072905461131,0.0001135887919451184,0.004338015445877727,-0.0006997639715283777,0.004202081450338291
18,scincl,mpnet,-0.0014162797253787218,-0.0014206266413507307,4.346915972008869e-06,0.0010860801395225187,-0.002100743683332129,-0.0009531242015559105
18,scincl,minilm,0.0006764680416156965,0.0007695930782511962,9.312503663549965e-05,0.0012671111836843466,-2.52435226909542e-05,0.0014163756527205695
18,scincl,pubmedbert,0.006785273716788831,0.0051348964659913565,0.0016503772507974745,0.008494020680880059,0.0005479884997367512,0.009850417991487614
18,scincl,biobert,0.0036783907696030793,0.0037791482730067383,0.00010075750340365897,0.010310204644017693,-0.004363626034096679,0.008224389651291297
18,scincl,simcse,-0.002261462580314122,-0.0027836395638022315,0.0005221769834881096,0.004041573310655469,-0.0051358410214762396,-0.0008528090385609977
18,scibert,bert,0.005635642571054533,0.005052673558450682,0.0005829690126038511,0.005643044454436936,0.0024859453975860646,0.009092451343066688
18,scibert,mpnet,0.014295732649304282,0.01431438946916963,1.8656819865348062e-05,0.00670716388978042,0.01119462534657345,0.018945191392960248
18,scibert,minilm,0.014155544527539976,0.013830467138863073,0.00032507738867690317,0.0061434763686880126,0.010936948504647992,0.01762069303684677
