field_id,period_start,k,mean_chance_adjusted_overlap,mean_overlap,model_a,model_b,recipe
11,2000,50,0.17543536496150475,0.19557617187500004,specter2,scibert,sep
11,2000,10,0.09788792590973246,0.10229492187500001,specter2,bert,sep
11,2000,25,0.11424082166481206,0.12505859375,specter2,bert,sep
11,2000,50,0.1281875400992113,0.149482421875,specter2,bert,sep
11,2000,10,0.3563772599487604,0.35952148437500003,specter2,mpnet,sep
11,2000,25,0.3836245537370178,0.3911523437500001,specter2,mpnet,sep
11,2000,50,0.4115944082138833,0.425966796875,specter2,mpnet,sep
11,2000,10,0.317564605578056,0.3208984375,specter2,minilm,sep
11,2000,25,0.34075726577955,0.34880859375000006,specter2,minilm,sep
11,2000,50,0.36458682652885577,0.380107421875,specter2,minilm,sep
11,2000,10,0.2636881270710604,0.26728515625000004,specter2,pubmedbert,sep
11,2000,25,0.2933027034650099,0.30193359375000006,specter2,pubmedbert,sep
11,2000,50,0.3225242502425513,0.33907226562500004,specter2,pubmedbert,sep
11,2000,10,0.21692648406817625,0.220751953125,specter2,biobert,sep
11,2000,25,0.25300587096624627,0.26212890625,specter2,biobert,sep
11,2000,50,0.28516643617770404,0.30262695312500004,specter2,biobert,sep
11,2000,10,0.1542177959698699,0.15834960937500003,specter2,simcse,sep
11,2000,25,0.17784970790059346,0.18789062500000003,specter2,simcse,sep
11,2000,50,0.19579597423478967,0.21543945312500004,specter2,simcse,sep
11,2000,10,0.12997828742482817,0.13422851562500002,scincl,scibert,sep
11,2000,25,0.16082538367025223,0.17107421875,scincl,scibert,sep
11,2000,50,0.19097109042469954,0.21073242187500002,scincl,scibert,sep
11,2000,10,0.1065729320078547,0.11093750000000002,scincl,bert,sep
11,2000,25,0.12687559888105837,0.13753906250000003,scincl,bert,sep
11,2000,50,0.14273226245618426,0.16367187500000002,scincl,bert,sep
11,2000,10,0.44798690054307805,0.45068359375,scincl,mpnet,sep
11,2000,25,0.48658118122527205,0.49285156250000006,scincl,mpnet,sep
11,2000,50,0.5150090858944667,0.52685546875,scincl,mpnet,sep
11,2000,10,0.3936688115565169,0.396630859375,scincl,minilm,sep
11,2000,25,0.429418206370549,0.43638671875,scincl,minilm,sep
11,2000,50,0.4571305004381572,0.470390625,scincl,minilm,sep
11,2000,10,0.3091249386352479,0.3125,scincl,pubmedbert,sep
11,2000,25,0.3462145404457221,0.35419921875000004,scincl,pubmedbert,sep
11,2000,50,0.3759683470518277,0.3912109375,scincl,pubmedbert,sep
11,2000,10,0.2527460007440476,0.256396484375,scincl,biobert,sep
11,2000,25,0.2949636131460188,0.30357421875,scincl,biobert,sep
11,2000,50,0.33070252840197795,0.34705078125,scincl,biobert,sep
11,2000,10,0.1813032387165562,0.185302734375,scincl,simcse,sep
11,2000,25,0.21215540190714638,0.22177734375000002,scincl,simcse,sep
11,2000,50,0.23694762847396092,0.2555859375,scincl,simcse,sep
11,2000,10,0.12718142105424646,0.1314453125,scibert,bert,sep
11,2000,25,0.15730583696525718,0.16759765625,scibert,bert,sep
11,2000,50,0.1821121232630195,0.20208984375000005,scibert,bert,sep
