work_id,original_cohort,field_id,period_start,reason,text_sha256
W2625320851,base,23,2015,non_abstract:reviewed_non_abstract_template,b05bc0884e8a36898c14bbde756c0598961c79afd7de4a6a36d541012db30055
W970646976,base,31,2010,non_abstract:reviewed_non_abstract_template,26928aad9fe32444fa7a339d74b2c570f01977e314b284d6555f434ff42b2779
W4234440589,base,13,2005,clear_non_english_abstract,13ba0ebe49110cc5cf0d2084c063fe2ffacd9b0aa77a8b254fea52e3d253f886
W4220685946,base,27,2020,clear_non_english_abstract,f6f768af771547cd842e268ac7eb79d2679a1bf65d4eaa352cfc5fe555e30019
W3130971612,base,17,2020,clear_non_english_abstract,e6e370bdad4af203edca1d5e8f01f4fe882f66e9cc892d14572d7512023dc350
W2804202843,base,32,2015,clear_non_english_abstract,74f110cc5764de0968c5bdac0543063ca1e3620e388e6dc78837d814073e389f
W1966520107,base,13,2000,non_abstract:acs_webpage_instead_of_abstract,bfe62a97dc06991ea99b1479b990b8103b753066731bf2048249d45e03d57ded
W2736595365,base,33,2015,clear_non_english_abstract,04eebfb95b4654a4ea5dc5ac66e5f12114fa7f63fedb32a13f0d0be2d7c7f649
W4400116457,base,33,2020,clear_non_english_abstract,04ffbf2dd15a47f1d66744d43c1f7fe30765fdcc99385749a7b42ad3de755f81
W7210700552,base,11,2005,non_abstract:reviewed_non_abstract_template,a6e57bf486f1e177d328675e1f367cc57e20e86439010ab4d09812af7b4690b3
W3093741433,base,27,2015,explicit_withdrawn_or_retracted_label,c0bdec0360ddcd60c189dd9750a7d9ee2c4322184c4326d2c2364cb415e1e455
W4375928158,base,33,2020,clear_non_english_abstract,be83a64f22f073b2a9dfd5c2a894cb24a8b60eea3506265f0a0a0dca6f49b594
W2946067366,base,32,2015,clear_non_english_abstract,777163f86a7d9fea51e397e3099e68955566f487f85f81f4df6b7820bcf0677e
W3007836256,base,33,2015,clear_non_english_abstract,9f5bd4ea288f0db360e8789351147b47e7e63b6786076fabdfb1c81816440868
W2926494398,base,14,2015,clear_non_english_abstract,e7d4781e318c06023f8dd376002bf9f122e65e0b0dbc1c053d99fe5f70fc2117
W2978544843,base,11,2015,clear_non_english_abstract,1baac2604c4f550f7c2ae732046e0e22ba0abfea4d5070788fdef3a9ef9d8fec
W4249202226,base,29,2000,clear_non_english_abstract,9e70595d09c9e83d4454002bd641413db59b6e2b2f16420beb4aea987069c897
W4366758422,base,33,2020,clear_non_english_abstract,0b96bbee855a7bff552255cc71be8f3ef728c39f1fa94f01f8defc9e9058759b
W3119354897,base,33,2020,clear_non_english_abstract,f806c9f48ae62130f5d125c54248fed5892674815ad7ca2c657d9a219197060d
W1603754734,base,20,2005,non_abstract:reviewed_non_abstract_template;clear_non_english_abstract,fff7f2b80640a07d7a148cbbcb29ab0586e5be9d274c5f1ce6d99fd82c4f71f1
W4384344264,base,33,2020,clear_non_english_abstract,9949e4e2485a2c140171649a51276411a319c436b2d0bbbbbb93dd0b463a30b7
W7211521218,base,27,2015,non_abstract:reviewed_non_abstract_template,d5e3b8eb809ae0db7b04598b180fb9774da7abaa624353c5f8e4294349a459a3
W3155667680,base,17,2010,clear_non_english_abstract,65c4cf33b9bacf82d2cfb5618b2615c9dfaf3ab179043e9094a0e44e40b0ceef
W2334364541,base,23,2015,clear_non_english_abstract,99a88f35bf24d0af76e1e21bf4062a3270ea7ff68cffbebef716ce0118b41f2e
W4387323343,base,36,2010,clear_non_english_abstract,34b371b4f635a39f2ef24530a008e305b9291f0288deb0f64e6cb3250d4893f3
W7168083062,base,14,2020,clear_non_english_abstract,992b5b296c63e0183f0ebca4d209f26df0279ce118574ef88f130eee155ad597
W4255584168,base,16,2000,non_abstract:acs_webpage_instead_of_abstract,f5c0a1065c9c86a6fb1e7d57a3a756215c8f222f3584b30ce587d0f2446d277c
W3195516850,base,33,2020,clear_non_english_abstract,9d207947819bb3285d36d4dea8aa9da088c1c7dae749c8e2a34f1efdd381d0c4
W4324123929,base,36,2020,clear_non_english_abstract,458125c8dbb6998f5fe2d865ba1c89721ba62816404b29b1712c331f9185c17c
W4390440844,base,22,2020,clear_non_english_abstract,55c06ebba1948c4116392bb355292f6657a0670a1a9a5e94a9cfd1e1885a4f7a
W3124120621,base,22,2020,clear_non_english_abstract,ee9c57420a75851121db8da6dfffdac6433db5dc495981d1e41a08ad74d33b27
W2775202741,base,17,2015,clear_non_english_abstract,c732f7ad2ef9efcc88b4ec7b777692edf219752129c10057ee1ee34d525415ae
W4282827243,base,16,2020,clear_non_english_abstract,164736e3bfe88aaeacedd191ac87bc2edd97483be17ff9b87cf8a7f0f6160df3
W3150502450,base,23,2010,clear_non_english_abstract,957fc564ca79e66dbe97e688f070dc87eec66a8d31c2c59737306f9752fb23be
W4387582545,base,33,2020,clear_non_english_abstract,1d8c5abc73e443555e773a6123f3f55e67155eb98e068a193cace0cd2053b6dd
W4299488014,base,33,2015,clear_non_english_abstract,5559c15b7e058c7db465d796dc529b008d3b5fad48cf17e0be3e46a0450a1ee9
W2981112888,base,27,2015,clear_non_english_abstract,ea7b447624aabeea9377171e82f11a18b2cafe38ca10498e4639f0f91dac0264
W4395092170,base,14,2020,clear_non_english_abstract,7822888d7d6de5f0109564ee755b7c87f03feb8392bb8db17159a61e822d0854
W3185852152,base,14,2020,clear_non_english_abstract,72eac2eb7f1f44c5c429616b7fbc1d20f0d28726c4f0c4e2cb8072dc302d1046
W2312752232,base,12,2010,clear_non_english_abstract,57625e66b9134612809ec72399764636cbf1460a760af885d93a1f2f7339cb15
W1959954936,base,12,2010,clear_non_english_abstract,3783a28fa2a158a2b502b34bb1f5d3705e4761c504aa9c5e6d6ff4c084c087ce
W2766118175,base,17,2015,clear_non_english_abstract,0c1bb780d32c50365bd60408dbb69f55becde76af36de61c126cfea4c47b8d16
W2611206524,base,12,2010,clear_non_english_abstract,d2f67a128a19a3b4b3602ce3533acda0e1e0f90131b05822d7b2d6cea24fc408
W3205407687,base,20,2020,clear_non_english_abstract,d4d3d54891a0d3fcd42bb8865a6aca909818e2332829f8ebe1aff0254eeaa407
W4312307084,base,12,2020,clear_non_english_abstract,cfc7dbfbd7775b43b02ae295947e54372866204d5707e129e181adc5b7bfa393
W4249760738,base,33,2015,clear_non_english_abstract,a811a582c0e6e9a60cbfe1e644be5c67c36060da39adf8562bdbdc151285c1d0
W4321610466,base,33,2020,clear_non_english_abstract,40b3a8dc16920a5704198d5b4a0d5941c963e92a5b523a8d0dbf34063c067c8c
W1753565795,base,33,2010,non_abstract:reviewed_non_abstract_template,27a129ee552b3da049081d6780f4762870ac65ba8baf244939ecca135fb40f96
W2521035703,base,17,2015,clear_non_english_abstract,93accc7df329619b6dcc24759b02d28b315f02caeff67cf4c5ee10e4e117a100
W3106952805,base,33,2015,clear_non_english_abstract,a125f2782cf71c82accf2e84705bb944be467b96750acb2fc25047fca616c76e
W4323520382,base,27,2020,non_abstract:reviewed_non_abstract_template,13fac2d567bddb16728fd8931519f6c797965e8a0383420433dc6f588f281848
W3021340888,base,36,2015,clear_non_english_abstract,212d7d1f5010a0154e02489a55b2bc1f0a3209f743e00d9ab65791b17c3026c9
W2114891424,base,20,2010,clear_non_english_abstract,d419b92e7fcf6cae8746a46a124c1fcbaac53340fc10314bc944da6b845a4616
W7137396317,base,33,2005,clear_non_english_abstract,04f276ea1ac13323ff62718119d80a196e13e8bee200e1bee923070a357d3aa3
W4240708081,base,22,2005,clear_non_english_abstract,b7460849e6567a91f531d0bf6cdd26c28213612f3a583dc73b7c149ad368b256
W4296360863,base,33,2020,clear_non_english_abstract,7378a11fa215348758c6f35673bceb5643f2351d2bb7617bbe3e4433e012ffbc
W2946572923,base,24,2015,clear_non_english_abstract,0c4128b2b8ee377c1815a5e8db9336915b56d1f7e0b31ef1a3b05e34b8da35e7
W4236007609,base,16,2005,clear_non_english_abstract,c1b8da63c9dd165f9ee6da3a54a17668b7086d5d3e32dcb5601f09ad4138f808
W4244444237,base,27,2005,non_abstract:reviewed_non_abstract_template,deea8c389e1fa16d059a1a7afef2cb43a0c869a8bd77906d998670652fbed9ec
W2961278484,base,33,2015,clear_non_english_abstract,4e1bbd2c77c87703b49265af2dc284e851122f328a67c52b1fe5ea53c541cc71
W4313037971,base,12,2020,clear_non_english_abstract,689e12e5f6d681575aed9318b8d5426666733f141182335a4548e3ef5cfb22a6
W3217497493,base,27,2020,clear_non_english_abstract,68379a82f8c0e4d1801589eb67987a128af3700abe3bcf8667cd15e3a718c40e
W4402623629,base,22,2020,clear_non_english_abstract,78422cf1d19c591b548b3ba2532cf023c63ba4c5770f66da7acc790cfd396976
W2068232770,base,28,2005,clear_non_english_abstract,197353512b768bbcd3c8196b49add8180fa84f58d225678d6387d33b0e03d783
W3038797916,base,22,2020,clear_non_english_abstract,75dcb94d97ac09a4cfd3731ba287f436f4f7ad2d662e7130f5040a5c210f4012
W166772166,base,33,2005,clear_non_english_abstract,885a535d8c5a5e116c94eebb936ef76ff6d6a3b0027921f753bddca9ae84c7be
W4403014554,base,22,2020,clear_non_english_abstract,c8e48c2aa3a27b146122febb3c710deeba03d69f3f3c0f432c3bf985ef2c3112
W3008726094,base,27,2015,clear_non_english_abstract,957ccf73ceef2112032340c945fccff77045b6e7c484c202963d5db0056e8a33
W2759163379,base,17,2015,clear_non_english_abstract,c1664f1d8f9cbe32c6995fd3cb3d9762d757960a533a084e7e75ef9268e07d94
W3113396143,base,23,2020,clear_non_english_abstract,f1af0772ce301b89d3adccd8405e3df731309c2b62676ddce698304617fc2d1a
W2302041796,base,27,2000,clear_non_english_abstract,4bce7960d900f3bba9fe6b587859420a6d372ec828fd2fa729a3136df6a1c435
W2785281164,base,22,2015,clear_non_english_abstract,b3b01db884381272a5534f262a8f0de54029f1de2c0e5e70822dda467c782204
W4392712456,base,17,2020,clear_non_english_abstract,ef9090106e41c583766406ba1042d5f43e87bc42f8e0a2bd24fab6766b4eba07
W1496737878,base,17,2005,non_abstract:reviewed_non_abstract_template,8e4fb813dc55db4242fa51ef08d30017544f9ea41979bf5bb7edb9a81b35cee1
W3177372988,base,33,2020,clear_non_english_abstract,13ce5599e9a1356790705748b5938161376e45d5eeb9e94685bcf4adbedbbff0
