work_id,selection_order,cohort,field_id,period_start,title_language,title_score,abstract_language,abstract_score,text_sha256
W2324573595,297245,base,27,2010,en,0.8010557889938354,tr,0.9830918908119202,da5962ebdef59d5aefe19ed6d4ed026f68cfba9a8426fb090e04c38a098efdd2
W4309541811,297261,base,27,2020,en,0.7881214618682861,en,0.7990658283233643,6092f0cd62089daf040f4c14df8e75792e376175dc483936270ab86404d6d500
W2271207055,297263,base,22,2005,en,0.4983007311820984,id,0.8311801552772522,5f22ccf7aa2b10c7c3a2daaa0dc023d3627a4e445dbe180d84a6015b3c50a9ef
W4385605400,297287,base,33,2020,id,0.3305961489677429,id,0.4713939428329468,40e3bdd514ca8908b7dec3ee41d8372f9506d559af8175865af2131f9daa3d47
W3030385957,297321,base,13,2005,en,0.8104336857795715,zh,0.7530788779258728,0b8e95109b232fdd6b1f249967d324b883dc3c0e9daa142086b0c8436bfdb8a6
W3024092168,297340,base,33,2020,en,0.8585452437400818,en,0.6061044931411743,e1e3c908c8dba50265a5b689da32a51f0b41d2efe993f398240f3348853a3fce
W4226288306,297358,base,27,2020,en,0.8247653245925903,ko,1.0000698566436768,cd90f48b5581aac28d77e3fcf94345cf6d44f838f62d8efe28e9b6e9a2734339
W2254223783,297417,base,32,2005,en,0.8013578653335571,ko,1.0000699758529663,91e5563d8c7cf1b186b51b9d7e9453e5b7cf7f62e21d1e9dc5781078b508c258
W2355555931,297433,base,25,2015,en,0.7558151483535767,en,0.5547692775726318,d4515a4115d9daeb4dac6a054ca95f91006cc31102d37a90f25bc6ff29b16324
W1578606456,297501,base,22,2000,en,0.7156974077224731,ar,0.8060871958732605,f989be66b82944dad7c19e8cbdb505b4a0ac04078a32c2b1811ff70dd863cc1e
W3203792386,297537,base,33,2015,en,0.8084986209869385,id,0.48194485902786255,a21e7945a7ee60da833d9f50d3fbf06eb042edba6d61060d04f2bce2a4a4798f
W101940883,297539,base,12,2000,en,0.7684671878814697,es,0.9198310971260071,15c6c631df9bad36b9796ac472822246312d2a07f35e99bb817b97615520231e
W3042908933,297568,base,22,2020,en,0.645424485206604,en,0.7454533576965332,4ebb058bf3dcc795c951d74b39f2611e67492e1eb1d12df27c01d2db440c8abe
W4301137012,297687,base,12,2015,tr,0.2579716742038727,tr,0.9953338503837585,542db994bfd541b1be11e3f0af8b86b5e26c2434fc2fc2b50470273c23684e5d
W1490477938,297712,base,22,2010,en,0.6701458096504211,en,0.7359896898269653,ced662d67fdb059b9e3880655be6b14091b47ebd77fe9344b732731bfcf38c86
W2074190816,297715,base,25,2005,en,0.7064287662506104,en,0.7863490581512451,5e684d87ab64d25f45dac4099fb634ecd13a59f6daed137d86792d34c503ab16
W2804617849,297732,base,14,2000,en,0.15699483454227448,hr,0.4961777925491333,ac60bbdedc2f937905e86e75fe65f5ed8fcba6235ce594328dd87122ed3a771e
W4235793995,297778,base,11,2005,en,0.33190685510635376,en,0.7688008546829224,56dce998b6a9e4fce0aa41940de032d36da469451ca282e8e9194226929fe8b5
W2910934498,297780,base,27,2015,en,0.8286816477775574,es,0.789556086063385,b5ba46dba6035a8b9d77531974b4cc146ae8d0ab5159f07c15ba047e5dc33db7
W19823754,297786,base,27,2005,en,0.876674234867096,fr,0.6945273280143738,750491aeb7884741045050d743feefc7fbf0fdc057ce65be1b9f88cdd7bfd812
W7211033757,297834,base,12,2015,en,0.36072462797164917,en,0.7199748754501343,4c4ca76d8a07f5d7b7337cb7b7136e840f7895e07a9be198c5225d1d38f67c99
W2326687381,297916,base,27,2010,en,0.6175288558006287,pl,0.9999443888664246,1b1c817a544066c77095b1cc68ded2cf0dc8313e03bc4258100c1310e3cd2f61
W2177545747,297935,base,12,2005,en,0.8855314254760742,it,0.9867489337921143,caac5cf1f34142bfb8d066085835eb85aaf0d0cef6ef6e2b73ac085f9383c036
W1980888699,297938,base,31,2005,en,0.8106428384780884,en,0.5519887804985046,c527ffc9031624b16c56a517972fd9619280be74c0a5fc4d5ca22b857848746f
W2412386682,297967,base,26,2015,en,0.7535101175308228,en,0.7777336239814758,725680be0bee6676c3b30a435ec39fd5fb01ad32cf7c9570eae960a6469daf24
W2539231021,298008,base,22,2015,en,0.6465000510215759,en,0.552698016166687,ac3f8f36ad29d67071a1aec9e256005804347dcdf1001bddde3c4d142952fc3f
W4387063888,298028,base,27,2020,en,0.271893709897995,ro,0.788001537322998,661979bf9eb5b1503162be2c2444c728206a9355a6ebfbeba9534730fdb96ff9
W1581885204,298030,base,22,2000,en,0.35835424065589905,en,0.7956503629684448,6b56748658fb99938c7faa9e1597db3c3c4e53479882bd53ced9587e56cb7485
W2005572195,298034,base,33,2000,en,0.7022222876548767,en,0.6504420042037964,7d795ed9f44682106037ae2538f7d5bc542d5b1e6a28c4fe318f2d1bff313bcf
W2468604225,298047,base,26,2010,en,0.787964403629303,en,0.6918355822563171,ac341f634315b1daa8078d7a8b62e9ff0f6b63b22cb202e9e125a1bf6bac063b
W2952547918,298059,base,22,2015,en,0.761758029460907,en,0.414132684469223,53d1bd7b99912d3f8e4e01f61418b6e49b73ddda91e42d226dbc41523299ef1f
W4378374702,298082,base,33,2020,en,0.9369217753410339,pt,0.9676052927970886,54e22c6a2450c09e160d173e10e015c22036de3db15a26dec3080fedb54f2fe4
W2746826308,298085,base,13,2015,en,0.7493329644203186,ja,0.9988932013511658,3e7e20a11df2291ec5c114fe3d2ca49649ed4773c47db5b688e790c3ef472db8
W3112535684,298100,base,25,2020,en,0.7810319662094116,en,0.74518883228302,9ec521d35fddd2e0500ecc8bdd6ab81c8099129282af2c34225fb5470d64ae81
W2734406984,298178,base,33,2015,en,0.3461689054965973,en,0.7718350291252136,b80a51d19fccea41a696dda179b51cb58944e343ea176ae9ca37897d8c6eda80
W2014226436,298190,base,11,2010,en,0.7046533823013306,en,0.4679795205593109,8d8a5212e9a00ee6c1e4395f1014a0575b9bdb0b21260844c47ca436ab9f596c
W2241387348,298229,base,27,2010,en,0.8417379260063171,en,0.7223784923553467,d8f4fd62873efd5668733a8f1e00cde54b0a74321c2e820e1179be07a49ee27e
W2322776752,298271,base,12,2010,pt,0.9638829827308655,pt,0.9820517301559448,258cd03cfe611d15a2cf6aee7c3cca1a5249a05d92dad8dafe2f963d250f40d2
W2326756977,298295,base,22,2015,en,0.7083853483200073,en,0.705333948135376,fe8fc48962685c9b5c0a70209c79858f5ffa75b37db7de556d4f25863a2540df
W3024814326,298313,base,29,2020,en,0.7198118567466736,ko,1.0000699758529663,181d1b29b8d3ffa2a1c9fe71627623a783cfb65002e26f01cf6bddbf00ef957c
W4402613669,298326,base,34,2020,en,0.5865245461463928,tr,0.9906379580497742,a960847f142abb4b84321d29d35047d6d48c5f6d33f267859e1bda6f30a4e9e1
W2323001616,298347,base,12,2000,en,0.8193126916885376,en,0.795911431312561,5eceaa54372b4c2b604133b24c2c71530afd873807a95c62b15c399f2baa0386
W2386007568,298429,base,27,2005,en,0.6853634715080261,en,0.7668710350990295,c6248ab88227ed2220d456e27c3f7469907c86862a26f9e007945686d151e8e4
W2730998524,298445,base,12,2015,en,0.4367716610431671,ro,0.8614280223846436,b0c373d52e4eded3ddeaa61bd28fc8ab084d24c6fd13e02f14a1a744dbc1e739
W2322476144,298446,base,22,2005,en,0.7413696050643921,en,0.6527538299560547,baf79605e24d8de14bc0478497ae4559dbb0c53f94159c16306e1cf197038974
W2900889023,298457,base,11,2015,id,0.2011207789182663,id,0.8812569379806519,0c24caaa6c95a1545b64e1eed2aa5ee6cb00bb1019ab02fb08bdd72a41c16bbf
W2317974643,298461,base,19,2010,en,0.7610867023468018,ko,0.8510092496871948,e4fad38900cfb41e91f4af19ea3eb7a8b2f057f4a24b0e6b8d756b3287ed6962
W3030412053,298536,base,22,2010,zh,0.7715274691581726,zh,0.7787047028541565,b75334ede9bf9e10bdf61fc363b81b7792293280a90a5cbc0c3335383aeb38dd
W2757707827,298548,base,22,2005,en,0.6914998888969421,en,0.49343210458755493,120e7026a896bd2f8f656d581432d46be115cc4619a3c7061a94c99a925f9747
W4405961222,298612,base,32,2020,tr,0.9607341885566711,tr,0.9975465536117554,183ecd56a1605bbe8883e753936bfac917411d71d4c394147947c6b62d28efeb
W4388747607,298616,base,32,2015,tr,0.8919065594673157,tr,0.997846245765686,d699fb3a97a5125d3c9de86d555199b6de43204f003741b54fa57c8884aabe15
W2766557970,298647,base,17,2015,en,0.8016102313995361,ko,1.000069260597229,36a3ea776aa654ed0ae6ec9b38d798b7cdb4a6bbfa36839b0f573d593a4e0b57
W4319830580,298663,base,12,2020,es,0.1348770409822464,id,0.42663058638572693,a98a6c353a81b71cb719943eb6362308da64d22896e16820201834fe736e4a69
W2019708202,298665,base,33,2005,en,0.6064175367355347,en,0.5350506901741028,79ffdf25ed6a4159e4c76bcb2e272fd7a564c670f67bd791d6273077f9a578b3
W3155821456,298715,base,33,2020,sl,0.8920341730117798,en,0.5952985882759094,018bc0735f345b6687765260d5dd0b4622032e97950caac83e52c7353a71d6ca
W2782497754,298791,base,12,2005,en,0.47807297110557556,hr,0.5871158838272095,b9e046085d2feee320390e60b4cfeb36e1ad6fb5622ada24d750e534e9b9a19d
W2750571015,298811,base,20,2005,en,0.6007689833641052,sh,0.2416096329689026,e5063965162212d03064b3216e8d4754f1c7490ff9fbdeb4d076731b1e48cac2
W4407203660,298852,base,17,2020,es,0.9803817272186279,es,0.5914793610572815,2002daaf8f1ef7dc668d0bb43e6b3e0e8ec965578e75f9d41d30850c6dc9b4b1
W2034776322,298984,base,32,2000,en,0.9280117750167847,fr,0.9955686330795288,827ee19b571d1c5f40ca631d3ef5d431e39bfdbbd7f48be00dbc08de04ea679d
W4313904506,298988,base,33,2020,en,0.8000373244285583,ko,1.0000699758529663,10a68066d2733c32cfa5c8cb3cb116bad4adb8d78c89c5c9b29012cdd65d7dbb
W2625873908,299025,base,25,2015,en,0.856522262096405,ru,0.9980381727218628,37975dc520bf75aa6f69bb295720e756621b75ce401b0eb8151776ad519fcf17
W2900185928,299043,base,12,2015,en,0.78267902135849,ko,1.0000698566436768,b4f88d23c84f4641e2e1aed7cdc540c19b067729091c856ffc2b43176c4ddf78
W1972396373,299069,base,17,2010,en,0.5232800245285034,ko,0.8517711162567139,92d914cb3b9503bf955afd38a9820890e2d24bdcf5d8febc96e3623f163a7275
W4300979837,299091,base,17,2020,en,0.5829857587814331,en,0.7304933071136475,adc5cb84291045878fbd9d9d460f574ef2767882b47059df5d73f57b7c380e2a
W2131617055,299105,base,17,2010,en,0.6080202460289001,en,0.7217777967453003,2fd06a21990a4165225af3a195071f1086ca8d864a7c673dc1705c04d59b6192
W4323043109,299238,base,19,2020,en,0.6857929229736328,en,0.7861534357070923,6b74377c73e56d12fd2fbbbd7e640cf1b19a47f23f0a0a6689db5d3ef889752d
W4293261659,299244,base,36,2020,en,0.8434613347053528,id,0.5430323481559753,22a0539515391fefa52160f259b43729b8c73bb2ef0a974b81d7ad7413c58210
W2992600907,299279,base,32,2015,en,0.7776629328727722,ko,1.0000698566436768,13c46873e61234d0899524587625e56045d785eb85f0984640c35f43f716fa37
W4237299709,299316,base,13,2010,en,0.7515074610710144,es,0.5291692614555359,1a2ac4daa1d5a61fdb3b6c830533dbeb551a4f08bdae0181ccbb4451d3e46f63
W1784977877,299355,base,22,2010,id,0.2039480209350586,id,0.7985152006149292,dc28505870925421ac5f30a3f5a6b6c6c99975e315408fdbb4da551f0eef768b
W638361850,299432,base,20,2000,en,0.7378339767456055,en,0.7985267639160156,ff87490f5cc86b3d5eac4b9aa172402a5bc08bdd673a88ce47a8898b77838f14
W4406974795,299455,base,22,2020,en,0.8783631324768066,ko,1.0000697374343872,93965f005896ce4ec4b7191ee1a264db3f8ec3dab5495a362fa15434a79bf7f9
W2323141666,299461,base,35,2010,en,0.7695621848106384,ko,0.9945089817047119,3925cbb170360a0f042d967f702c9c4894c476b3acd054e8ae4a283f4dd66e1a
W2794961163,299504,base,33,2010,en,0.9416311383247375,hr,0.4554438591003418,060807cbd95f1eadc84c9b0e7b44b42cf4a44826bbd4fe2b0477dca4a9a810c7
W4379914013,299519,base,33,2020,en,0.20231281220912933,kk,0.9961785674095154,7542ecb8a87b4d7ef97719b4d418151c4742b81ae47f3012eb13126207bb837a
