outcome,field_a,field_b,biomedical_models_in_pair,model_pairs,group_difference,weighted_contribution,total_difference
neighbors_2048_mean_k50,27,31,0,28,-0.04736230468749999,-0.029469878472222214,-0.049113368055555544
neighbors_2048_mean_k50,27,31,1,16,-0.054222412109375,-0.01927907986111111,-0.049113368055555544
neighbors_2048_mean_k50,27,31,2,1,-0.01639843750000003,-0.0003644097222222229,-0.049113368055555544
neighbors_2048_mean_k50,27,26,0,28,-0.01919880022321428,-0.011945920138888885,-0.00989283854166667
neighbors_2048_mean_k50,27,26,1,16,0.0031899414062499885,0.001134201388888885,-0.00989283854166667
neighbors_2048_mean_k50,27,26,2,1,0.041349609374999985,0.0009188802083333331,-0.00989283854166667
neighbors_2048_cls_k10,27,21,0,28,-0.010308663504464303,-0.0064142795138888995,-0.010876302083333346
neighbors_2048_cls_k10,27,21,1,16,-0.011738891601562499,-0.004173828125,-0.010876302083333346
neighbors_2048_cls_k10,27,21,2,1,-0.012968750000000029,-0.0002881944444444451,-0.010876302083333346
neighbors_2048_cls_k10,27,31,0,28,-0.004462541852678586,-0.0027766927083333424,-0.008192925347222232
neighbors_2048_cls_k10,27,31,1,16,-0.0147418212890625,-0.005241536458333334,-0.008192925347222232
neighbors_2048_cls_k10,27,31,2,1,-0.007861328125000067,-0.00017469618055555703,-0.008192925347222232
neighbors_2048_cls_k10,27,26,0,28,0.013143833705357127,0.008178385416666658,0.012132161458333325
neighbors_2048_cls_k10,27,26,1,16,0.008789672851562503,0.00312521701388889,0.012132161458333325
neighbors_2048_cls_k10,27,26,2,1,0.03728515625000001,0.000828559027777778,0.012132161458333325
neighbors_2048_cls_k25,27,21,0,28,-0.03184542410714285,-0.01981493055555555,-0.030647309027777774
neighbors_2048_cls_k25,27,21,1,16,-0.028580078125,-0.010161805555555556,-0.030647309027777774
neighbors_2048_cls_k25,27,21,2,1,-0.030175781249999922,-0.0006705729166666649,-0.030647309027777774
neighbors_2048_cls_k25,27,31,0,28,-0.02108384486607143,-0.013118836805555556,-0.02438914930555556
neighbors_2048_cls_k25,27,31,1,16,-0.030314941406249997,-0.010778645833333333,-0.02438914930555556
neighbors_2048_cls_k25,27,31,2,1,-0.02212499999999995,-0.0004916666666666655,-0.02438914930555556
neighbors_2048_cls_k25,27,26,0,28,-0.00042187500000000807,-0.000262500000000005,0.0010525173611111139
neighbors_2048_cls_k25,27,26,1,16,0.0018793945312500166,0.0006682291666666725,0.0010525173611111139
neighbors_2048_cls_k25,27,26,2,1,0.029105468750000085,0.0006467881944444464,0.0010525173611111139
neighbors_2048_cls_k50,27,21,0,28,-0.05372719029017855,-0.0334302517361111,-0.05157178819444443
neighbors_2048_cls_k50,27,21,1,16,-0.048115234374999996,-0.017107638888888888,-0.05157178819444443
