field_id,recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
11,cls,neighbors10,simcse,abstract,0.8059777777777777,0.27390000000000003,0.5320777777777776
11,cls,neighbors25,specter,title,0.6656,0.5152000000000001,0.15039999999999987
11,cls,neighbors25,specter,abstract,0.6656,0.27056,0.39503999999999995
11,cls,neighbors25,specter2,title,0.7046133333333333,0.54452,0.1600933333333333
11,cls,neighbors25,specter2,abstract,0.7046133333333333,0.2872,0.4174133333333333
11,cls,neighbors25,scincl,title,0.6645644444444445,0.50392,0.16064444444444448
11,cls,neighbors25,scincl,abstract,0.6645644444444445,0.21736,0.4472044444444445
11,cls,neighbors25,scibert,title,0.7721911111111112,0.85304,-0.08084888888888886
11,cls,neighbors25,scibert,abstract,0.7721911111111112,0.29752,0.47467111111111115
11,cls,neighbors25,bert,title,0.7872977777777777,0.88984,-0.10254222222222231
11,cls,neighbors25,bert,abstract,0.7872977777777777,0.40608,0.38121777777777766
11,cls,neighbors25,mpnet,title,0.6577466666666667,0.46084,0.19690666666666667
11,cls,neighbors25,mpnet,abstract,0.6577466666666667,0.16571999999999998,0.4920266666666667
11,cls,neighbors25,minilm,title,0.6820266666666667,0.5436,0.1384266666666667
11,cls,neighbors25,minilm,abstract,0.6820266666666667,0.21336,0.4686666666666667
11,cls,neighbors25,pubmedbert,title,0.7647022222222222,0.86096,-0.09625777777777778
11,cls,neighbors25,pubmedbert,abstract,0.7647022222222222,0.21031999999999995,0.5543822222222222
11,cls,neighbors25,biobert,title,0.7270311111111112,0.83544,-0.10840888888888878
11,cls,neighbors25,biobert,abstract,0.7270311111111112,0.21799999999999997,0.5090311111111112
11,cls,neighbors25,simcse,title,0.7493911111111111,0.7973600000000001,-0.04796888888888895
11,cls,neighbors25,simcse,abstract,0.7493911111111111,0.23236,0.5170311111111111
11,cls,neighbors50,specter,title,0.6158933333333333,0.45396000000000003,0.16193333333333326
11,cls,neighbors50,specter,abstract,0.6158933333333333,0.22671999999999992,0.38917333333333337
11,cls,neighbors50,specter2,title,0.6594155555555556,0.48356,0.17585555555555565
11,cls,neighbors50,specter2,abstract,0.6594155555555556,0.24804000000000004,0.4113755555555556
11,cls,neighbors50,scincl,title,0.6181533333333333,0.45121999999999995,0.16693333333333338
