field_id,period_start,model_a,model_b,k,all_candidates,fixed_queries,all_queries_all_candidates,fixed_queries_all_candidates,fixed_queries_2048_candidates,query_selection_change,candidate_change_same_queries
31,2015,scibert,minilm,10,3388,2048,0.2259149940968123,0.224609375,0.249951171875,-0.0013056190968122883,0.02534179687499999
31,2015,scibert,minilm,25,3388,2048,0.27789846517119243,0.2776171875,0.31224609375000006,-0.00028127767119245917,0.03462890625000009
31,2015,scibert,minilm,50,3388,2048,0.3271959858323495,0.327236328125,0.36419921875,4.0342292650485945e-05,0.03696289062500002
31,2015,scibert,pubmedbert,10,3388,2048,0.4421782762691854,0.442724609375,0.4650390625,0.0005463331058146448,0.022314453124999967
31,2015,scibert,pubmedbert,25,3388,2048,0.4910507674144038,0.49314453125,0.5186718750000001,0.0020937638355962296,0.025527343750000098
31,2015,scibert,pubmedbert,50,3388,2048,0.5309563164108618,0.533720703125,0.557568359375,0.002764386714138145,0.02384765625000007
31,2015,scibert,biobert,10,3388,2048,0.41915584415584417,0.418310546875,0.442138671875,-0.0008452972808441483,0.023828124999999978
31,2015,scibert,biobert,25,3388,2048,0.4689964580873671,0.469375,0.49785156250000007,0.0003785419126328682,0.02847656250000008
31,2015,scibert,biobert,50,3388,2048,0.5107378984651713,0.5121484375,0.540185546875,0.001410539034828795,0.028037109374999925
31,2015,scibert,simcse,10,3388,2048,0.19822904368358912,0.19736328125,0.223681640625,-0.000865762433589129,0.026318359375000017
31,2015,scibert,simcse,25,3388,2048,0.24539551357733178,0.2456640625,0.27681640625000004,0.00026854892266822694,0.031152343750000033
31,2015,scibert,simcse,50,3388,2048,0.28762691853600947,0.288388671875,0.320439453125,0.000761753338990534,0.03205078124999999
31,2015,bert,mpnet,10,3388,2048,0.18412042502951592,0.184375,0.206591796875,0.0002545749704840894,0.022216796875
31,2015,bert,mpnet,25,3388,2048,0.23007083825265642,0.228515625,0.26095703125,-0.0015552132526564233,0.03244140625000003
31,2015,bert,mpnet,50,3388,2048,0.275655253837072,0.275498046875,0.3091796875,-0.00015720696207199847,0.03368164062500001
31,2015,bert,minilm,10,3388,2048,0.185271546635183,0.184375,0.2103515625,-0.0008965466351829876,0.025976562499999994
31,2015,bert,minilm,25,3388,2048,0.23265643447461629,0.231796875,0.2629296875,-0.0008595594746162727,0.031132812499999996
31,2015,bert,minilm,50,3388,2048,0.2754073199527745,0.2763671875,0.3100390625,0.0009598675472254903,0.03367187500000002
31,2015,bert,pubmedbert,10,3388,2048,0.33078512396694215,0.329345703125,0.3564453125,-0.0014394208419421517,0.027099609375
31,2015,bert,pubmedbert,25,3388,2048,0.38681227863046047,0.3861328125,0.4222460937500001,-0.0006794661304604932,0.03611328125000013
31,2015,bert,pubmedbert,50,3388,2048,0.43613341204250294,0.4369140625,0.47200195312500004,0.0007806504574970341,0.03508789062500006
31,2015,bert,biobert,10,3388,2048,0.35684769775678865,0.355078125,0.382080078125,-0.0017695727567886288,0.027001953124999978
31,2015,bert,biobert,25,3388,2048,0.41539551357733173,0.41396484375,0.44505859375000006,-0.0014306698273317542,0.031093750000000087
31,2015,bert,biobert,50,3388,2048,0.463323494687131,0.4615234375,0.49636718750000003,-0.001800057187130999,0.03484375000000001
31,2015,bert,simcse,10,3388,2048,0.29415584415584417,0.293798828125,0.317138671875,-0.00035701603084414835,0.023339843749999978
31,2015,bert,simcse,25,3388,2048,0.35053128689492324,0.34947265625,0.3846484375,-0.0010586306449232308,0.03517578124999998
31,2015,bert,simcse,50,3388,2048,0.40006493506493507,0.399296875,0.43205078125,-0.0007680600649350722,0.03275390625000002
31,2015,mpnet,minilm,10,3388,2048,0.5413813459268004,0.5388671875,0.56083984375,-0.0025141584268004724,0.02197265625
31,2015,mpnet,minilm,25,3388,2048,0.5837780401416766,0.582890625,0.6021875,-0.0008874151416765619,0.01929687499999999
31,2015,mpnet,minilm,50,3388,2048,0.6119539551357733,0.61146484375,0.6292675781249999,-0.0004891113857733442,0.017802734374999907
31,2015,mpnet,pubmedbert,10,3388,2048,0.1908500590318772,0.189306640625,0.21113281250000002,-0.0015434184068772172,0.021826171875000022
31,2015,mpnet,pubmedbert,25,3388,2048,0.2367650531286895,0.23609375,0.26939453125,-0.0006713031286895155,0.03330078125000002
31,2015,mpnet,pubmedbert,50,3388,2048,0.28354781582054306,0.28388671875,0.319580078125,0.0003389029294569301,0.03569335937500001
31,2015,mpnet,biobert,10,3388,2048,0.1948642266824085,0.193798828125,0.21259765625000002,-0.0010653985574085034,0.018798828125000028
31,2015,mpnet,biobert,25,3388,2048,0.24171192443919717,0.239921875,0.27242187500000004,-0.0017900494391971666,0.03250000000000003
31,2015,mpnet,biobert,50,3388,2048,0.28719598583234945,0.2870703125,0.323857421875,-0.0001256733323494741,0.036787109375000016
31,2015,mpnet,simcse,10,3388,2048,0.1656434474616293,0.168310546875,0.18623046875000002,0.002667099413370705,0.017919921875000022
31,2015,mpnet,simcse,25,3388,2048,0.20491145218417944,0.20541015625,0.22937500000000002,0.0004987040658205599,0.02396484375000002
31,2015,mpnet,simcse,50,3388,2048,0.2427508854781582,0.243154296875,0.27236328125,0.00040341139684180183,0.02920898437499997
