field_id,recipe,k,model_a,input_a,model_b,input_b,kind,mean_overlap
11,mean,50,specter2,abstract,minilm,abstract,model,0.42345999999999995
11,mean,50,specter2,abstract,pubmedbert,abstract,model,0.28544
11,mean,50,specter2,abstract,biobert,abstract,model,0.29816
11,mean,50,specter2,abstract,simcse,abstract,model,0.2581
11,mean,50,specter2,abstract,specter2,title_abstract,input,0.75196
11,mean,50,scincl,abstract,scibert,abstract,model,0.34326
11,mean,50,scincl,abstract,bert,abstract,model,0.31536000000000003
11,mean,50,scincl,abstract,mpnet,abstract,model,0.56204
11,mean,50,scincl,abstract,minilm,abstract,model,0.50054
11,mean,50,scincl,abstract,pubmedbert,abstract,model,0.31568
11,mean,50,scincl,abstract,biobert,abstract,model,0.32882
11,mean,50,scincl,abstract,simcse,abstract,model,0.29414
11,mean,50,scincl,abstract,scincl,title_abstract,input,0.8154399999999999
11,mean,50,scibert,abstract,bert,abstract,model,0.48788
11,mean,50,scibert,abstract,mpnet,abstract,model,0.34262
11,mean,50,scibert,abstract,minilm,abstract,model,0.3332
11,mean,50,scibert,abstract,pubmedbert,abstract,model,0.62082
11,mean,50,scibert,abstract,biobert,abstract,model,0.6250800000000001
11,mean,50,scibert,abstract,simcse,abstract,model,0.3486
11,mean,50,scibert,abstract,scibert,title_abstract,input,0.87858
11,mean,50,bert,abstract,mpnet,abstract,model,0.34674
11,mean,50,bert,abstract,minilm,abstract,model,0.34979999999999994
11,mean,50,bert,abstract,pubmedbert,abstract,model,0.48097999999999996
11,mean,50,bert,abstract,biobert,abstract,model,0.52822
11,mean,50,bert,abstract,simcse,abstract,model,0.48344000000000004
11,mean,50,bert,abstract,bert,title_abstract,input,0.8703
11,mean,50,mpnet,abstract,minilm,abstract,model,0.5964200000000001
11,mean,50,mpnet,abstract,pubmedbert,abstract,model,0.32854
11,mean,50,mpnet,abstract,biobert,abstract,model,0.34628
11,mean,50,mpnet,abstract,simcse,abstract,model,0.32287999999999994
11,mean,50,mpnet,abstract,mpnet,title_abstract,input,0.8549800000000001
11,mean,50,minilm,abstract,pubmedbert,abstract,model,0.3179
11,mean,50,minilm,abstract,biobert,abstract,model,0.33682
11,mean,50,minilm,abstract,simcse,abstract,model,0.33368000000000003
11,mean,50,minilm,abstract,minilm,title_abstract,input,0.81486
11,mean,50,pubmedbert,abstract,biobert,abstract,model,0.6375
11,mean,50,pubmedbert,abstract,simcse,abstract,model,0.34915999999999997
