recipe,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
cls,cka,specter,abstract,0.42668992982608517,0.044662853527773855,0.38202707629831145
cls,cka,specter2,title,0.43644245073607923,0.20327087271038424,0.233171578025695
cls,cka,specter2,abstract,0.43644245073607923,0.04812202109681871,0.3883204296392606
cls,cka,scincl,title,0.42520033090564036,0.2053150277594626,0.21988530314617777
cls,cka,scincl,abstract,0.42520033090564036,0.028361903686807573,0.3968384272188328
cls,cka,scibert,title,0.5336720653199533,0.6381912718468032,-0.1045192065268501
cls,cka,scibert,abstract,0.5336720653199533,0.04061295090937844,0.4930591144105749
cls,cka,bert,title,0.5452496559237727,0.7118608378631183,-0.1666111819393453
cls,cka,bert,abstract,0.5452496559237727,0.07638181467612927,0.4688678412476435
cls,cka,mpnet,title,0.4216040959672422,0.18997345089228262,0.23163064507495962
cls,cka,mpnet,abstract,0.4216040959672422,0.022072497312031505,0.39953159865521065
cls,cka,minilm,title,0.4369406374845809,0.24735312934099923,0.18958750814358166
cls,cka,minilm,abstract,0.4369406374845809,0.03079865749905205,0.4061419799855289
cls,cka,pubmedbert,title,0.5215316992203405,0.7143301878186225,-0.19279848859828203
cls,cka,pubmedbert,abstract,0.5215316992203405,0.02969143954198121,0.49184025967835926
cls,cka,biobert,title,0.46209236585165225,0.706720411517294,-0.24462804566564175
cls,cka,biobert,abstract,0.46209236585165225,0.02974263789485032,0.4323497279568019
cls,cka,simcse,title,0.46808101475236524,0.49406914218312364,-0.02598812743075844
cls,cka,simcse,abstract,0.46808101475236524,0.027792771108903498,0.4402882436434617
cls,cka,mean_of_ten_fixed_models,title,0.4677504245987712,0.43185994623918295,0.03589047835958832
cls,cka,mean_of_ten_fixed_models,abstract,0.4677504245987712,0.037823954725372644,0.4299264698733986
cls,neighbors10,specter,title,0.7401115384615383,0.6296923076923077,0.11041923076923078
cls,neighbors10,specter,abstract,0.7401115384615383,0.3333692307692307,0.4067423076923077
cls,neighbors10,specter2,title,0.7558333333333332,0.6262461538461538,0.1295871794871795
cls,neighbors10,specter2,abstract,0.7558333333333332,0.3303038461538462,0.42552948717948713
cls,neighbors10,scincl,title,0.7283149572649573,0.5904230769230769,0.13789188034188035
cls,neighbors10,scincl,abstract,0.7283149572649573,0.2546346153846154,0.47368034188034197
cls,neighbors10,scibert,title,0.8350337606837607,0.9100923076923078,-0.07505854700854701
cls,neighbors10,scibert,abstract,0.8350337606837607,0.3291807692307692,0.5058529914529915
cls,neighbors10,bert,title,0.8532705128205127,0.9373846153846154,-0.08411410256410255
cls,neighbors10,bert,abstract,0.8532705128205127,0.44406538461538464,0.4092051282051282
cls,neighbors10,mpnet,title,0.714388888888889,0.5355115384615384,0.17887735042735045
cls,neighbors10,mpnet,abstract,0.714388888888889,0.19071153846153846,0.5236773504273504
cls,neighbors10,minilm,title,0.7280337606837607,0.5988730769230769,0.1291606837606838
cls,neighbors10,minilm,abstract,0.7280337606837607,0.22821538461538463,0.49981837606837615
cls,neighbors10,pubmedbert,title,0.8231692307692308,0.9225461538461539,-0.09937692307692308
cls,neighbors10,pubmedbert,abstract,0.8231692307692308,0.26180384615384616,0.5613653846153845
cls,neighbors10,biobert,title,0.8037448717948718,0.9006807692307693,-0.09693589743589744
cls,neighbors10,biobert,abstract,0.8037448717948718,0.25698846153846155,0.5467564102564103
cls,neighbors10,simcse,title,0.8125282051282051,0.8524807692307692,-0.039952564102564085
cls,neighbors10,simcse,abstract,0.8125282051282051,0.27963461538461537,0.5328935897435897
cls,neighbors10,mean_of_ten_fixed_models,title,0.779442905982906,0.750393076923077,0.029049829059829058
cls,neighbors10,mean_of_ten_fixed_models,abstract,0.779442905982906,0.2908907692307692,0.48855213675213677
cls,neighbors25,specter,title,0.6889555555555554,0.5645138461538461,0.1244417094017094
cls,neighbors25,specter,abstract,0.6889555555555554,0.28036307692307694,0.40859247863247866
cls,neighbors25,specter2,title,0.7086470085470087,0.5660507692307692,0.14259623931623933
cls,neighbors25,specter2,abstract,0.7086470085470087,0.28583230769230766,0.42281470085470085
cls,neighbors25,scincl,title,0.6806184615384616,0.5326584615384615,0.14795999999999998
cls,neighbors25,scincl,abstract,0.6806184615384616,0.21454307692307692,0.4660753846153846
cls,neighbors25,scibert,title,0.7820369230769231,0.8627123076923078,-0.08067538461538463
cls,neighbors25,scibert,abstract,0.7820369230769231,0.2764276923076923,0.5056092307692308
cls,neighbors25,bert,title,0.8014188034188034,0.89856,-0.09714119658119658
cls,neighbors25,bert,abstract,0.8014188034188034,0.3818261538461538,0.41959264957264963
cls,neighbors25,mpnet,title,0.6657707692307693,0.4826092307692307,0.1831615384615385
cls,neighbors25,mpnet,abstract,0.6657707692307693,0.15964461538461538,0.5061261538461539
cls,neighbors25,minilm,title,0.6798169230769232,0.5461184615384616,0.13369846153846157
cls,neighbors25,minilm,abstract,0.6798169230769232,0.19506307692307695,0.48475384615384615
cls,neighbors25,pubmedbert,title,0.7704246153846154,0.8793399999999999,-0.1089153846153846
cls,neighbors25,pubmedbert,abstract,0.7704246153846154,0.21891538461538457,0.5515092307692309
cls,neighbors25,biobert,title,0.7467871794871794,0.8558261538461538,-0.10903897435897436
cls,neighbors25,biobert,abstract,0.7467871794871794,0.21577692307692312,0.5310102564102565
cls,neighbors25,simcse,title,0.7586150427350427,0.7951353846153846,-0.03652034188034189
cls,neighbors25,simcse,abstract,0.7586150427350427,0.23319846153846158,0.5254165811965812
cls,neighbors25,mean_of_ten_fixed_models,title,0.7283091282051282,0.6983524615384615,0.029956666666666673
cls,neighbors25,mean_of_ten_fixed_models,abstract,0.7283091282051282,0.2461590769230769,0.4821500512820513
cls,neighbors50,specter,title,0.6415035897435897,0.5072107692307692,0.1342928205128205
cls,neighbors50,specter,abstract,0.6415035897435897,0.24045307692307688,0.4010505128205128
cls,neighbors50,specter2,title,0.6630604273504274,0.5131392307692308,0.14992119658119657
cls,neighbors50,specter2,abstract,0.6630604273504274,0.2509246153846154,0.412135811965812
cls,neighbors50,scincl,title,0.6359458974358975,0.4813930769230769,0.1545528205128205
cls,neighbors50,scincl,abstract,0.6359458974358975,0.18527384615384615,0.45067205128205123
cls,neighbors50,scibert,title,0.7294705982905983,0.8098161538461539,-0.08034555555555559
cls,neighbors50,scibert,abstract,0.7294705982905983,0.23833615384615386,0.49113444444444443
cls,neighbors50,bert,title,0.7485652136752137,0.8517661538461538,-0.10320094017094016
cls,neighbors50,bert,abstract,0.7485652136752137,0.3320184615384615,0.4165467521367521
cls,neighbors50,mpnet,title,0.6196185470085471,0.43723000000000006,0.182388547008547
cls,neighbors50,mpnet,abstract,0.6196185470085471,0.13869615384615386,0.4809223931623932
cls,neighbors50,minilm,title,0.6335778632478632,0.49898846153846155,0.13458940170940176
cls,neighbors50,minilm,abstract,0.6335778632478632,0.1714653846153846,0.4621124786324786
cls,neighbors50,pubmedbert,title,0.7188260683760684,0.8315069230769231,-0.11268085470085472
cls,neighbors50,pubmedbert,abstract,0.7188260683760684,0.18804076923076926,0.5307852991452991
cls,neighbors50,biobert,title,0.6921482051282051,0.8078153846153847,-0.1156671794871795
cls,neighbors50,biobert,abstract,0.6921482051282051,0.18638384615384615,0.505764358974359
cls,neighbors50,simcse,title,0.705613846153846,0.7351261538461539,-0.02951230769230769
cls,neighbors50,simcse,abstract,0.705613846153846,0.19916615384615383,0.5064476923076924
cls,neighbors50,mean_of_ten_fixed_models,title,0.6788330256410257,0.6473992307692308,0.03143379487179487
cls,neighbors50,mean_of_ten_fixed_models,abstract,0.6788330256410257,0.21307584615384617,0.4657571794871795
