outcome,period_start,comparisons,mean,median,min,max,q05,q95
neighbors_2048_mean_k50,2000,1170,0.35210201322115386,0.3109521484375,0.14955078125000001,0.65498046875,0.20489160156250003,0.57971875
neighbors_2048_mean_k50,2005,1170,0.3561886017628205,0.3115869140625,0.15903320312500002,0.6587109375,0.20907080078125004,0.58550732421875
neighbors_2048_mean_k50,2010,1170,0.35763751168536323,0.3124951171875,0.15790039062500003,0.6499707031249999,0.20978613281250003,0.5845825195312498
neighbors_2048_mean_k50,2015,1170,0.35906478699252137,0.311767578125,0.16480468750000002,0.6412695312500001,0.21410839843750004,0.58241259765625
neighbors_2048_mean_k50,2020,1170,0.3641663661858974,0.314443359375,0.16793945312500003,0.64919921875,0.22327929687500003,0.58313525390625
neighbors_2048_cls_k10,2000,1170,0.19705220018696581,0.14692382812500002,0.059716796875,0.58837890625,0.07530517578125,0.4499145507812499
neighbors_2048_cls_k10,2005,1170,0.19999002570779914,0.14833984375,0.06123046875,0.5921875,0.07619384765625001,0.45374755859375
neighbors_2048_cls_k10,2010,1170,0.19956175714476496,0.14462890625,0.0544921875,0.5892578125,0.0743505859375,0.45681884765625
neighbors_2048_cls_k10,2015,1170,0.19644639756944446,0.14047851562500002,0.050927734375000006,0.58515625,0.07419189453125,0.4593115234374999
neighbors_2048_cls_k10,2020,1170,0.19702749399038463,0.13967285156250003,0.055859375,0.5833496093749999,0.07521240234375,0.46181884765625
neighbors_2048_cls_k25,2000,1170,0.23644254139957266,0.188896484375,0.08126953125,0.6222460937500001,0.10437695312500002,0.49281640625000006
neighbors_2048_cls_k25,2005,1170,0.24012424879807698,0.19131835937500002,0.08384765625000001,0.62126953125,0.105037109375,0.4987939453125
neighbors_2048_cls_k25,2010,1170,0.2400081797542735,0.19048828125000006,0.08259765625000001,0.6190429687500001,0.10267187500000001,0.5027197265625001
neighbors_2048_cls_k25,2015,1170,0.23749550948183765,0.184755859375,0.0736328125,0.61958984375,0.10341601562500001,0.5059091796875
neighbors_2048_cls_k25,2020,1170,0.23987787126068377,0.18458007812500005,0.08068359375000002,0.61349609375,0.1070205078125,0.5062587890625
neighbors_2048_cls_k50,2000,1170,0.2738161892361111,0.23042968750000004,0.10407226562500002,0.65498046875,0.1356611328125,0.52664501953125
neighbors_2048_cls_k50,2005,1170,0.2781822916666667,0.2334521484375,0.10688476562500002,0.6587109375,0.13528076171875003,0.5320986328124999
neighbors_2048_cls_k50,2010,1170,0.27827578291933763,0.23166015625000003,0.10555664062500002,0.6499707031249999,0.133099609375,0.53588720703125
neighbors_2048_cls_k50,2015,1170,0.27685513488247865,0.22825195312500002,0.09979492187500001,0.6412695312500001,0.13447949218750002,0.54062353515625
neighbors_2048_cls_k50,2020,1170,0.2797931106436966,0.22837402343750002,0.10971679687500001,0.64919921875,0.13822167968750002,0.5458388671874999
neighbors_2048_sep_k10,2000,1170,0.2296816990518163,0.20078125000000002,0.05629882812499999,0.58837890625,0.083583984375,0.4569458007812499
neighbors_2048_sep_k10,2005,1170,0.23262277978098292,0.20473632812500003,0.058740234375000006,0.5921875,0.08610595703125,0.4616455078124999
