field_id,recipe,model_a,input_a,model_b,input_b,kind,cka_debiased
11,sep,specter,abstract,scincl,abstract,model,0.825560245436498
11,sep,specter,abstract,scibert,abstract,model,0.46219310858877366
11,sep,specter,abstract,bert,abstract,model,0.19352643971925973
11,sep,specter,abstract,mpnet,abstract,model,0.7702581106088807
11,sep,specter,abstract,minilm,abstract,model,0.7083697954698601
11,sep,specter,abstract,pubmedbert,abstract,model,0.6991955576157449
11,sep,specter,abstract,biobert,abstract,model,0.6424091657888269
11,sep,specter,abstract,simcse,abstract,model,0.5073927107246795
11,sep,specter,abstract,specter,title_abstract,input,0.9565518018840884
11,sep,specter2,abstract,scincl,abstract,model,0.8005276640091461
11,sep,specter2,abstract,scibert,abstract,model,0.4253749671184232
11,sep,specter2,abstract,bert,abstract,model,0.187851718671853
11,sep,specter2,abstract,mpnet,abstract,model,0.74315021203364
11,sep,specter2,abstract,minilm,abstract,model,0.6861761748693438
11,sep,specter2,abstract,pubmedbert,abstract,model,0.6472577036405606
11,sep,specter2,abstract,biobert,abstract,model,0.5736224022085148
11,sep,specter2,abstract,simcse,abstract,model,0.4480376585738957
11,sep,specter2,abstract,specter2,title_abstract,input,0.9502684780920236
11,sep,scincl,abstract,scibert,abstract,model,0.4476497654895277
11,sep,scincl,abstract,bert,abstract,model,0.19141231287376514
11,sep,scincl,abstract,mpnet,abstract,model,0.7903492280386677
11,sep,scincl,abstract,minilm,abstract,model,0.7268005401358444
11,sep,scincl,abstract,pubmedbert,abstract,model,0.6801892611527827
11,sep,scincl,abstract,biobert,abstract,model,0.6130742073882283
11,sep,scincl,abstract,simcse,abstract,model,0.49445947926260564
11,sep,scincl,abstract,scincl,title_abstract,input,0.9705711878380447
11,sep,scibert,abstract,bert,abstract,model,0.29403235842147085
11,sep,scibert,abstract,mpnet,abstract,model,0.4322343250420438
11,sep,scibert,abstract,minilm,abstract,model,0.4058779572819975
11,sep,scibert,abstract,pubmedbert,abstract,model,0.6412771044902743
11,sep,scibert,abstract,biobert,abstract,model,0.6600351655894173
11,sep,scibert,abstract,simcse,abstract,model,0.4844511383665989
11,sep,scibert,abstract,scibert,title_abstract,input,0.9235975329355223
11,sep,bert,abstract,mpnet,abstract,model,0.204325339044159
11,sep,bert,abstract,minilm,abstract,model,0.20246773696518186
11,sep,bert,abstract,pubmedbert,abstract,model,0.2999316494031898
11,sep,bert,abstract,biobert,abstract,model,0.3424432553457393
11,sep,bert,abstract,simcse,abstract,model,0.2971362041546787
