outcome,field_id,model_a,model_b,first,last,endpoint_change,slope_per_five_years,increasing_steps,decreasing_steps
neighbors_2048_cls_k10,34,specter2,biobert,0.150732421875,0.13339843750000002,-0.017333984374999972,-0.0033398437499999934,2,2
neighbors_2048_cls_k10,34,specter2,simcse,0.17368164062500002,0.16811523437500003,-0.005566406249999989,-0.0005615234375,2,2
neighbors_2048_cls_k10,34,scincl,scibert,0.096337890625,0.08637695312500002,-0.009960937499999989,-0.0022314453124999967,1,3
neighbors_2048_cls_k10,34,scincl,bert,0.1146484375,0.10087890625000001,-0.013769531249999994,-0.0025732421875000024,2,2
neighbors_2048_cls_k10,34,scincl,mpnet,0.50595703125,0.5033203125,-0.0026367187500000444,-0.00016601562500000443,2,2
neighbors_2048_cls_k10,34,scincl,minilm,0.456005859375,0.443017578125,-0.012988281250000011,-0.0022265624999999955,1,3
neighbors_2048_cls_k10,34,scincl,pubmedbert,0.11962890625000001,0.105908203125,-0.013720703125000011,-0.0032177734375000017,0,4
neighbors_2048_cls_k10,34,scincl,biobert,0.16259765625,0.148876953125,-0.013720703125000011,-0.0031201171875000046,2,2
neighbors_2048_cls_k10,34,scincl,simcse,0.18837890625,0.180419921875,-0.007958984375000006,-0.0016064453124999933,2,2
neighbors_2048_cls_k10,34,scibert,bert,0.16435546875,0.13974609375000002,-0.02460937499999999,-0.006752929687499997,1,3
neighbors_2048_cls_k10,34,scibert,mpnet,0.08793945312500001,0.078369140625,-0.009570312500000011,-0.00185546875,1,3
neighbors_2048_cls_k10,34,scibert,minilm,0.086572265625,0.076025390625,-0.010546875000000011,-0.0023925781250000028,1,3
neighbors_2048_cls_k10,34,scibert,pubmedbert,0.314453125,0.268212890625,-0.04624023437500002,-0.0129638671875,1,3
neighbors_2048_cls_k10,34,scibert,biobert,0.281103515625,0.23837890625000002,-0.042724609375,-0.012089843749999996,1,3
neighbors_2048_cls_k10,34,scibert,simcse,0.12021484375000001,0.11230468750000001,-0.007910156249999994,-0.0032958984374999974,1,3
neighbors_2048_cls_k10,34,bert,mpnet,0.11357421875000001,0.104638671875,-0.008935546875000006,-0.0012890625000000016,2,2
neighbors_2048_cls_k10,34,bert,minilm,0.11567382812500002,0.105224609375,-0.010449218750000017,-0.0021191406250000043,1,3
neighbors_2048_cls_k10,34,bert,pubmedbert,0.17529296875,0.13759765625000003,-0.03769531249999997,-0.009228515624999994,0,4
neighbors_2048_cls_k10,34,bert,biobert,0.19736328125000002,0.16684570312500002,-0.030517578125,-0.007387695312499998,1,3
neighbors_2048_cls_k10,34,bert,simcse,0.19785156250000002,0.181787109375,-0.016064453125000017,-0.003940429687500008,1,3
neighbors_2048_cls_k10,34,mpnet,minilm,0.560546875,0.55205078125,-0.008496093750000044,-0.0006298828125000045,1,3
neighbors_2048_cls_k10,34,mpnet,pubmedbert,0.11357421875000001,0.099755859375,-0.013818359375000006,-0.0025830078125000018,1,3
neighbors_2048_cls_k10,34,mpnet,biobert,0.15976562500000002,0.14448242187500002,-0.015283203125000006,-0.002602539062499998,2,2
neighbors_2048_cls_k10,34,mpnet,simcse,0.193115234375,0.18691406250000003,-0.006201171874999967,-0.0004541015624999922,2,2
neighbors_2048_cls_k10,34,minilm,pubmedbert,0.107421875,0.094970703125,-0.012451171875,-0.003095703124999999,0,4
neighbors_2048_cls_k10,34,minilm,biobert,0.1521484375,0.13427734375,-0.01787109375000001,-0.0037939453125000024,1,3
neighbors_2048_cls_k10,34,minilm,simcse,0.2078125,0.19125976562500002,-0.01655273437499999,-0.0035009765624999965,2,2
neighbors_2048_cls_k10,34,pubmedbert,biobert,0.335791015625,0.26972656250000004,-0.06606445312499998,-0.01704101562500001,1,3
neighbors_2048_cls_k10,34,pubmedbert,simcse,0.141357421875,0.12080078125,-0.020556640624999997,-0.0060400390625,1,3
neighbors_2048_cls_k10,34,biobert,simcse,0.18173828125000002,0.16552734375,-0.016210937500000022,-0.004316406249999999,1,3
neighbors_2048_cls_k10,35,specter,specter2,0.3638671875,0.38193359375,0.01806640625,0.0048095703124999886,3,1
neighbors_2048_cls_k10,35,specter,scincl,0.461181640625,0.455615234375,-0.005566406249999989,-0.0005322265625000045,2,2
neighbors_2048_cls_k10,35,specter,scibert,0.08432617187500002,0.070556640625,-0.013769531250000022,-0.003950195312500004,1,3
neighbors_2048_cls_k10,35,specter,bert,0.1025390625,0.077392578125,-0.025146484375,-0.006396484375000002,0,4
neighbors_2048_cls_k10,35,specter,mpnet,0.439697265625,0.43867187500000004,-0.0010253906249999556,0.0004589843750000044,2,2
neighbors_2048_cls_k10,35,specter,minilm,0.40625,0.40131835937499993,-0.004931640625000067,-0.0005224609375000134,2,2
neighbors_2048_cls_k10,35,specter,pubmedbert,0.11523437500000001,0.08579101562500001,-0.029443359375000006,-0.008701171875,1,3
neighbors_2048_cls_k10,35,specter,biobert,0.15224609375000003,0.125146484375,-0.027099609375000028,-0.007421875000000006,0,4
neighbors_2048_cls_k10,35,specter,simcse,0.20590820312500002,0.18403320312500002,-0.021875000000000006,-0.0058837890625000056,1,3
neighbors_2048_cls_k10,35,specter2,scincl,0.389794921875,0.4189453125,0.029150390625000022,0.008535156250000009,4,0
neighbors_2048_cls_k10,35,specter2,scibert,0.07978515625,0.06196289062499999,-0.017822265625000014,-0.0049365234375000015,0,4
neighbors_2048_cls_k10,35,specter2,bert,0.08769531250000001,0.06982421875,-0.01787109375000001,-0.005087890625000003,1,3
neighbors_2048_cls_k10,35,specter2,mpnet,0.38515625,0.430810546875,0.045654296875,0.01076660156250001,3,1
neighbors_2048_cls_k10,35,specter2,minilm,0.3455078125,0.382568359375,0.03706054687499999,0.00908203125,3,1
neighbors_2048_cls_k10,35,specter2,pubmedbert,0.10888671875,0.077294921875,-0.031591796874999994,-0.009179687499999997,0,4
neighbors_2048_cls_k10,35,specter2,biobert,0.13803710937500002,0.112255859375,-0.02578125000000002,-0.0075097656250000065,1,3
neighbors_2048_cls_k10,35,specter2,simcse,0.170703125,0.15615234375000003,-0.014550781249999978,-0.0038378906249999954,1,3
neighbors_2048_cls_k10,35,scincl,scibert,0.07597656250000001,0.066162109375,-0.009814453125000011,-0.0027490234375000034,2,2
neighbors_2048_cls_k10,35,scincl,bert,0.09755859375,0.07504882812500001,-0.022509765624999997,-0.005214843750000001,0,4
neighbors_2048_cls_k10,35,scincl,mpnet,0.488525390625,0.488623046875,9.76562500000222e-05,0.0014062500000000088,1,3
neighbors_2048_cls_k10,35,scincl,minilm,0.4376953125,0.43999023437499996,0.0022949218749999667,0.001010742187499991,2,2
neighbors_2048_cls_k10,35,scincl,pubmedbert,0.10439453125,0.079736328125,-0.024658203125,-0.007221679687499996,1,3
neighbors_2048_cls_k10,35,scincl,biobert,0.138427734375,0.11674804687500001,-0.02167968749999999,-0.006074218749999994,0,4
neighbors_2048_cls_k10,35,scincl,simcse,0.1970703125,0.170556640625,-0.026513671875000006,-0.006435546875000003,0,4
neighbors_2048_cls_k10,35,scibert,bert,0.143798828125,0.12021484375000001,-0.02358398437499999,-0.0063769531249999985,1,3
neighbors_2048_cls_k10,35,scibert,mpnet,0.06987304687500001,0.06284179687500001,-0.007031250000000003,-0.0020849609374999994,1,3
neighbors_2048_cls_k10,35,scibert,minilm,0.068115234375,0.061767578125,-0.00634765625,-0.0019287109375,2,2
neighbors_2048_cls_k10,35,scibert,pubmedbert,0.29658203125000004,0.25703125,-0.039550781250000056,-0.010395507812500015,0,4
neighbors_2048_cls_k10,35,scibert,biobert,0.244140625,0.21611328125,-0.02802734374999999,-0.007094726562499998,0,4
neighbors_2048_cls_k10,35,scibert,simcse,0.105859375,0.10004882812500002,-0.005810546874999989,-0.0014257812499999995,2,2
neighbors_2048_cls_k10,35,bert,mpnet,0.0986328125,0.078369140625,-0.020263671875,-0.004609375000000004,0,4
neighbors_2048_cls_k10,35,bert,minilm,0.09506835937500001,0.07919921875,-0.015869140625000014,-0.003940429687500002,0,4
neighbors_2048_cls_k10,35,bert,pubmedbert,0.16074218750000002,0.11689453125,-0.04384765625000002,-0.011938476562500008,0,4
neighbors_2048_cls_k10,35,bert,biobert,0.16782226562500002,0.140625,-0.027197265625000022,-0.007807617187499999,0,4
neighbors_2048_cls_k10,35,bert,simcse,0.172509765625,0.1572265625,-0.015283203125000006,-0.0038183593749999967,1,3
neighbors_2048_cls_k10,35,mpnet,minilm,0.55546875,0.562109375,0.006640625000000067,0.0011279296874999955,2,2
neighbors_2048_cls_k10,35,mpnet,pubmedbert,0.09921875,0.077734375,-0.021484375,-0.0064599609375,1,3
