outcome,omitted_model,feature,coefficient,r_squared,design_rank,coefficients_identified
neighbors_2048_sep_k25,specter2,same_objective,0.04426259014423083,0.04245140812199433,4,True
neighbors_2048_sep_k25,specter2,same_broad_domain,-0.0050889503803099485,0.04245140812199433,4,True
neighbors_2048_sep_k25,specter2,same_primary_pooling,0.01463532846584381,0.04245140812199433,4,True
neighbors_2048_sep_k25,scincl,intercept,0.2510243266091419,0.04469098939815819,4,True
neighbors_2048_sep_k25,scincl,same_objective,0.04811431039663467,0.04469098939815819,4,True
neighbors_2048_sep_k25,scincl,same_broad_domain,-0.008706528281070651,0.04469098939815819,4,True
neighbors_2048_sep_k25,scincl,same_primary_pooling,0.007206384879987009,0.04469098939815819,4,True
neighbors_2048_sep_k25,scibert,intercept,0.28361993059863533,0.0916155253234403,4,True
neighbors_2048_sep_k25,scibert,same_objective,0.09000534080334995,0.0916155253234403,4,True
neighbors_2048_sep_k25,scibert,same_broad_domain,-0.016241460530396976,0.0916155253234403,4,True
neighbors_2048_sep_k25,scibert,same_primary_pooling,0.0027384072580645836,0.0916155253234403,4,True
neighbors_2048_sep_k25,bert,intercept,0.28748307201917345,0.1239475937138631,4,True
neighbors_2048_sep_k25,bert,same_objective,0.11476611485186351,0.1239475937138631,4,True
neighbors_2048_sep_k25,bert,same_broad_domain,-0.04199774736352352,0.1239475937138631,4,True
neighbors_2048_sep_k25,bert,same_primary_pooling,0.0007870182614764358,0.1239475937138631,4,True
neighbors_2048_sep_k25,mpnet,intercept,0.23934089360049252,0.09825076954878442,4,True
neighbors_2048_sep_k25,mpnet,same_objective,0.07599305449695128,0.09825076954878442,4,True
neighbors_2048_sep_k25,mpnet,same_broad_domain,0.006263259263602192,0.09825076954878442,4,True
neighbors_2048_sep_k25,mpnet,same_primary_pooling,-0.006761015185272219,0.09825076954878442,4,True
neighbors_2048_sep_k25,minilm,intercept,0.24672749037833355,0.072466731058492,4,True
neighbors_2048_sep_k25,minilm,same_objective,0.07419234967585774,0.072466731058492,4,True
neighbors_2048_sep_k25,minilm,same_broad_domain,0.00045802027145866794,0.072466731058492,4,True
neighbors_2048_sep_k25,minilm,same_primary_pooling,-0.01086200368324526,0.072466731058492,4,True
neighbors_2048_sep_k25,pubmedbert,intercept,0.24996625668485312,0.1020439710476918,4,True
neighbors_2048_sep_k25,pubmedbert,same_objective,0.09429247695188711,0.1020439710476918,4,True
neighbors_2048_sep_k25,pubmedbert,same_broad_domain,-0.02618411902864802,0.1020439710476918,4,True
neighbors_2048_sep_k25,pubmedbert,same_primary_pooling,0.010185950329516046,0.1020439710476918,4,True
neighbors_2048_sep_k25,biobert,intercept,0.2623186311581678,0.07663080151883472,4,True
neighbors_2048_sep_k25,biobert,same_objective,0.09095990382364602,0.07663080151883472,4,True
neighbors_2048_sep_k25,biobert,same_broad_domain,-0.03319841634255257,0.07663080151883472,4,True
neighbors_2048_sep_k25,biobert,same_primary_pooling,-0.0008294214563526115,0.07663080151883472,4,True
neighbors_2048_sep_k25,simcse,intercept,,0.07682003436306994,3,False
neighbors_2048_sep_k25,simcse,same_objective,,0.07682003436306994,3,False
neighbors_2048_sep_k25,simcse,same_broad_domain,,0.07682003436306994,3,False
neighbors_2048_sep_k25,simcse,same_primary_pooling,,0.07682003436306994,3,False
