field_id,model_a,input_a,model_b,input_b,kind,rows,cka_debiased,rsa_spearman
12,biobert,title,biobert,abstract,input,1000,0.2010478068926458,0.21566403808866064
12,biobert,title,biobert,title_abstract,input,1000,0.26922302610060106,0.26839279249698217
12,simcse,title,simcse,abstract,input,1000,0.3342675136654138,0.33609022074772626
12,simcse,title,simcse,title_abstract,input,1000,0.40007031729298104,0.39758284977845865
12,specter,abstract,specter2,abstract,model,1000,0.6746913462629966,0.7104143573070363
12,specter,abstract,scincl,abstract,model,1000,0.7507423791471651,0.8135129614902821
12,specter,abstract,scibert,abstract,model,1000,0.46762840148782475,0.43632554924131395
12,specter,abstract,bert,abstract,model,1000,0.4626827764722736,0.35211566976878855
12,specter,abstract,mpnet,abstract,model,1000,0.6082616186297849,0.65442796226207
12,specter,abstract,minilm,abstract,model,1000,0.5966158278401806,0.6464893735357214
12,specter,abstract,pubmedbert,abstract,model,1000,0.39231340492926975,0.4288544815961352
12,specter,abstract,biobert,abstract,model,1000,0.40386035159906136,0.3706381383580972
12,specter,abstract,simcse,abstract,model,1000,0.4656442193133231,0.3293763210554417
12,specter,abstract,specter,title_abstract,input,1000,0.9299236214832829,0.9495387433853507
12,specter2,abstract,scincl,abstract,model,1000,0.767068453385334,0.773793277760483
12,specter2,abstract,scibert,abstract,model,1000,0.5214134114336149,0.3407429671588577
12,specter2,abstract,bert,abstract,model,1000,0.5035058226400438,0.24353453947333636
12,specter2,abstract,mpnet,abstract,model,1000,0.6581813629010693,0.6540483440641217
12,specter2,abstract,minilm,abstract,model,1000,0.6272223108295694,0.6028285927945717
12,specter2,abstract,pubmedbert,abstract,model,1000,0.4127942103670015,0.3068187227390481
12,specter2,abstract,biobert,abstract,model,1000,0.42602501784479224,0.25469915458274656
12,specter2,abstract,simcse,abstract,model,1000,0.4889324163881585,0.2857404261183504
12,specter2,abstract,specter2,title_abstract,input,1000,0.8981729194866273,0.9068300728010773
12,scincl,abstract,scibert,abstract,model,1000,0.5229214372026277,0.45098202110645474
12,scincl,abstract,bert,abstract,model,1000,0.5164956364556428,0.3046027094875067
12,scincl,abstract,mpnet,abstract,model,1000,0.6626607046913087,0.6743073287262684
12,scincl,abstract,minilm,abstract,model,1000,0.6430078842729203,0.6378764225371953
12,scincl,abstract,pubmedbert,abstract,model,1000,0.43946196613378374,0.42032989930732306
12,scincl,abstract,biobert,abstract,model,1000,0.437946208277153,0.34971080320177783
12,scincl,abstract,simcse,abstract,model,1000,0.5097149112519405,0.2709933007479841
12,scincl,abstract,scincl,title_abstract,input,1000,0.9577734056143778,0.9715131482687803
12,scibert,abstract,bert,abstract,model,1000,0.782967686232295,0.7813950398869874
12,scibert,abstract,mpnet,abstract,model,1000,0.4744991528250812,0.46448073757970193
12,scibert,abstract,minilm,abstract,model,1000,0.4774264379281657,0.47335655492538714
12,scibert,abstract,pubmedbert,abstract,model,1000,0.7793719788637438,0.8831748931214404
12,scibert,abstract,biobert,abstract,model,1000,0.8260448344668744,0.8795727911324254
12,scibert,abstract,simcse,abstract,model,1000,0.648356168026423,0.500357328980894
12,scibert,abstract,scibert,title_abstract,input,1000,0.9797908830539371,0.9872816654557032
12,bert,abstract,mpnet,abstract,model,1000,0.5378651746582122,0.4366096971520239
12,bert,abstract,minilm,abstract,model,1000,0.5325667869254563,0.4751457432943634
12,bert,abstract,pubmedbert,abstract,model,1000,0.7282171624518964,0.8259605910128992
12,bert,abstract,biobert,abstract,model,1000,0.7843672258082652,0.8409040390927603
12,bert,abstract,simcse,abstract,model,1000,0.7939630408997481,0.6849790098969447
12,bert,abstract,bert,title_abstract,input,1000,0.9831499582769768,0.98820826560452
12,mpnet,abstract,minilm,abstract,model,1000,0.7831786620262158,0.8144566076991477
12,mpnet,abstract,pubmedbert,abstract,model,1000,0.38807292931814436,0.42987607410069
12,mpnet,abstract,biobert,abstract,model,1000,0.4087206808711409,0.4119360184073421
12,mpnet,abstract,simcse,abstract,model,1000,0.5261263438763476,0.45452291742380946
12,mpnet,abstract,mpnet,title_abstract,input,1000,0.9617363268658772,0.953007179592514
12,minilm,abstract,pubmedbert,abstract,model,1000,0.39845255328004503,0.4541616689639038
12,minilm,abstract,biobert,abstract,model,1000,0.4265057727471233,0.4407018016267543
12,minilm,abstract,simcse,abstract,model,1000,0.5385828298953226,0.5247422599583556
12,minilm,abstract,minilm,title_abstract,input,1000,0.9558322034699774,0.9638343871520787
12,pubmedbert,abstract,biobert,abstract,model,1000,0.8287756981056161,0.897697767481745
12,pubmedbert,abstract,simcse,abstract,model,1000,0.5872268688712052,0.5395859595994645
12,pubmedbert,abstract,pubmedbert,title_abstract,input,1000,0.9720112327583864,0.9834091088460264
12,biobert,abstract,simcse,abstract,model,1000,0.6372801738555436,0.5551597769868992
12,biobert,abstract,biobert,title_abstract,input,1000,0.9756532414713431,0.9801782258019519
12,simcse,abstract,simcse,title_abstract,input,1000,0.973238952196606,0.9734134704230302
12,specter,title_abstract,specter2,title_abstract,model,1000,0.6779609177032181,0.7229497429348738
12,specter,title_abstract,scincl,title_abstract,model,1000,0.7588206225956028,0.8239873773934685
12,specter,title_abstract,scibert,title_abstract,model,1000,0.47657143097540394,0.4483422103278554
12,specter,title_abstract,bert,title_abstract,model,1000,0.4650217241000451,0.3545649929309118
12,specter,title_abstract,mpnet,title_abstract,model,1000,0.612525831616966,0.6280340931850885
12,specter,title_abstract,minilm,title_abstract,model,1000,0.602609868042671,0.6383969643959932
12,specter,title_abstract,pubmedbert,title_abstract,model,1000,0.4020783567775398,0.4387292416368213
12,specter,title_abstract,biobert,title_abstract,model,1000,0.40590527916945907,0.3646898007942257
12,specter,title_abstract,simcse,title_abstract,model,1000,0.46840148376551183,0.3165796802664493
12,specter2,title_abstract,scincl,title_abstract,model,1000,0.7515305292536829,0.7620767259796913
12,specter2,title_abstract,scibert,title_abstract,model,1000,0.521615852759842,0.38634541498786373
12,specter2,title_abstract,bert,title_abstract,model,1000,0.4983005974092443,0.2965278523593195
12,specter2,title_abstract,mpnet,title_abstract,model,1000,0.6451657554301595,0.6335969365499912
12,specter2,title_abstract,minilm,title_abstract,model,1000,0.6185915913066271,0.6039032632717594
12,specter2,title_abstract,pubmedbert,title_abstract,model,1000,0.41204838303680114,0.3643657654804145
12,specter2,title_abstract,biobert,title_abstract,model,1000,0.4193874862319665,0.29302926788157496
12,specter2,title_abstract,simcse,title_abstract,model,1000,0.48471546009362837,0.3233862200609666
12,scincl,title_abstract,scibert,title_abstract,model,1000,0.5305446474501023,0.4575356048438389
12,scincl,title_abstract,bert,title_abstract,model,1000,0.5172074632221418,0.3048246301800628
12,scincl,title_abstract,mpnet,title_abstract,model,1000,0.6569851405523883,0.63016344032741
12,scincl,title_abstract,minilm,title_abstract,model,1000,0.644303745729216,0.6231756872739423
12,scincl,title_abstract,pubmedbert,title_abstract,model,1000,0.44307088918180504,0.42899307586348484
12,scincl,title_abstract,biobert,title_abstract,model,1000,0.4349369624116861,0.34179690311949473
12,scincl,title_abstract,simcse,title_abstract,model,1000,0.5133006842869953,0.26095077262637706
12,scibert,title_abstract,bert,title_abstract,model,1000,0.7844650458236833,0.7789440987558557
12,scibert,title_abstract,mpnet,title_abstract,model,1000,0.4723531922074517,0.44940850622102163
12,scibert,title_abstract,minilm,title_abstract,model,1000,0.48194644079980253,0.47084085262610537
12,scibert,title_abstract,pubmedbert,title_abstract,model,1000,0.7791684277354674,0.8842117801450315
12,scibert,title_abstract,biobert,title_abstract,model,1000,0.8149464198166863,0.8737081238102737
12,scibert,title_abstract,simcse,title_abstract,model,1000,0.6503506534239949,0.47635489631538874
12,bert,title_abstract,mpnet,title_abstract,model,1000,0.5372737866852362,0.45234023900985043
12,bert,title_abstract,minilm,title_abstract,model,1000,0.5348890242227253,0.4770870095852176
12,bert,title_abstract,pubmedbert,title_abstract,model,1000,0.7269143582816253,0.8149566094713923
12,bert,title_abstract,biobert,title_abstract,model,1000,0.7722408079699917,0.8280693532891739
12,bert,title_abstract,simcse,title_abstract,model,1000,0.7949085323132985,0.6631602615124007
12,mpnet,title_abstract,minilm,title_abstract,model,1000,0.7845075321143147,0.8106822027917052
12,mpnet,title_abstract,pubmedbert,title_abstract,model,1000,0.38210206456873763,0.41621089105152725
12,mpnet,title_abstract,biobert,title_abstract,model,1000,0.39770930195970366,0.39559243432548086
12,mpnet,title_abstract,simcse,title_abstract,model,1000,0.5332998181308215,0.4874846354392119
12,minilm,title_abstract,pubmedbert,title_abstract,model,1000,0.40179338851117935,0.450776470150941
12,minilm,title_abstract,biobert,title_abstract,model,1000,0.4228937112857969,0.42753167547382875
12,minilm,title_abstract,simcse,title_abstract,model,1000,0.5420772630336743,0.5231190699417974
12,pubmedbert,title_abstract,biobert,title_abstract,model,1000,0.8203777996043757,0.8858285493770717
12,pubmedbert,title_abstract,simcse,title_abstract,model,1000,0.581065854348013,0.5117384984593459
12,biobert,title_abstract,simcse,title_abstract,model,1000,0.6262314541863824,0.5239805282929515
13,specter,title,specter2,title,model,1000,0.6819857231357713,0.5484830623472081
13,specter,title,scincl,title,model,1000,0.710667173700931,0.4949727169634325
13,specter,title,scibert,title,model,1000,0.5298351838224503,0.311107514615269
13,specter,title,bert,title,model,1000,0.48982322954631163,0.2343395220698489
13,specter,title,mpnet,title,model,1000,0.6600030567647944,0.51915597075939
