field_id,metric,model,input_condition,model_change_at_full,input_change_from_full,model_minus_input
13,rsa,minilm,abstract,0.4447513196002117,0.03381379477553437,0.4109375248246773
13,rsa,pubmedbert,title,0.4591398935126838,0.5554940178882362,-0.09635412437555235
13,rsa,pubmedbert,abstract,0.4591398935126838,0.010520016683302047,0.44861987682938176
13,rsa,biobert,title,0.4328718436493464,0.5725387248318456,-0.13966688118249926
13,rsa,biobert,abstract,0.4328718436493464,0.013123073486811965,0.4197487701625344
13,rsa,simcse,title,0.5434702681256756,0.47890389801926014,0.06456637010641542
13,rsa,simcse,abstract,0.5434702681256756,0.023412185691030207,0.5200580824346454
13,neighbors25,specter,title,0.6293733333333332,0.48960000000000004,0.1397733333333332
13,neighbors25,specter,abstract,0.6293733333333332,0.24219999999999997,0.38717333333333326
13,neighbors25,specter2,title,0.6843022222222221,0.52248,0.1618222222222221
13,neighbors25,specter2,abstract,0.6843022222222221,0.25644,0.42786222222222214
13,neighbors25,scincl,title,0.6332666666666666,0.46492,0.16834666666666664
13,neighbors25,scincl,abstract,0.6332666666666666,0.19191999999999998,0.44134666666666666
13,neighbors25,scibert,title,0.6256222222222223,0.76528,-0.13965777777777766
13,neighbors25,scibert,abstract,0.6256222222222223,0.12344,0.5021822222222223
13,neighbors25,bert,title,0.6775866666666667,0.7734,-0.0958133333333333
13,neighbors25,bert,abstract,0.6775866666666667,0.14944000000000002,0.5281466666666667
13,neighbors25,mpnet,title,0.6258266666666668,0.47331999999999996,0.1525066666666668
13,neighbors25,mpnet,abstract,0.6258266666666668,0.14727999999999997,0.4785466666666668
13,neighbors25,minilm,title,0.6412355555555557,0.5428,0.09843555555555572
13,neighbors25,minilm,abstract,0.6412355555555557,0.20188000000000006,0.4393555555555556
13,neighbors25,pubmedbert,title,0.6434,0.73672,-0.09332000000000007
13,neighbors25,pubmedbert,abstract,0.6434,0.11647999999999992,0.52692
13,neighbors25,biobert,title,0.6219111111111111,0.74672,-0.12480888888888897
13,neighbors25,biobert,abstract,0.6219111111111111,0.13676,0.4851511111111111
13,neighbors25,simcse,title,0.7425511111111112,0.8043199999999999,-0.06176888888888876
13,neighbors25,simcse,abstract,0.7425511111111112,0.2586400000000001,0.48391111111111107
14,cka,specter,title,0.4385544512098597,0.2648402368885914,0.17371421432126832
14,cka,specter,abstract,0.4385544512098597,0.052030264006157956,0.38652418720370174
14,cka,specter2,title,0.4023313085672806,0.23684890419310534,0.16548240437417527
14,cka,specter2,abstract,0.4023313085672806,0.06490297424511726,0.33742833432216335
14,cka,scincl,title,0.41543879775114306,0.2821726871428082,0.13326611060833488
14,cka,scincl,abstract,0.41543879775114306,0.0385512347309247,0.37688756302021836
14,cka,scibert,title,0.4193825892568433,0.6088929950103776,-0.18951040575353434
14,cka,scibert,abstract,0.4193825892568433,0.014460930986176623,0.4049216582706667
14,cka,bert,title,0.407413346964692,0.590012812667001,-0.182599465702309
14,cka,bert,abstract,0.407413346964692,0.01854288432135187,0.38887046264334013
14,cka,mpnet,title,0.3954127043725667,0.22408244547544232,0.1713302588971244
14,cka,mpnet,abstract,0.3954127043725667,0.023726582669619023,0.3716861217029477
14,cka,minilm,title,0.408665817848857,0.2859961016105883,0.12266971623826872
