field_id,k,model_a,input_a,model_b,input_b,kind,mean_overlap,chance_adjusted
11,25,specter2,abstract,bert,abstract,model,0.22712,0.20728221765913757
11,25,specter2,abstract,mpnet,abstract,model,0.42656,0.4118413141683778
11,25,specter2,abstract,minilm,abstract,model,0.373,0.35690657084188915
11,25,specter2,abstract,pubmedbert,abstract,model,0.24684,0.22750837782340863
11,25,specter2,abstract,biobert,abstract,model,0.252,0.23280082135523614
11,25,specter2,abstract,simcse,abstract,model,0.2138,0.19362032854209446
11,25,specter2,abstract,specter2,title_abstract,input,0.7128,0.7054283367556468
11,25,scincl,abstract,scibert,abstract,model,0.29368,0.27555063655030804
11,25,scincl,abstract,bert,abstract,model,0.2662,0.2473652977412731
11,25,scincl,abstract,mpnet,abstract,model,0.5065999999999999,0.493935728952772
11,25,scincl,abstract,minilm,abstract,model,0.44351999999999997,0.42923663244353183
11,25,scincl,abstract,pubmedbert,abstract,model,0.2728,0.2541347022587269
11,25,scincl,abstract,biobert,abstract,model,0.2818,0.2633657084188912
11,25,scincl,abstract,simcse,abstract,model,0.24603999999999998,0.22668784394250513
11,25,scincl,abstract,scincl,title_abstract,input,0.78264,0.7770609445585216
11,25,scibert,abstract,bert,abstract,model,0.44212,0.42780069815195076
11,25,scibert,abstract,mpnet,abstract,model,0.29008,0.2718582340862423
11,25,scibert,abstract,minilm,abstract,model,0.28296,0.2645554825462012
11,25,scibert,abstract,pubmedbert,abstract,model,0.5845600000000001,0.5738967556468173
11,25,scibert,abstract,biobert,abstract,model,0.5867600000000001,0.5761532238193019
11,25,scibert,abstract,simcse,abstract,model,0.30428,0.28642271047227924
11,25,scibert,abstract,scibert,title_abstract,input,0.8620399999999999,0.858498932238193
11,25,bert,abstract,mpnet,abstract,model,0.29612,0.27805326488706367
11,25,bert,abstract,minilm,abstract,model,0.2954,0.2773147843942505
11,25,bert,abstract,pubmedbert,abstract,model,0.43524,0.42074410677618074
11,25,bert,abstract,biobert,abstract,model,0.47476,0.46127848049281317
11,25,bert,abstract,simcse,abstract,model,0.42963999999999997,0.41500036960985626
11,25,bert,abstract,bert,title_abstract,input,0.8478,0.8438934291581108
11,25,mpnet,abstract,minilm,abstract,model,0.5528,0.5413215605749486
11,25,mpnet,abstract,pubmedbert,abstract,model,0.28448,0.2661144969199179
11,25,mpnet,abstract,biobert,abstract,model,0.29528,0.277191704312115
11,25,mpnet,abstract,simcse,abstract,model,0.27104,0.25232952772073924
11,25,mpnet,abstract,mpnet,title_abstract,input,0.83428,0.8300264065708419
11,25,minilm,abstract,pubmedbert,abstract,model,0.2734,0.2547501026694045
11,25,minilm,abstract,biobert,abstract,model,0.28524,0.26689400410677616
11,25,minilm,abstract,simcse,abstract,model,0.2774,0.25885277207392193
11,25,minilm,abstract,minilm,title_abstract,input,0.78664,0.781163613963039
11,25,pubmedbert,abstract,biobert,abstract,model,0.60288,0.5926869815195072
11,25,pubmedbert,abstract,simcse,abstract,model,0.29975999999999997,0.28178669404517454
11,25,pubmedbert,abstract,pubmedbert,title_abstract,input,0.85524,0.8515243942505133
11,25,biobert,abstract,simcse,abstract,model,0.32248,0.3050898562628337
11,25,biobert,abstract,biobert,title_abstract,input,0.83844,0.83429318275154
11,25,simcse,abstract,simcse,title_abstract,input,0.76764,0.7616759342915811
11,25,specter,title_abstract,specter2,title_abstract,model,0.42100000000000004,0.4061386036960986
11,25,specter,title_abstract,scincl,title_abstract,model,0.54704,0.5354137166324435
11,25,specter,title_abstract,scibert,title_abstract,model,0.33404000000000006,0.3169465708418892
11,25,specter,title_abstract,bert,title_abstract,model,0.29908,0.2810892402464066
11,25,specter,title_abstract,mpnet,title_abstract,model,0.49636,0.4834328952772074
11,25,specter,title_abstract,minilm,title_abstract,model,0.43292,0.4183645585215606
11,25,specter,title_abstract,pubmedbert,title_abstract,model,0.31052,0.2928228747433265
11,25,specter,title_abstract,biobert,title_abstract,model,0.32072,0.303284681724846
11,25,specter,title_abstract,simcse,title_abstract,model,0.2698,0.2510577002053388
11,25,specter2,title_abstract,scincl,title_abstract,model,0.46228,0.4484781519507187
11,25,specter2,title_abstract,scibert,title_abstract,model,0.28888,0.2706274332648871
11,25,specter2,title_abstract,bert,title_abstract,model,0.24187999999999998,0.22242106776180698
11,25,specter2,title_abstract,mpnet,title_abstract,model,0.44132,0.42698016427104724
11,25,specter2,title_abstract,minilm,title_abstract,model,0.38904000000000005,0.37335827515400416
11,25,specter2,title_abstract,pubmedbert,title_abstract,model,0.25976,0.24076
11,25,specter2,title_abstract,biobert,title_abstract,model,0.26344,0.24453445585215608
11,25,specter2,title_abstract,simcse,title_abstract,model,0.2288,0.2090053388090349
11,25,scincl,title_abstract,scibert,title_abstract,model,0.30908,0.29134591375770025
11,25,scincl,title_abstract,bert,title_abstract,model,0.275,0.2563911704312115
11,25,scincl,title_abstract,mpnet,title_abstract,model,0.52128,0.5089925256673511
11,25,scincl,title_abstract,minilm,title_abstract,model,0.45399999999999996,0.4399856262833675
11,25,scincl,title_abstract,pubmedbert,title_abstract,model,0.278,0.25946817248459964
11,25,scincl,title_abstract,biobert,title_abstract,model,0.28524,0.26689400410677616
11,25,scincl,title_abstract,simcse,title_abstract,model,0.25844,0.23940611909650925
11,25,scibert,title_abstract,bert,title_abstract,model,0.4484,0.43424188911704314
