outcome,field_id,biomedical_models_in_pair,model_pairs,mean
cka_cls,36,2,1,0.7024947047396831
cka_sep,11,0,28,0.5077743682810937
cka_sep,11,1,16,0.5982269625469199
cka_sep,11,2,1,0.815511304282899
cka_sep,12,0,28,0.4550887754329274
cka_sep,12,1,16,0.5166419644291842
cka_sep,12,2,1,0.7769432806491559
cka_sep,13,0,28,0.49779639018180727
cka_sep,13,1,16,0.604740143584833
cka_sep,13,2,1,0.8108352635006429
cka_sep,14,0,28,0.478783572193474
cka_sep,14,1,16,0.4952443991003941
cka_sep,14,2,1,0.7391555964410814
cka_sep,15,0,28,0.5610492978027923
cka_sep,15,1,16,0.6640268701476231
cka_sep,15,2,1,0.8717947986897755
cka_sep,16,0,28,0.5439235666290114
cka_sep,16,1,16,0.657707503996753
cka_sep,16,2,1,0.8733421803142658
cka_sep,17,0,28,0.519767996663797
cka_sep,17,1,16,0.5730501659943446
cka_sep,17,2,1,0.8062790187349023
cka_sep,18,0,28,0.5219836196319814
cka_sep,18,1,16,0.5660456364341984
cka_sep,18,2,1,0.7857082743137285
cka_sep,19,0,28,0.5384266100820365
cka_sep,19,1,16,0.6234316491188272
cka_sep,19,2,1,0.8189243856952583
cka_sep,20,0,28,0.49380585120437137
cka_sep,20,1,16,0.5197882005320902
cka_sep,20,2,1,0.7628877451793866
cka_sep,21,0,28,0.6447984118183844
cka_sep,21,1,16,0.7390169509141042
cka_sep,21,2,1,0.9061322834418487
cka_sep,22,0,28,0.49499719449706897
cka_sep,22,1,16,0.5762959310869469
cka_sep,22,2,1,0.8138201153978046
cka_sep,23,0,28,0.5422615564313683
cka_sep,23,1,16,0.6259863131596943
cka_sep,23,2,1,0.8231198194102161
cka_sep,24,0,28,0.5210548100081565
cka_sep,24,1,16,0.6329782069184015
cka_sep,24,2,1,0.843443912346947
cka_sep,25,0,28,0.4825011547885159
cka_sep,25,1,16,0.5964147716375163
cka_sep,25,2,1,0.8255661648790869
cka_sep,26,0,28,0.5605512093289728
cka_sep,26,1,16,0.5697559383394897
cka_sep,26,2,1,0.8113204447914388
cka_sep,27,0,28,0.4444913526385853
cka_sep,27,1,16,0.5371291623685102
cka_sep,27,2,1,0.7822650773959894
cka_sep,28,0,28,0.5390039586850808
cka_sep,28,1,16,0.638164093711025
cka_sep,28,2,1,0.8223291805493169
cka_sep,29,0,28,0.5610055669306772
cka_sep,29,1,16,0.6556082905790626
cka_sep,29,2,1,0.8492623724776764
cka_sep,30,0,28,0.5215836203307818
cka_sep,30,1,16,0.6266512600779865
cka_sep,30,2,1,0.8660977690888012
cka_sep,31,0,28,0.5181283791391057
cka_sep,31,1,16,0.5889653965346714
cka_sep,31,2,1,0.827510656225186
cka_sep,32,0,28,0.5013913128929194
cka_sep,32,1,16,0.5648150603976851
cka_sep,32,2,1,0.8053139527841434
cka_sep,33,0,28,0.4798207225680032
cka_sep,33,1,16,0.550649308030029
cka_sep,33,2,1,0.7865109867665365
cka_sep,34,0,28,0.5027193871100915
cka_sep,34,1,16,0.5993535496534785
cka_sep,34,2,1,0.833276807092623
cka_sep,35,0,28,0.49541893439408435
cka_sep,35,1,16,0.6045157189924184
cka_sep,35,2,1,0.8553457733921558
cka_sep,36,0,28,0.4725656830497111
cka_sep,36,1,16,0.5352039677419609
cka_sep,36,2,1,0.806750269955663
cka_quality,11,0,28,0.6432717098513782
cka_quality,11,1,16,0.6142187131281005
cka_quality,11,2,1,0.8690542247474371
cka_quality,12,0,28,0.6340574872333834
cka_quality,12,1,16,0.6032968684209896
cka_quality,12,2,1,0.8575391288828298
cka_quality,13,0,28,0.6167204734867164
cka_quality,13,1,16,0.611396399662776
cka_quality,13,2,1,0.8694634446860782
cka_quality,14,0,28,0.6176155848836596
cka_quality,14,1,16,0.5521055849523018
cka_quality,14,2,1,0.840813222061155
cka_quality,15,0,28,0.7280528421729969
cka_quality,15,1,16,0.7017306309044244
cka_quality,15,2,1,0.8923012012646913
cka_quality,16,0,28,0.6692797680726537
cka_quality,16,1,16,0.6786429578703022
cka_quality,16,2,1,0.8999710373668689
cka_quality,17,0,28,0.6492333704823618
cka_quality,17,1,16,0.6076378740225817
cka_quality,17,2,1,0.874198492671928
cka_quality,18,0,28,0.6496633148334224
cka_quality,18,1,16,0.6125335839528561
cka_quality,18,2,1,0.864027281128374
cka_quality,19,0,28,0.6987657474266443
cka_quality,19,1,16,0.6861032489261651
cka_quality,19,2,1,0.8922719668853336
cka_quality,20,0,28,0.6414946152539354
cka_quality,20,1,16,0.578974148950245
cka_quality,20,2,1,0.8491498124371806
cka_quality,21,0,28,0.7960378485639311
cka_quality,21,1,16,0.7863832429410273
cka_quality,21,2,1,0.9259066808157129
cka_quality,22,0,28,0.6401638804459457
cka_quality,22,1,16,0.6192322272869196
cka_quality,22,2,1,0.8684023386308886
cka_quality,23,0,28,0.6723035226793251
cka_quality,23,1,16,0.6467389780515547
cka_quality,23,2,1,0.87633510540544
cka_quality,24,0,28,0.6503796951923434
cka_quality,24,1,16,0.6420034351015613
cka_quality,24,2,1,0.8775296788066725
cka_quality,25,0,28,0.6322820401450749
cka_quality,25,1,16,0.6405503746396933
cka_quality,25,2,1,0.8688552147854496
cka_quality,26,0,28,0.7294321763546314
cka_quality,26,1,16,0.6883943535425154
