outcome,field_id,period_start,mean,median
cka_primary,31,2005,0.6628177899445504,0.6325351137062487
cka_primary,31,2010,0.6599603449846594,0.6301753607840113
cka_primary,31,2015,0.6741022123692116,0.6458101423147942
cka_primary,31,2020,0.6717156400959913,0.6360641069668774
cka_primary,32,2000,0.6040105319306519,0.5277076181272055
cka_primary,32,2005,0.6129819255692287,0.5376665194522168
cka_primary,32,2010,0.6045078208224955,0.5230400284270007
cka_primary,32,2015,0.6083575951150308,0.5298036634033051
cka_primary,32,2020,0.6101251851899222,0.5314958748993046
cka_primary,33,2000,0.6027172090844617,0.5660092743035093
cka_primary,33,2005,0.6006093875296723,0.5641738400018309
cka_primary,33,2010,0.5998727218360507,0.5614653164108208
cka_primary,33,2015,0.6059425871594486,0.5656849747570201
cka_primary,33,2020,0.6179307253068911,0.5902911802155419
cka_primary,34,2000,0.6209525517828389,0.5740015427048885
cka_primary,34,2005,0.6134808198896415,0.5582939744600304
cka_primary,34,2010,0.6216885294230347,0.5617976398730885
cka_primary,34,2015,0.6263688374082476,0.562085354224366
cka_primary,34,2020,0.6283776865003123,0.5653296754325888
cka_primary,35,2000,0.6387145570015679,0.5792102973075229
cka_primary,35,2005,0.6372751226193527,0.5802607573119195
cka_primary,35,2010,0.6275571154490005,0.5479231678762687
cka_primary,35,2015,0.6295012708707817,0.5530452951737553
cka_primary,35,2020,0.6409642744591343,0.562362406772805
cka_primary,36,2000,0.5701848969078449,0.4868216618863634
cka_primary,36,2005,0.5847437410406531,0.5011585457836446
cka_primary,36,2010,0.5750734853261317,0.48875350143872
cka_primary,36,2015,0.5842269802354025,0.5036961282081605
cka_primary,36,2020,0.5897990537713007,0.5012928077067756
rsa_spearman_primary,11,2000,0.5179400599514149,0.4599948264050811
rsa_spearman_primary,11,2005,0.5246015068212704,0.4694370654845931
rsa_spearman_primary,11,2010,0.5348088191452557,0.4762036809655103
rsa_spearman_primary,11,2015,0.5706231235284581,0.5381558247883889
rsa_spearman_primary,11,2020,0.5681696449450241,0.5156344555670879
rsa_spearman_primary,12,2000,0.49483995518325397,0.4174981974923091
rsa_spearman_primary,12,2005,0.5202542771761361,0.4650317003985794
rsa_spearman_primary,12,2010,0.5430479667876201,0.49724847783412257
rsa_spearman_primary,12,2015,0.5694697479149411,0.5217890856054729
rsa_spearman_primary,12,2020,0.5603588424467638,0.5336119329065294
rsa_spearman_primary,13,2000,0.5236219297470881,0.4823654426204133
rsa_spearman_primary,13,2005,0.5158970761206432,0.47503959914659993
rsa_spearman_primary,13,2010,0.5238792192237313,0.4817043350307621
rsa_spearman_primary,13,2015,0.5452409851320693,0.4901406474673511
rsa_spearman_primary,13,2020,0.5591606684189017,0.5022215947035502
rsa_spearman_primary,14,2000,0.5347910453133108,0.4773010409992524
rsa_spearman_primary,14,2005,0.5243156794307556,0.4654889996982226
rsa_spearman_primary,14,2010,0.5285128531977823,0.4757596641809027
rsa_spearman_primary,14,2015,0.5431989234212315,0.4885982858011144
rsa_spearman_primary,14,2020,0.5467199397091995,0.47020716120852074
rsa_spearman_primary,15,2000,0.5734141045934373,0.5458164579499964
