metric,model,field_a,field_b,field_a_name,field_b_name,value_a,value_b,raw_difference_b_minus_a,relative_difference_primary,relative_min,relative_max,relative_q05,relative_q95,half_min,half_max,external_min,external_max,positive_repetitions,negative_repetitions,direction,direction_and_alternatives,direction_minimum_0,direction_minimum_0.01,direction_minimum_0.05,direction_minimum_0.1
angle_p50,bert,19,33,Earth and Planetary Sciences,Social Sciences,34.02511858525433,36.43853389652035,2.4134153112660144,0.06850099948736664,0.05721634571468053,0.07882319536451853,0.0584348097507964,0.07768016913595194,0.05784661542411865,0.07882319536451853,0.05721634571468053,0.06841732024158176,25,0,1,1,1,1,1,0
angle_p50,mpnet,19,33,Earth and Planetary Sciences,Social Sciences,81.56436340424379,82.9717504717845,1.4073870675407107,0.01710733327032536,0.013658616331669348,0.021186896323557126,0.014673056511731605,0.019803040290964836,0.014510736348913878,0.021186896323557126,0.013658616331669348,0.01772658601022565,25,0,1,0,1,1,0,0
angle_p50,minilm,19,33,Earth and Planetary Sciences,Social Sciences,81.92059660954315,85.02369222154104,3.1030956119978867,0.037175223348162915,0.03256466195239767,0.03965492401268795,0.033271151270528716,0.03955262034424882,0.035250955661063975,0.03965492401268795,0.03256466195239767,0.037135016935778926,25,0,1,1,1,1,0,0
angle_p50,pubmedbert,19,33,Earth and Planetary Sciences,Social Sciences,9.876489559974075,10.311255096101624,0.4347655361275482,0.04307222461293627,0.03201669558042363,0.05119160391716362,0.03391526859724379,0.04720653049778161,0.03465629463814251,0.05119160391716362,0.03201669558042363,0.03792137416879135,25,0,1,1,1,1,0,0
angle_p50,biobert,19,33,Earth and Planetary Sciences,Social Sciences,22.71279333364785,24.76507044551246,2.052277111864612,0.08645195670178522,0.07340886471533113,0.09495973350285279,0.07701169978320391,0.0914856428878867,0.07701677145409036,0.09495973350285279,0.07340886471533113,0.08079926430227691,25,0,1,1,1,1,1,0
angle_p50,simcse,19,33,Earth and Planetary Sciences,Social Sciences,54.75655598129473,61.17435897283489,6.417802991540157,0.11071771484042006,0.10107244487949268,0.12246542801402595,0.10479886426032951,0.11727837654630904,0.10442757036727113,0.12246542801402595,0.10107244487949268,0.11056135231462597,25,0,1,1,1,1,1,1
angle_p50,specter,19,34,Earth and Planetary Sciences,Veterinary,51.83272783277276,55.13904769998982,3.3063198672170557,0.06181667735718603,0.05781487377548754,0.06995548769387805,0.058352754282835255,0.06793796120448796,0.05781487377548754,0.06995548769387805,0.059914393212993036,0.06255406736321283,25,0,1,1,1,1,1,0
angle_p50,specter2,19,34,Earth and Planetary Sciences,Veterinary,35.535676368443816,33.6902972843299,-1.8453790841139153,-0.05331464439547035,-0.056343671222491926,-0.04781477752387287,-0.05566903863869015,-0.049552640470522505,-0.056343671222491926,-0.04954965361390606,-0.05500061541967698,-0.04781477752387287,0,25,-1,-1,-1,-1,0,0
angle_p50,scincl,19,34,Earth and Planetary Sciences,Veterinary,40.04006257472259,40.30802700141121,0.2679644266886214,0.0066700883145382524,-0.00043104658777042774,0.017892776400064998,0.0011525335518309907,0.012846984236840895,0.0015597128201064155,0.017892776400064998,-0.00043104658777042774,0.006781695895522267,24,1,0,0,0,0,0,0
angle_p50,scibert,19,34,Earth and Planetary Sciences,Veterinary,34.52336928266875,34.267129730304774,-0.25623955236397933,-0.007449852989601192,-0.01286226261445763,0.007014189262757739,-0.011493357748491697,0.0030930178824039685,-0.011913538001240844,0.007014189262757739,-0.01286226261445763,-0.00178600971097229,2,23,0,0,0,0,0,0
angle_p50,bert,19,34,Earth and Planetary Sciences,Veterinary,34.02511858525433,30.521735079409094,-3.503383505845239,-0.10855319219883797,-0.1192900360087365,-0.0852893974378418,-0.11694625949508713,-0.09558834982882522,-0.11719708679969848,-0.0852893974378418,-0.1192900360087365,-0.10295142960086329,0,25,-1,-1,-1,-1,-1,0
angle_p50,mpnet,19,34,Earth and Planetary Sciences,Veterinary,81.56436340424379,77.73941585729159,-3.8249475469522025,-0.048020801071801726,-0.050822432872010194,-0.04306938190700418,-0.050508699706040674,-0.043975002039364275,-0.050822432872010194,-0.04306938190700418,-0.050764409548200135,-0.04777887952643593,0,25,-1,-1,-1,-1,0,0
angle_p50,minilm,19,34,Earth and Planetary Sciences,Veterinary,81.92059660954315,78.82089103523823,-3.09970557430492,-0.03856758600063329,-0.04331871530771058,-0.03202252863975669,-0.04251473210668884,-0.033827554501065865,-0.04197713293448589,-0.03202252863975669,-0.04331871530771058,-0.0395906775270035,0,25,-1,-1,-1,-1,0,0
angle_p50,pubmedbert,19,34,Earth and Planetary Sciences,Veterinary,9.876489559974075,9.789210768727289,-0.08727879124678672,-0.008876245421009142,-0.017359097846278117,0.006523179907666253,-0.016851616693040965,0.0017946979460559936,-0.013616530607817114,0.006523179907666253,-0.017359097846278117,-0.0038544520705522255,2,23,0,0,0,0,0,0
angle_p50,biobert,19,34,Earth and Planetary Sciences,Veterinary,22.71279333364785,21.95762179458037,-0.7551715390674794,-0.03381081357313243,-0.040360568910178425,-0.01769625741544623,-0.03909859378052787,-0.0217283945518341,-0.0373938235488763,-0.01769625741544623,-0.040360568910178425,-0.029694988743156077,0,25,-1,0,-1,-1,0,0
angle_p50,simcse,19,34,Earth and Planetary Sciences,Veterinary,54.75655598129473,50.70111310920917,-4.055442872085564,-0.07691129354670599,-0.09525298953081539,-0.06106357039107478,-0.08686094546646289,-0.06533455676955643,-0.08777507512814633,-0.06106357039107478,-0.09525298953081539,-0.07562170241178101,0,25,-1,-1,-1,-1,-1,0
