metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,12,15,Arts and Humanities,Chemical Engineering,contradiction,2,7,1,specter|specter2,scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,scincl,14,45,contradiction,contradiction,contradiction,0.05963652964898256,-0.19156400833684306,0.09656824595372575
angle_p50,12,16,Arts and Humanities,Chemistry,contradiction,3,6,1,specter|specter2|pubmedbert,scincl|bert|mpnet|minilm|biobert|simcse,scibert,18,45,contradiction,contradiction,contradiction,0.04840204020345153,-0.21101191504130556,0.09024662336862378
angle_p50,12,17,Arts and Humanities,Computer Science,contradiction,5,5,0,specter|specter2|scincl|mpnet|minilm,scibert|bert|pubmedbert|biobert|simcse,,25,45,contradiction,contradiction,contradiction,0.10172751320773318,-0.1359223952776794,0.21349190358881018
angle_p50,12,18,Arts and Humanities,Decision Sciences,contradiction,5,4,1,specter|specter2|scincl|mpnet|minilm,bert|pubmedbert|biobert|simcse,scibert,20,45,contradiction,contradiction,contradiction,0.05522083166712832,-0.1265460741016196,0.13204837620842672
angle_p50,12,19,Arts and Humanities,Earth and Planetary Sciences,contradiction,2,6,2,specter|specter2,bert|mpnet|minilm|pubmedbert|biobert|simcse,scincl|scibert,12,45,contradiction,contradiction,contradiction,0.049183380943879904,-0.12622207718415196,0.07660949039853536
angle_p50,12,20,Arts and Humanities,"Economics, Econometrics and Finance",contradiction,3,4,3,specter|specter2|scincl,bert|pubmedbert|biobert|simcse,scibert|mpnet|minilm,12,45,contradiction,contradiction,contradiction,0.026360708736423814,-0.07949800702255642,0.08618823518990253
angle_p50,12,21,Arts and Humanities,Energy,contradiction,5,3,2,specter|specter2|scincl|mpnet|minilm,bert|biobert|simcse,scibert|pubmedbert,15,45,contradiction,contradiction,contradiction,0.06368508094018777,-0.12007815545193025,0.12257540673194461
angle_p50,12,22,Arts and Humanities,Engineering,contradiction,5,3,2,specter|specter2|scincl|mpnet|minilm,bert|biobert|simcse,scibert|pubmedbert,15,45,contradiction,contradiction,contradiction,0.09384421925370098,-0.13037896912786187,0.16896607440084105
angle_p50,12,23,Arts and Humanities,Environmental Science,contradiction,6,3,1,specter|specter2|scincl|scibert|mpnet|minilm,bert|biobert|simcse,pubmedbert,18,45,contradiction,contradiction,contradiction,0.06169178147578849,-0.0883345718739921,0.12109423631282222
angle_p50,12,24,Arts and Humanities,Immunology and Microbiology,contradiction,3,6,1,specter|specter2|scincl,bert|mpnet|minilm|pubmedbert|biobert|simcse,scibert,18,45,contradiction,contradiction,contradiction,0.03459818077216467,-0.24166781775318597,0.15099171531348562
angle_p50,12,25,Arts and Humanities,Materials Science,contradiction,2,7,1,specter|specter2,scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,scincl,14,45,contradiction,contradiction,contradiction,0.05413191668385939,-0.22236784205086602,0.06328182222559865
angle_p50,12,26,Arts and Humanities,Mathematics,contradiction,7,3,0,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,bert|biobert|simcse,,21,45,contradiction,contradiction,contradiction,0.04295776681648452,-0.15641281603110535,0.07764017589976516
angle_p50,12,27,Arts and Humanities,Medicine,contradiction,6,3,1,specter|specter2|scincl|scibert|mpnet|minilm,bert|biobert|simcse,pubmedbert,18,45,contradiction,contradiction,contradiction,0.08871252997240064,-0.19943811143419748,0.20931006246222875
angle_p50,12,28,Arts and Humanities,Neuroscience,contradiction,4,5,1,specter|specter2|scincl|mpnet,bert|minilm|pubmedbert|biobert|simcse,scibert,20,45,contradiction,contradiction,contradiction,0.08835559412455629,-0.18934882304412712,0.13542779689944748
angle_p50,12,29,Arts and Humanities,Nursing,contradiction,4,5,1,specter|specter2|scincl|scibert,bert|mpnet|minilm|biobert|simcse,pubmedbert,20,45,contradiction,contradiction,contradiction,0.052597633861395404,-0.15320457905699197,0.17109378393034871
angle_p50,12,30,Arts and Humanities,"Pharmacology, Toxicology and Pharmaceutics",contradiction,5,5,0,specter|specter2|scincl|scibert|pubmedbert,bert|mpnet|minilm|biobert|simcse,,25,45,contradiction,contradiction,contradiction,0.04248405155119281,-0.18503977318172193,0.16252680871398445
angle_p50,12,31,Arts and Humanities,Physics and Astronomy,contradiction,5,4,1,specter|specter2|scincl|mpnet|minilm,bert|pubmedbert|biobert|simcse,scibert,20,45,contradiction,contradiction,contradiction,0.06401336169345984,-0.191932154065383,0.10828398332098463
angle_p50,12,32,Arts and Humanities,Psychology,contradiction,3,4,3,specter|specter2|scincl,bert|minilm|biobert|simcse,scibert|mpnet|pubmedbert,12,45,contradiction,contradiction,contradiction,0.05527416128280026,-0.13520911337204006,0.11740442291336435
angle_p50,12,33,Arts and Humanities,Social Sciences,contradiction,7,2,1,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,bert|simcse,biobert,14,45,contradiction,unresolved,contradiction,0.016480082430520036,-0.02226999505182952,0.08601994857399055
