metric,field_a,field_b,field_a_name,field_b_name,class,positive_count,negative_count,unresolved_count,positive_models,negative_models,unresolved_models,opposing_model_pairs,total_model_pairs,primary_point_class,minimum5pct_class,all_alternatives_class,median_absolute_primary_relative_difference,minimum_primary_relative_difference,maximum_primary_relative_difference
angle_p50,12,34,Arts and Humanities,Veterinary,contradiction,3,6,1,specter|specter2|scincl,bert|mpnet|minilm|pubmedbert|biobert|simcse,scibert,18,45,contradiction,contradiction,contradiction,0.056294409159799594,-0.2026415645560669,0.13826247383030374
angle_p50,12,35,Arts and Humanities,Dentistry,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unanimous,0.12274386862958572,-0.2622749692743178,-0.020921636182374106
angle_p50,12,36,Arts and Humanities,Health Professions,contradiction,5,5,0,specter|specter2|scincl|scibert|pubmedbert,bert|mpnet|minilm|biobert|simcse,,25,45,contradiction,contradiction,contradiction,0.03486090347198526,-0.10234608332447645,0.12007761940282338
angle_p50,13,14,"Biochemistry, Genetics and Molecular Biology","Business, Management and Accounting",contradiction,3,7,0,bert|biobert|simcse,specter|specter2|scincl|scibert|mpnet|minilm|pubmedbert,,21,45,contradiction,contradiction,contradiction,0.040514079895318654,-0.08603763691722612,0.06551321270102442
angle_p50,13,15,"Biochemistry, Genetics and Molecular Biology",Chemical Engineering,unanimous,0,10,0,,specter|specter2|scincl|scibert|bert|mpnet|minilm|pubmedbert|biobert|simcse,,0,45,unanimous,unresolved,unresolved,0.03398221237102867,-0.08986510042473256,-0.009183242470427863
angle_p50,13,16,"Biochemistry, Genetics and Molecular Biology",Chemistry,contradiction,2,7,1,pubmedbert|biobert,specter|specter2|scincl|scibert|mpnet|minilm|simcse,bert,14,45,contradiction,contradiction,contradiction,0.03942100478771847,-0.14737139338032976,0.06983406206742734
angle_p50,13,17,"Biochemistry, Genetics and Molecular Biology",Computer Science,contradiction,7,3,0,specter2|scincl|bert|mpnet|minilm|biobert|simcse,specter|scibert|pubmedbert,,21,45,contradiction,unresolved,contradiction,0.03397079971797913,-0.03398599159942094,0.121422395076978
angle_p50,13,18,"Biochemistry, Genetics and Molecular Biology",Decision Sciences,contradiction,5,4,1,scincl|bert|minilm|biobert|simcse,specter|specter2|scibert|pubmedbert,mpnet,20,45,contradiction,unresolved,contradiction,0.02890370775866081,-0.08463048046229676,0.04526816800320115
angle_p50,13,19,"Biochemistry, Genetics and Molecular Biology",Earth and Planetary Sciences,contradiction,4,6,0,specter2|bert|biobert|simcse,specter|scincl|scibert|mpnet|minilm|pubmedbert,,24,45,contradiction,unresolved,contradiction,0.029258327324605985,-0.10400226279946327,0.05830039109455452
angle_p50,13,20,"Biochemistry, Genetics and Molecular Biology","Economics, Econometrics and Finance",contradiction,3,6,1,bert|biobert|simcse,specter|specter2|scincl|scibert|mpnet|pubmedbert,minilm,18,45,contradiction,contradiction,contradiction,0.048561853497110195,-0.09443123739095755,0.09133620920924544
