source,level,group,selection,recipe,metric_a,metric_b,pairs,spearman
field_period_native,field_period_native,26,2005,mean,procrustes_similarity,rsa_spearman,45,0.838471673254282
field_period_native,field_period_native,26,2010,mean,cka_debiased,procrustes_similarity,45,0.9491436100131752
field_period_native,field_period_native,26,2010,mean,cka_debiased,rsa_spearman,45,0.9083003952569169
field_period_native,field_period_native,26,2010,mean,procrustes_similarity,rsa_spearman,45,0.83965744400527
field_period_native,field_period_native,26,2015,mean,cka_debiased,procrustes_similarity,45,0.9403162055335967
field_period_native,field_period_native,26,2015,mean,cka_debiased,rsa_spearman,45,0.9415019762845848
field_period_native,field_period_native,26,2015,mean,procrustes_similarity,rsa_spearman,45,0.8712779973649539
field_period_native,field_period_native,26,2020,mean,cka_debiased,procrustes_similarity,45,0.9309617918313569
field_period_native,field_period_native,26,2020,mean,cka_debiased,rsa_spearman,45,0.9131752305665348
field_period_native,field_period_native,26,2020,mean,procrustes_similarity,rsa_spearman,45,0.8418972332015808
field_period_native,field_period_native,27,2000,mean,cka_debiased,procrustes_similarity,45,0.8084321475625823
field_period_native,field_period_native,27,2000,mean,cka_debiased,rsa_spearman,45,0.8963109354413702
field_period_native,field_period_native,27,2000,mean,procrustes_similarity,rsa_spearman,45,0.7364953886693016
field_period_native,field_period_native,27,2005,mean,cka_debiased,procrustes_similarity,45,0.7930171277997365
field_period_native,field_period_native,27,2005,mean,cka_debiased,rsa_spearman,45,0.8797101449275362
field_period_native,field_period_native,27,2005,mean,procrustes_similarity,rsa_spearman,45,0.725691699604743
field_period_native,field_period_native,27,2010,mean,cka_debiased,procrustes_similarity,45,0.810935441370224
field_period_native,field_period_native,27,2010,mean,cka_debiased,rsa_spearman,45,0.8964426877470356
field_period_native,field_period_native,27,2010,mean,procrustes_similarity,rsa_spearman,45,0.7566534914361001
field_period_native,field_period_native,27,2015,mean,cka_debiased,procrustes_similarity,45,0.8126482213438735
field_period_native,field_period_native,27,2015,mean,cka_debiased,rsa_spearman,45,0.897760210803689
field_period_native,field_period_native,27,2015,mean,procrustes_similarity,rsa_spearman,45,0.7484848484848484
field_period_native,field_period_native,27,2020,mean,cka_debiased,procrustes_similarity,45,0.8134387351778656
field_period_native,field_period_native,27,2020,mean,cka_debiased,rsa_spearman,45,0.921080368906456
field_period_native,field_period_native,27,2020,mean,procrustes_similarity,rsa_spearman,45,0.7724637681159419
field_period_native,field_period_native,28,2000,mean,cka_debiased,procrustes_similarity,45,0.866403162055336
field_period_native,field_period_native,28,2000,mean,cka_debiased,rsa_spearman,45,0.8831357048748352
field_period_native,field_period_native,28,2000,mean,procrustes_similarity,rsa_spearman,45,0.7333333333333333
field_period_native,field_period_native,28,2005,mean,cka_debiased,procrustes_similarity,45,0.872859025032938
field_period_native,field_period_native,28,2005,mean,cka_debiased,rsa_spearman,45,0.8768115942028983
field_period_native,field_period_native,28,2005,mean,procrustes_similarity,rsa_spearman,45,0.7359683794466402
field_period_native,field_period_native,28,2010,mean,cka_debiased,procrustes_similarity,45,0.8673254281949934
field_period_native,field_period_native,28,2010,mean,cka_debiased,rsa_spearman,45,0.8866930171277996
field_period_native,field_period_native,28,2010,mean,procrustes_similarity,rsa_spearman,45,0.7559947299077733
field_period_native,field_period_native,28,2015,mean,cka_debiased,procrustes_similarity,45,0.8805006587615284
field_period_native,field_period_native,28,2015,mean,cka_debiased,rsa_spearman,45,0.8877470355731225
field_period_native,field_period_native,28,2015,mean,procrustes_similarity,rsa_spearman,45,0.7636363636363636
field_period_native,field_period_native,28,2020,mean,cka_debiased,procrustes_similarity,45,0.8760210803689065
field_period_native,field_period_native,28,2020,mean,cka_debiased,rsa_spearman,45,0.9179183135704875
field_period_native,field_period_native,28,2020,mean,procrustes_similarity,rsa_spearman,45,0.7638998682476943
field_period_native,field_period_native,29,2000,mean,cka_debiased,procrustes_similarity,45,0.820026350461133
field_period_native,field_period_native,29,2000,mean,cka_debiased,rsa_spearman,45,0.8944664031620553
field_period_native,field_period_native,29,2000,mean,procrustes_similarity,rsa_spearman,45,0.7557312252964428
field_period_native,field_period_native,29,2005,mean,cka_debiased,procrustes_similarity,45,0.8363636363636363
field_period_native,field_period_native,29,2005,mean,cka_debiased,rsa_spearman,45,0.8936758893280631
field_period_native,field_period_native,29,2005,mean,procrustes_similarity,rsa_spearman,45,0.7578392621870881
field_period_native,field_period_native,29,2010,mean,cka_debiased,procrustes_similarity,45,0.8152832674571805
field_period_native,field_period_native,29,2010,mean,cka_debiased,rsa_spearman,45,0.9076416337285901
field_period_native,field_period_native,29,2010,mean,procrustes_similarity,rsa_spearman,45,0.7747035573122528
field_period_native,field_period_native,29,2015,mean,cka_debiased,procrustes_similarity,45,0.8262187088274044
field_period_native,field_period_native,29,2015,mean,cka_debiased,rsa_spearman,45,0.8952569169960474
field_period_native,field_period_native,29,2015,mean,procrustes_similarity,rsa_spearman,45,0.7778656126482212
field_period_native,field_period_native,29,2020,mean,cka_debiased,procrustes_similarity,45,0.8471673254281951
field_period_native,field_period_native,29,2020,mean,cka_debiased,rsa_spearman,45,0.9495388669301712
field_period_native,field_period_native,29,2020,mean,procrustes_similarity,rsa_spearman,45,0.8025032938076415
field_period_native,field_period_native,30,2000,mean,cka_debiased,procrustes_similarity,45,0.884584980237154
field_period_native,field_period_native,30,2000,mean,cka_debiased,rsa_spearman,45,0.8675889328063239
field_period_native,field_period_native,30,2000,mean,procrustes_similarity,rsa_spearman,45,0.7063241106719367
field_period_native,field_period_native,30,2005,mean,cka_debiased,procrustes_similarity,45,0.8739130434782607
field_period_native,field_period_native,30,2005,mean,cka_debiased,rsa_spearman,45,0.8731225296442687
field_period_native,field_period_native,30,2005,mean,procrustes_similarity,rsa_spearman,45,0.733201581027668
field_period_native,field_period_native,30,2010,mean,cka_debiased,procrustes_similarity,45,0.8790513833992095
field_period_native,field_period_native,30,2010,mean,cka_debiased,rsa_spearman,45,0.8691699604743083
field_period_native,field_period_native,30,2010,mean,procrustes_similarity,rsa_spearman,45,0.7516469038208168
field_period_native,field_period_native,30,2015,mean,cka_debiased,procrustes_similarity,45,0.9036890645586297
