outcome,omitted_model,feature,rank,columns,identified,coefficient,r_squared
cka_equal2048,biobert,intercept,7,7,True,0.7014883647811949,0.7246304395826657
cka_equal2048,biobert,same_architecture,7,7,True,-0.1257994524207303,0.7246304395826657
cka_equal2048,biobert,same_lineage,7,7,True,0.11910229558577996,0.7246304395826657
cka_equal2048,biobert,same_final_corpus_group,7,7,True,-0.021351072077268534,0.7246304395826657
cka_equal2048,biobert,same_objective,7,7,True,0.31145241009323094,0.7246304395826657
cka_equal2048,biobert,same_domain,7,7,True,-0.07795327392847873,0.7246304395826657
cka_equal2048,biobert,same_pooling,7,7,True,-0.10972047116552928,0.7246304395826657
cka_equal2048,simcse,intercept,7,7,True,0.7329612416919558,0.9293947224086433
cka_equal2048,simcse,same_architecture,7,7,True,-0.1961445074650383,0.9293947224086433
cka_equal2048,simcse,same_lineage,7,7,True,0.02274434966850268,0.9293947224086433
cka_equal2048,simcse,same_final_corpus_group,7,7,True,-0.08914727564412178,0.9293947224086433
cka_equal2048,simcse,same_objective,7,7,True,0.46064706492630086,0.9293947224086433
cka_equal2048,simcse,same_domain,7,7,True,0.03005851830173269,0.9293947224086433
cka_equal2048,simcse,same_pooling,7,7,True,-0.20557634085152918,0.9293947224086433
cka_quality,specter,intercept,7,7,True,0.6841842252235463,0.7481721688517615
cka_quality,specter,same_architecture,7,7,True,-0.0892086190701991,0.7481721688517615
cka_quality,specter,same_lineage,7,7,True,0.058390242935806434,0.7481721688517615
cka_quality,specter,same_final_corpus_group,7,7,True,-0.03987054827225536,0.7481721688517615
cka_quality,specter,same_objective,7,7,True,0.32099571280783895,0.7481721688517615
cka_quality,specter,same_domain,7,7,True,-0.015790094320449328,0.7481721688517615
cka_quality,specter,same_pooling,7,7,True,-0.10949617807293106,0.7481721688517615
cka_quality,specter2,intercept,7,7,True,0.6870462935067484,0.7329371499058709
cka_quality,specter2,same_architecture,7,7,True,-0.0828953422413902,0.7329371499058709
cka_quality,specter2,same_lineage,7,7,True,0.05053335555244311,0.7329371499058709
cka_quality,specter2,same_final_corpus_group,7,7,True,-0.030873667297565726,0.7329371499058709
cka_quality,specter2,same_objective,7,7,True,0.3131227576852923,0.7329371499058709
cka_quality,specter2,same_domain,7,7,True,-0.01978899807429607,0.7329371499058709
cka_quality,specter2,same_pooling,7,7,True,-0.10882260287286011,0.7329371499058709
cka_quality,scincl,intercept,7,7,True,0.6819940748762421,0.7413284377303686
cka_quality,scincl,same_architecture,7,7,True,-0.08176657789538028,0.7413284377303686
cka_quality,scincl,same_lineage,7,7,True,0.047880633718528014,0.7413284377303686
cka_quality,scincl,same_final_corpus_group,7,7,True,-0.06488131969669421,0.7413284377303686
cka_quality,scincl,same_objective,7,7,True,0.3152555800780886,0.7413284377303686
cka_quality,scincl,same_domain,7,7,True,-0.012296494689845363,0.7413284377303686
cka_quality,scincl,same_pooling,7,7,True,-0.1078386012395828,0.7413284377303686
cka_quality,scibert,intercept,7,7,True,0.6944123935705182,0.7313553310024652
cka_quality,scibert,same_architecture,7,7,True,-0.10312242062691829,0.7313553310024652
cka_quality,scibert,same_lineage,7,7,True,0.08737966006304242,0.7313553310024652
cka_quality,scibert,same_final_corpus_group,7,7,True,-0.05992105090236512,0.7313553310024652
cka_quality,scibert,same_objective,7,7,True,0.29671764586127714,0.7313553310024652
cka_quality,scibert,same_domain,7,7,True,-0.009322685567260857,0.7313553310024652
cka_quality,scibert,same_pooling,7,7,True,-0.1066040192837864,0.7313553310024652
cka_quality,bert,intercept,7,7,True,0.7097841403684175,0.854006383258811
cka_quality,bert,same_architecture,7,7,True,-0.10825220429511606,0.854006383258811
cka_quality,bert,same_lineage,7,7,True,0.07499039450240308,0.854006383258811
cka_quality,bert,same_final_corpus_group,7,7,True,-0.08172092097198798,0.854006383258811
cka_quality,bert,same_objective,7,7,True,0.41777334907266783,0.854006383258811
cka_quality,bert,same_domain,7,7,True,-0.09129313576122451,0.854006383258811
cka_quality,bert,same_pooling,7,7,True,-0.12612186210786255,0.854006383258811
cka_quality,mpnet,intercept,7,7,True,0.6678417033175506,0.7804845229496509
cka_quality,mpnet,same_architecture,7,7,True,-0.0790561008669718,0.7804845229496509
cka_quality,mpnet,same_lineage,7,7,True,0.04145284947903183,0.7804845229496509
cka_quality,mpnet,same_final_corpus_group,7,7,True,-0.06055956891398605,0.7804845229496509
cka_quality,mpnet,same_objective,7,7,True,0.3031348727053586,0.7804845229496509
cka_quality,mpnet,same_domain,7,7,True,0.005506151785440874,0.7804845229496509
cka_quality,mpnet,same_pooling,7,7,True,-0.08617180970920187,0.7804845229496509
cka_quality,minilm,intercept,7,7,True,0.6943751576692913,0.7457846446123819
cka_quality,minilm,same_architecture,7,7,True,-0.10259224111640446,0.7457846446123819
cka_quality,minilm,same_lineage,7,7,True,0.05040857244084202,0.7457846446123819
cka_quality,minilm,same_final_corpus_group,7,7,True,-0.05340782621069019,0.7457846446123819
cka_quality,minilm,same_objective,7,7,True,0.3120933491203248,0.7457846446123819
cka_quality,minilm,same_domain,7,7,True,-0.01203166242032468,0.7457846446123819
cka_quality,minilm,same_pooling,7,7,True,-0.09669725168581726,0.7457846446123819
cka_quality,pubmedbert,intercept,7,7,True,0.7128321638388109,0.7525772086752469
cka_quality,pubmedbert,same_architecture,7,7,True,-0.10892393300238089,0.7525772086752469
cka_quality,pubmedbert,same_lineage,7,7,True,0.07847015734059935,0.7525772086752469
cka_quality,pubmedbert,same_final_corpus_group,7,7,True,0.009931275369558014,0.7525772086752469
cka_quality,pubmedbert,same_objective,7,7,True,0.2685093779733278,0.7525772086752469
cka_quality,pubmedbert,same_domain,7,7,True,-0.06284835592281963,0.7525772086752469
cka_quality,pubmedbert,same_pooling,7,7,True,-0.1021089162570655,0.7525772086752469
cka_quality,biobert,intercept,7,7,True,0.713399521004906,0.7394989767116295
cka_quality,biobert,same_architecture,7,7,True,-0.12197031827583203,0.7394989767116295
cka_quality,biobert,same_lineage,7,7,True,0.12066515637711493,0.7394989767116295
cka_quality,biobert,same_final_corpus_group,7,7,True,-0.027912841983144403,0.7394989767116295
cka_quality,biobert,same_objective,7,7,True,0.3012453804781332,0.7394989767116295
cka_quality,biobert,same_domain,7,7,True,-0.0772636737728238,0.7394989767116295
cka_quality,biobert,same_pooling,7,7,True,-0.1050143010475583,0.7394989767116295
cka_quality,simcse,intercept,7,7,True,0.7416382003623303,0.9225112418284094
