field_id,repeat,condition,represented_subfields,effective_subfields_entropy,largest_subfield_share
27,7,observed_eligible_composition,39,26.617286680646654,0.10498046875
27,7,equal_subfield_composition,39,38.990963869754886,0.02685546875
27,8,observed_eligible_composition,39,26.4137801222933,0.11962890625
27,8,equal_subfield_composition,39,38.993126531158126,0.0263671875
27,9,observed_eligible_composition,39,26.17503249942687,0.115234375
27,9,equal_subfield_composition,39,38.98949903163456,0.02685546875
28,0,observed_eligible_composition,5,3.9284619786751986,0.455078125
28,0,equal_subfield_composition,5,4.999996423139521,0.2001953125
28,1,observed_eligible_composition,5,3.825152360594151,0.4814453125
28,1,equal_subfield_composition,5,4.999990453932972,0.2001953125
28,2,observed_eligible_composition,5,3.870513283503289,0.46044921875
28,2,equal_subfield_composition,5,4.999996423139521,0.2001953125
28,3,observed_eligible_composition,5,3.922266357408586,0.45947265625
28,3,equal_subfield_composition,5,4.999990453932972,0.2001953125
28,4,observed_eligible_composition,5,3.876746776350473,0.46923828125
28,4,equal_subfield_composition,5,4.999996423139522,0.2001953125
28,5,observed_eligible_composition,5,3.8734150299724632,0.46533203125
28,5,equal_subfield_composition,5,4.999996423139521,0.2001953125
28,6,observed_eligible_composition,5,3.866570066100526,0.46533203125
28,6,equal_subfield_composition,5,4.999990453932972,0.2001953125
28,7,observed_eligible_composition,5,3.834535946072392,0.47119140625
28,7,equal_subfield_composition,5,4.999996423139521,0.2001953125
28,8,observed_eligible_composition,5,3.8170328038635715,0.48193359375
28,8,equal_subfield_composition,5,4.999990453932972,0.2001953125
28,9,observed_eligible_composition,5,3.818300038116076,0.46826171875
28,9,equal_subfield_composition,5,4.999996423139521,0.2001953125
29,0,observed_eligible_composition,1,1.0,1.0
29,0,equal_subfield_composition,1,1.0,1.0
29,1,observed_eligible_composition,1,1.0,1.0
29,1,equal_subfield_composition,1,1.0,1.0
29,2,observed_eligible_composition,1,1.0,1.0
29,2,equal_subfield_composition,1,1.0,1.0
29,3,observed_eligible_composition,1,1.0,1.0
29,3,equal_subfield_composition,1,1.0,1.0
29,4,observed_eligible_composition,1,1.0,1.0
29,4,equal_subfield_composition,1,1.0,1.0
29,5,observed_eligible_composition,1,1.0,1.0
29,5,equal_subfield_composition,1,1.0,1.0
29,6,observed_eligible_composition,1,1.0,1.0
29,6,equal_subfield_composition,1,1.0,1.0
29,7,observed_eligible_composition,1,1.0,1.0
29,7,equal_subfield_composition,1,1.0,1.0
29,8,observed_eligible_composition,1,1.0,1.0
29,8,equal_subfield_composition,1,1.0,1.0
29,9,observed_eligible_composition,1,1.0,1.0
29,9,equal_subfield_composition,1,1.0,1.0
30,0,observed_eligible_composition,3,2.509844349306268,0.6015625
30,0,equal_subfield_composition,3,2.9999949920456848,0.333984375
30,1,observed_eligible_composition,3,2.5269841061868537,0.59423828125
30,1,equal_subfield_composition,3,2.999997139908374,0.333984375
30,2,observed_eligible_composition,3,2.520619171399961,0.6025390625
30,2,equal_subfield_composition,3,2.9999992846278474,0.33349609375
30,3,observed_eligible_composition,3,2.4752828819055708,0.60888671875
30,3,equal_subfield_composition,3,2.9999992846278474,0.33349609375
30,4,observed_eligible_composition,3,2.496719416011315,0.595703125
30,4,equal_subfield_composition,3,2.9999992846278474,0.33349609375
30,5,observed_eligible_composition,3,2.5142611564188666,0.59619140625
30,5,equal_subfield_composition,3,2.9999992846278474,0.33349609375
30,6,observed_eligible_composition,3,2.5274776903074434,0.59130859375
30,6,equal_subfield_composition,3,2.999997139908374,0.333984375
30,7,observed_eligible_composition,3,2.516198988426343,0.587890625
30,7,equal_subfield_composition,3,2.9999992846278474,0.33349609375
30,8,observed_eligible_composition,3,2.474567078511012,0.61376953125
30,8,equal_subfield_composition,3,2.999997139908374,0.333984375
30,9,observed_eligible_composition,3,2.515512308594864,0.59326171875
30,9,equal_subfield_composition,3,2.9999907057499575,0.33447265625
31,0,observed_eligible_composition,6,5.022357007589731,0.3369140625
31,0,equal_subfield_composition,6,5.999968530604106,0.16748046875
31,1,observed_eligible_composition,6,5.017022729065673,0.34326171875
31,1,equal_subfield_composition,6,5.9999771220364515,0.16748046875
31,2,observed_eligible_composition,6,4.871548421011313,0.3681640625
31,2,equal_subfield_composition,6,5.999977122036453,0.16748046875
31,3,observed_eligible_composition,6,4.946408659996747,0.36181640625
31,3,equal_subfield_composition,6,5.9999770969152175,0.1669921875
31,4,observed_eligible_composition,6,5.037456650222489,0.337890625
31,4,equal_subfield_composition,6,5.999968530604106,0.16748046875
31,5,observed_eligible_composition,6,5.066133963579202,0.3232421875
31,5,equal_subfield_composition,6,5.99998568835983,0.1669921875
31,6,observed_eligible_composition,6,5.009780206103209,0.34326171875
31,6,equal_subfield_composition,6,5.999959964305223,0.16748046875
31,7,observed_eligible_composition,6,5.069451398261669,0.33544921875
31,7,equal_subfield_composition,6,5.999968530604106,0.16748046875
31,8,observed_eligible_composition,6,4.994782257008996,0.35205078125
31,8,equal_subfield_composition,6,5.99998568835983,0.1669921875
31,9,observed_eligible_composition,6,5.023530440150775,0.3544921875
31,9,equal_subfield_composition,6,5.999968530604106,0.16748046875
32,0,observed_eligible_composition,4,3.7907587642839324,0.337890625
32,0,equal_subfield_composition,4,3.9999961853021286,0.25048828125
32,1,observed_eligible_composition,4,3.7987579170408488,0.34423828125
32,1,equal_subfield_composition,4,3.9999961853021286,0.25048828125
32,2,observed_eligible_composition,4,3.7595927410940595,0.34765625
32,2,equal_subfield_composition,4,3.999988548452145,0.25048828125
32,3,observed_eligible_composition,4,3.752037202615805,0.361328125
32,3,equal_subfield_composition,4,3.9999961853021277,0.25048828125
32,4,observed_eligible_composition,4,3.8088082738942473,0.3447265625
32,4,equal_subfield_composition,4,3.999988563353347,0.2509765625
32,5,observed_eligible_composition,4,3.8193220426410837,0.33349609375
32,5,equal_subfield_composition,4,3.9999961853021286,0.25048828125
32,6,observed_eligible_composition,4,3.7969272120684474,0.349609375
32,6,equal_subfield_composition,4,3.999988548452145,0.25048828125
32,7,observed_eligible_composition,4,3.807064970087834,0.3359375
32,7,equal_subfield_composition,4,3.9999923706078944,0.25048828125
32,8,observed_eligible_composition,4,3.782311508241154,0.3447265625
32,8,equal_subfield_composition,4,3.999984741201236,0.2509765625
32,9,observed_eligible_composition,4,3.8257204862066674,0.3271484375
32,9,equal_subfield_composition,4,3.9999961853021286,0.25048828125
33,0,observed_eligible_composition,16,8.584987596781914,0.3427734375
33,0,equal_subfield_composition,16,15.999451153123006,0.0634765625
33,1,observed_eligible_composition,16,8.734696003753125,0.3154296875
33,1,equal_subfield_composition,16,15.99963330893257,0.06298828125
33,2,observed_eligible_composition,16,8.605762612872772,0.328125
33,2,equal_subfield_composition,16,15.99902343501486,0.0634765625
33,3,observed_eligible_composition,16,8.767858525258646,0.31884765625
33,3,equal_subfield_composition,16,15.999573228406836,0.0634765625
33,4,observed_eligible_composition,16,8.638483463288473,0.322265625
33,4,equal_subfield_composition,16,15.999634262672375,0.0634765625
33,5,observed_eligible_composition,16,8.511300904202223,0.3154296875
33,5,equal_subfield_composition,16,15.99957274781309,0.0634765625
33,6,observed_eligible_composition,16,8.505302267312825,0.31103515625
33,6,equal_subfield_composition,16,15.999022466231986,0.0634765625
