metric,input_condition,model,measure,n,mean,median,min,max,p025,p975,positive_count,negative_count
rsa,title,scincl,model_minus_input,26,0.27931501766826156,0.2754254748469823,0.18694476242602437,0.38506281840865375,0.20321669131628986,0.3694226215866405,26,0
rsa,abstract,scincl,model_change_at_full,26,0.4934902243342326,0.4787724437327636,0.3837098780327756,0.6260152982202057,0.4027375965974274,0.5998460640268656,26,0
rsa,abstract,scincl,input_change_from_full,26,0.030250894533051145,0.029702102056506807,0.020242810928599142,0.04052457810831522,0.02193082764344792,0.03868515971902825,26,0
rsa,abstract,scincl,model_minus_input,26,0.46323932980118154,0.447742805040608,0.3585133458122807,0.592303388033426,0.380388713063325,0.5709971305816185,26,0
rsa,title,scibert,model_change_at_full,26,0.43624638536635907,0.433057211099226,0.33613355378616744,0.5029670154512512,0.3701630690191578,0.495761287063341,26,0
rsa,title,scibert,input_change_from_full,26,0.6230601345773649,0.6360099261945261,0.4343134784427847,0.7519130329592811,0.4857220234041179,0.721073536934685,26,0
rsa,title,scibert,model_minus_input,26,-0.18681374921100571,-0.19890525348259724,-0.273208186176686,-0.09236209937357182,-0.2703277744496937,-0.0959982401754752,0,26
rsa,abstract,scibert,model_change_at_full,26,0.43624638536635907,0.433057211099226,0.33613355378616744,0.5029670154512512,0.3701630690191578,0.495761287063341,26,0
rsa,abstract,scibert,input_change_from_full,26,0.013631687720074927,0.012904702426513148,0.010156691441894017,0.023032685261077268,0.010529610080323104,0.0203040095808225,26,0
rsa,abstract,scibert,model_minus_input,26,0.4226146976462842,0.4193745566014327,0.32330088205808644,0.49071642527362347,0.3536840645132089,0.48406234335209347,26,0
rsa,title,bert,model_change_at_full,26,0.4173188111650076,0.41816274664632325,0.31860540186934627,0.4961903723609758,0.33428025066436673,0.4811903549521214,26,0
rsa,title,bert,input_change_from_full,26,0.43423081715374295,0.4202815547699525,0.2738962342147412,0.6088986658647468,0.3080713260098664,0.6056479496400576,26,0
rsa,title,bert,model_minus_input,26,-0.016912005988735386,-0.012222000742720396,-0.157607833227687,0.09685925043848115,-0.12954562090023952,0.07076717287569621,12,14
rsa,abstract,bert,model_change_at_full,26,0.4173188111650076,0.41816274664632325,0.31860540186934627,0.4961903723609758,0.33428025066436673,0.4811903549521214,26,0
rsa,abstract,bert,input_change_from_full,26,0.011298626048112045,0.009997829632745092,0.007468598568667439,0.020693471111235873,0.0075321694969579245,0.018412979954908676,26,0
rsa,abstract,bert,model_minus_input,26,0.4060201851168955,0.40610827056119303,0.30822474311239745,0.4801695259804201,0.32502259049210064,0.46937178592395257,26,0
rsa,title,mpnet,model_change_at_full,26,0.4311717787869807,0.4323836469371226,0.31433150908299645,0.5176117523995286,0.34750923804823225,0.5042542146721769,26,0
rsa,title,mpnet,input_change_from_full,26,0.20896274443527268,0.20490077796599776,0.13125085896112243,0.28278759747197546,0.1335050040920729,0.28012832350219974,26,0
rsa,title,mpnet,model_minus_input,26,0.222209034351708,0.2236988126290824,0.15877663049877633,0.31055172966538613,0.1593639586971151,0.30087386459622373,26,0
rsa,abstract,mpnet,model_change_at_full,26,0.4311717787869807,0.4323836469371226,0.31433150908299645,0.5176117523995286,0.34750923804823225,0.5042542146721769,26,0
rsa,abstract,mpnet,input_change_from_full,26,0.02494042341540797,0.02311493168553752,0.01606481906665802,0.043646941106611714,0.0163099542460311,0.04177358802693329,26,0
rsa,abstract,mpnet,model_minus_input,26,0.4062313553715727,0.39956502946208217,0.29425340377080256,0.494815416898038,0.3261795716147793,0.47897014346696787,26,0
rsa,title,minilm,model_change_at_full,26,0.43259898342695213,0.42668810828871334,0.3283715870820955,0.5114585205479798,0.3579540765287602,0.5074202051884049,26,0
rsa,title,minilm,input_change_from_full,26,0.2595744743315177,0.25959300690984427,0.17240363565800532,0.3359419694668505,0.1826961485399909,0.32256464963716003,26,0
rsa,title,minilm,model_minus_input,26,0.17302450909543438,0.16955214165843663,0.11191597895412214,0.23751237849994689,0.11858698918496703,0.22735985048203175,26,0
rsa,abstract,minilm,model_change_at_full,26,0.43259898342695213,0.42668810828871334,0.3283715870820955,0.5114585205479798,0.3579540765287602,0.5074202051884049,26,0
