subfield_id,field_id,k,n,mean,median,min,max,p025,p975
1711,17,25,10,0.022165333333333335,0.023511111111111094,0.0048000000000000265,0.04933333333333323,0.005540000000000003,0.04572533333333328
1711,17,50,10,0.010751111111111078,0.008195555555555512,-0.006462222222222147,0.02983111111111103,-0.0045902222222221735,0.028051111111111037
1712,17,10,10,-0.06778666666666669,-0.06695555555555557,-0.07244444444444448,-0.06235555555555561,-0.07214444444444447,-0.06286555555555559
1712,17,25,10,-0.06622933333333336,-0.06709333333333334,-0.07516444444444459,-0.058097777777777915,-0.07432044444444456,-0.05812177777777787
1712,17,50,10,-0.05844000000000003,-0.0576888888888889,-0.06532444444444446,-0.04907555555555565,-0.06473044444444448,-0.05047555555555564
1800,18,10,10,-0.045222222222222254,-0.04746666666666671,-0.05062222222222229,-0.03106666666666663,-0.05056222222222226,-0.03308666666666666
1800,18,25,10,-0.07342577777777774,-0.0725866666666666,-0.08222222222222203,-0.06641777777777774,-0.08211022222222204,-0.06657377777777775
1800,18,50,10,-0.06634044444444442,-0.06823111111111108,-0.07573333333333332,-0.04532444444444439,-0.07550133333333335,-0.04839844444444441
1802,18,10,10,-0.029919999999999957,-0.033488888888888874,-0.04462222222222223,-0.00933333333333336,-0.04378222222222222,-0.010303333333333343
1802,18,25,10,-0.008295111111111132,-0.011342222222222226,-0.024337777777777847,0.015626666666666678,-0.022985777777777845,0.014426666666666687
1802,18,50,10,0.00821777777777779,0.005017777777777899,-0.0007199999999999429,0.02465777777777778,-0.0003519999999999301,0.023889777777777746
1803,18,10,10,0.005120000000000025,0.005133333333333351,-0.0056888888888887434,0.017866666666666697,-0.005528888888888757,0.01745666666666666
1803,18,25,10,0.007685333333333338,0.006391111111111125,0.0007466666666666177,0.02158222222222228,0.0010826666666666081,0.020146222222222267
1803,18,50,10,0.006757333333333349,0.005817777777777755,-0.0014044444444443194,0.014684444444444389,-0.0010904444444443605,0.01463044444444441
1804,18,10,10,-0.016182222222222226,-0.016777777777777808,-0.03848888888888885,0.016933333333333356,-0.03666888888888888,0.013013333333333349
1804,18,25,10,0.015667555555555535,0.012808888888888897,-0.0006222222222223017,0.04572444444444451,0.0006617777777777043,0.0412244444444445
1804,18,50,10,0.03188977777777774,0.030088888888888887,0.021386666666666554,0.05476444444444439,0.021848666666666582,0.05173444444444441
1902,19,10,10,0.008942222222222223,0.008066666666666639,-0.006355555555555559,0.02884444444444434,-0.0053255555555555435,0.02819444444444434
1902,19,25,10,0.007406222222222253,0.010391111111111101,-0.00992000000000004,0.01644444444444454,-0.007548000000000025,0.01593644444444452
1902,19,50,10,0.005871999999999977,0.005831111111111065,-0.004435555555555526,0.0191822222222221,-0.0037695555555555095,0.017260222222222128
1904,19,10,10,-0.0177111111111111,-0.015111111111111103,-0.037644444444444536,-0.006311111111111101,-0.03596444444444452,-0.006831111111111097
1904,19,25,10,0.008734222222222216,0.008746666666666653,-0.004551111111111061,0.019075555555555623,-0.0026751111111110865,0.0182955555555556
1904,19,50,10,0.02312977777777776,0.024399999999999977,0.006675555555555546,0.029946666666666677,0.009279555555555544,0.029770666666666674
1906,19,10,10,0.017044444444444445,0.01424444444444442,0.005422222222222273,0.03555555555555551,0.00604222222222225,0.03329555555555553
1906,19,25,10,0.022355555555555538,0.024648888888888942,0.006186666666666674,0.03415111111111113,0.007298666666666677,0.034087111111111124
1906,19,50,10,0.029826666666666647,0.029920000000000058,0.02007111111111104,0.03819555555555543,0.020353111111111065,0.037909555555555426
1907,19,10,10,-0.04256888888888889,-0.04348888888888888,-0.05555555555555558,-0.030933333333333313,-0.05425555555555557,-0.03119333333333333
1907,19,25,10,-0.011551999999999962,-0.011848888888888853,-0.023893333333333322,0.01075555555555563,-0.02372933333333332,0.009235555555555641
1907,19,50,10,0.032647111111111106,0.03137777777777789,0.02220444444444436,0.042524444444444365,0.022508444444444352,0.042252444444444384
1908,19,10,10,-0.030253333333333337,-0.03468888888888891,-0.04422222222222211,-0.005777777777777826,-0.04365222222222215,-0.00908777777777781
1908,19,25,10,-0.023731555555555568,-0.028026666666666672,-0.036462222222222396,-0.0014933333333333465,-0.03573022222222236,-0.004049333333333339
1908,19,50,10,-0.006737777777777798,-0.007915555555555398,-0.018151111111111118,0.01424000000000003,-0.017249111111111153,0.011266000000000012
1910,19,10,10,-0.029306666666666682,-0.03026666666666669,-0.04777777777777781,-0.011511111111111139,-0.046597777777777794,-0.011821111111111145
1910,19,25,10,-0.018033777777777767,-0.020115555555555553,-0.03194666666666657,0.00481777777777781,-0.030858666666666583,0.0025577777777778207
1910,19,50,10,0.005967999999999985,0.009791111111111084,-0.014328888888888947,0.018391111111111025,-0.01364288888888895,0.01821511111111107
1911,19,10,10,-0.08084444444444447,-0.08157777777777775,-0.08955555555555555,-0.07075555555555546,-0.08916555555555557,-0.0708855555555555
1911,19,25,10,-0.07760711111111111,-0.07810666666666666,-0.08403555555555542,-0.06257777777777773,-0.08398355555555546,-0.06474177777777776
1911,19,50,10,-0.061369777777777815,-0.059275555555555526,-0.07138666666666682,-0.05539555555555553,-0.07067466666666675,-0.055451555555555546
2000,20,10,10,0.01436444444444442,0.015177777777777707,-0.006444444444444364,0.039155555555555555,-0.005394444444444367,0.03535555555555554
2000,20,25,10,0.01524266666666665,0.019235555555555478,-0.013582222222222273,0.02702222222222206,-0.008530222222222238,0.026574222222222096
2000,20,50,10,0.016481777777777797,0.01832000000000006,-0.000888888888888828,0.03191999999999995,0.0015051111111111432,0.029439999999999966
2002,20,10,10,0.006439999999999985,0.011288888888888932,-0.020933333333333304,0.019199999999999995,-0.018033333333333314,0.018499999999999996
2002,20,25,10,0.005111111111111094,0.005493333333333267,-0.012480000000000047,0.02332444444444448,-0.012200000000000011,0.02155244444444444
2002,20,50,10,0.0050666666666666135,0.005573333333333291,-0.0059733333333333305,0.01990222222222221,-0.0056173333333333336,0.01823622222222219
2003,20,10,10,-0.010155555555555562,-0.012888888888888894,-0.024355555555555575,0.012133333333333385,-0.023995555555555576,0.009373333333333381
2003,20,25,10,-0.005057777777777795,-0.006160000000000054,-0.017439999999999956,0.009422222222222276,-0.01656399999999996,0.008106222222222275
2003,20,50,10,-0.003621333333333343,-0.00249777777777771,-0.018826666666666658,0.00955555555555554,-0.018380666666666684,0.008447555555555526
2100,21,10,10,-0.10442666666666667,-0.10420000000000004,-0.12146666666666672,-0.08897777777777777,-0.1198766666666667,-0.08953777777777776
2100,21,25,10,-0.13617955555555555,-0.13507555555555553,-0.15020444444444436,-0.12273777777777778,-0.14921244444444437,-0.12354177777777778
2100,21,50,10,-0.15988,-0.1603733333333334,-0.17822222222222217,-0.14586666666666664,-0.1773282222222222,-0.14703466666666665
2102,21,10,10,-0.03032444444444445,-0.023288888888888887,-0.05817777777777777,-0.01902222222222233,-0.054637777777777785,-0.01961222222222231
2102,21,25,10,-0.03472711111111114,-0.03424000000000002,-0.05395555555555559,-0.01900444444444438,-0.0512675555555556,-0.01974444444444439
2102,21,50,10,-0.04656177777777776,-0.046439999999999926,-0.05512000000000006,-0.03439111111111104,-0.05487000000000007,-0.035573111111111035
2105,21,10,10,-0.004328888888888905,-0.0054888888888889875,-0.024755555555555586,0.015555555555555656,-0.023275555555555584,0.015205555555555625
2105,21,25,10,0.0015164444444444314,0.0009599999999999609,-0.01075555555555563,0.014026666666666743,-0.010123555555555611,0.013950666666666695
2105,21,50,10,-0.0032088888888889165,-0.004013333333333369,-0.015075555555555509,0.01455111111111107,-0.014457555555555533,0.011733111111111073
2200,22,10,10,-0.11257777777777778,-0.11339999999999997,-0.12306666666666671,-0.09742222222222224,-0.12291666666666669,-0.09930222222222222
2200,22,25,10,-0.1310648888888889,-0.13136888888888887,-0.14241777777777775,-0.11927111111111105,-0.14168577777777777,-0.12021111111111107
2200,22,50,10,-0.14566844444444446,-0.14460000000000006,-0.1647911111111111,-0.13092444444444434,-0.16367111111111113,-0.13143444444444438
2202,22,10,10,-0.01590222222222224,-0.011466666666666736,-0.0397777777777778,0.0012444444444443814,-0.03780777777777779,-9.555555555561452e-05
2202,22,25,10,0.030664888888888915,0.031182222222222278,0.002168888888888998,0.05408000000000007,0.007044888888888955,0.05110800000000008
2202,22,50,10,0.05821155555555553,0.05782666666666669,0.049368888888888796,0.07052444444444439,0.049724888888888805,0.0694164444444444
2203,22,10,10,-0.01576444444444443,-0.0164666666666666,-0.027822222222222248,-0.003911111111111143,-0.02747222222222224,-0.0047211111111111394
2203,22,25,10,0.0036924444444443984,0.00448888888888882,-0.012622222222222312,0.01880888888888882,-0.011286222222222303,0.0182168888888888
2203,22,50,10,0.015453333333333374,0.01834666666666679,-0.01015111111111111,0.036097777777777784,-0.007711111111111113,0.03371977777777777
2204,22,10,10,0.01845333333333333,0.015177777777777846,0.0040000000000000036,0.040311111111111075,0.0044900000000000035,0.03910111111111111
2204,22,25,10,0.017708444444444416,0.01861333333333326,0.004853333333333265,0.02716444444444427,0.004985333333333305,0.026796444444444293
2204,22,50,10,0.017547555555555615,0.01826666666666671,0.006293333333333484,0.026160000000000183,0.007507333333333493,0.025514000000000148
2205,22,10,10,-0.026968888888888903,-0.027177777777777745,-0.04355555555555557,-0.005422222222222217,-0.04313555555555558,-0.00638222222222221
2205,22,25,10,-0.03895111111111114,-0.03566222222222226,-0.05687111111111115,-0.017102222222222185,-0.05660711111111116,-0.019426222222222192
2205,22,50,10,-0.03562044444444441,-0.03637777777777773,-0.04996444444444448,-0.015413333333333279,-0.04956844444444446,-0.017151333333333272
2206,22,10,10,-0.03009777777777777,-0.03188888888888891,-0.044044444444444386,-0.01275555555555552,-0.04270444444444441,-0.014685555555555533
2206,22,25,10,-0.03068977777777774,-0.030328888888888905,-0.05660444444444457,-0.016391111111111023,-0.053296444444444493,-0.01662311111111102
2206,22,50,10,-0.017482666666666712,-0.014066666666666672,-0.04081777777777773,-0.0017955555555556613,-0.038561777777777737,-0.0032475555555556536
2207,22,10,10,-0.031684444444444466,-0.03146666666666667,-0.04444444444444451,-0.02093333333333336,-0.0439244444444445,-0.021073333333333354
2207,22,25,10,-0.019271111111111072,-0.017671111111111082,-0.04440888888888889,-0.004711111111111055,-0.041168888888888894,-0.005607111111111016
2207,22,50,10,-0.0012871111111111056,-5.3333333333405175e-05,-0.015333333333333199,0.0074666666666667325,-0.01355733333333323,0.006556666666666743
2208,22,10,10,-0.011417777777777777,-0.012199999999999989,-0.035822222222222255,0.005777777777777826,-0.03280222222222225,0.005457777777777829
