outcome,group,endpoint_change,slope,increasing_steps,decreasing_steps,minimum,maximum,model_a,model_b
cka_cls,6,0.02307210057299558,0.005344127783979169,3,1,0.3777046221150757,0.4007767226880713,specter,pubmedbert
cka_cls,7,0.026392317469134785,0.006449726960692892,4,0,0.4661775905735107,0.4925699080426455,specter,biobert
cka_cls,8,0.011628861613568242,0.002956127364731986,4,0,0.5380618821791905,0.5496907437927587,specter,simcse
cka_cls,9,0.03785181586550501,0.00985784037816193,4,0,0.7863587893481324,0.8242106052136374,specter2,scincl
cka_cls,10,-0.016675440694572885,-0.006028404672670229,1,3,0.3810253290566565,0.41400272953033546,specter2,scibert
cka_cls,11,0.02078960996261936,0.0036890778032761086,3,1,0.350687404375478,0.3714770143380974,specter2,bert
cka_cls,12,0.04138290690554414,0.010685737588806355,4,0,0.7369936061900423,0.7783765130955864,specter2,mpnet
cka_cls,13,0.04687871657274523,0.012365797282390756,4,0,0.686983726323911,0.7338624428966563,specter2,minilm
cka_cls,14,0.006370886629495365,-0.0003599267021410224,2,2,0.3806389759892458,0.40049528782086735,specter2,pubmedbert
cka_cls,15,0.014485991074792648,0.002276824930369159,2,2,0.45768747844632923,0.47788466395439205,specter2,biobert
cka_cls,16,0.015825985806779796,0.004094858892726716,2,2,0.49601227789052965,0.513325812732931,specter2,simcse
cka_cls,17,0.022313463790095966,0.005684408377888828,4,0,0.35972290342039503,0.382036367210491,scincl,scibert
cka_cls,18,0.036379521073852394,0.008472618871713355,4,0,0.34713434170072016,0.38351386277457256,scincl,bert
cka_cls,19,0.025951699843438703,0.006807938445236661,4,0,0.7746548173679441,0.8006065172113828,scincl,mpnet
cka_cls,20,0.02864964673287529,0.007443408660553463,4,0,0.7292035737257228,0.757853220458598,scincl,minilm
cka_cls,21,0.038057096861171424,0.009280197626607544,4,0,0.3532200637400781,0.3912771606012495,scincl,pubmedbert
cka_cls,22,0.038260440281948416,0.009531833188592942,4,0,0.44419099262455497,0.4824514329065034,scincl,biobert
cka_cls,23,0.016721770620038767,0.004354828244912868,4,0,0.5179261141974145,0.5346478848174533,scincl,simcse
cka_cls,24,-0.016081732483915756,-0.0056260188878570535,2,2,0.5275621636717037,0.5516588875824426,scibert,bert
cka_cls,25,0.024617367961642156,0.005398694156215611,3,1,0.353847424626828,0.37846479258847016,scibert,mpnet
cka_cls,26,0.026172109214522676,0.0070162871388998235,4,0,0.34556246365109566,0.37173457286561834,scibert,minilm
cka_cls,27,-0.017257835996908666,-0.007330691880381446,1,3,0.7015487635954055,0.7432813650417646,scibert,pubmedbert
cka_cls,28,-0.036412550969604496,-0.010850500907240069,1,3,0.6873483253268843,0.7322621588888741,scibert,biobert
cka_cls,29,-0.0054754548218313714,-0.0017621002851870072,2,2,0.4742693228542524,0.48286439468975123,scibert,simcse
cka_cls,30,0.04441156459164863,0.010031249898482298,4,0,0.35679744291759785,0.4012090075092465,bert,mpnet
cka_cls,31,0.040500379657496144,0.009650817996198758,4,0,0.36472782479098714,0.4052282044484833,bert,minilm
cka_cls,32,-0.036747165182057784,-0.011373458032625261,1,3,0.54204748480438,0.5865966651479227,bert,pubmedbert
cka_cls,33,-0.019672131606429666,-0.007298813047216468,2,2,0.5726766535729836,0.6063205208322888,bert,biobert
cka_cls,34,0.02045621582636825,0.003921431393645381,2,2,0.6010532630169815,0.6215094788433497,bert,simcse
cka_cls,35,0.020434941245049076,0.0053269778740337335,4,0,0.8245277093654071,0.8449626506104562,mpnet,minilm
cka_cls,36,0.0383315923064767,0.008562224540118225,4,0,0.35362339101254137,0.39195498331901807,mpnet,pubmedbert
cka_cls,37,0.038515572690814126,0.008887053882307061,4,0,0.443659447939213,0.48217502063002715,mpnet,biobert
cka_cls,38,0.01814137641301894,0.0045504291013563234,3,1,0.5362602465207364,0.5544016229337554,mpnet,simcse
cka_cls,39,0.03582482186430708,0.008890599649768705,4,0,0.3469568646438109,0.382781686508118,minilm,pubmedbert
cka_cls,40,0.03228041962472267,0.008119023775284373,4,0,0.43572996955240034,0.468010389177123,minilm,biobert
cka_cls,41,0.012777341006130594,0.00331839350573111,3,1,0.5611336616175147,0.5739110026236452,minilm,simcse
cka_cls,42,-0.03146111548592867,-0.010567070421475377,1,3,0.6922802057775966,0.7394701606511279,pubmedbert,biobert
cka_cls,43,-0.0069465348956312956,-0.00268997287794136,2,2,0.4972544546523304,0.5102611136404812,pubmedbert,simcse
cka_cls,44,-0.0015130529721939512,-0.0013911530155359618,2,2,0.5700608425781419,0.5809462667891137,biobert,simcse
cka_sep,0,0.03859531486854095,0.010100830132153992,4,0,0.7269618115374072,0.7655571264059482,specter,specter2
cka_sep,1,0.022332510136209405,0.005676820542173,4,0,0.7950322102448292,0.8173647203810386,specter,scincl
cka_sep,2,0.011890023031094765,0.003230023955961969,3,1,0.4446115114660974,0.45755261056535546,specter,scibert
cka_sep,3,0.10673926572394954,0.026172989597605795,4,0,0.13499675627828694,0.24173602200223648,specter,bert
cka_sep,4,0.03043397611932719,0.007740581119338641,4,0,0.754029292302505,0.7844632684218322,specter,mpnet
cka_sep,5,0.0314135006577243,0.008023465161997168,4,0,0.7126740902347597,0.744087590892484,specter,minilm
cka_sep,6,0.029382653495555022,0.007630984953859521,4,0,0.6682915013168316,0.6976741548123866,specter,pubmedbert
cka_sep,7,0.0343960275318248,0.009224832953056072,4,0,0.6169070140928193,0.6513030416246441,specter,biobert
