population,measure,k,level,selection,recipe,n,mean,median,min,max,p025,p975
same_183_subfields,neighbors,25,field,512,cls,1170,0.31956183226495727,0.27937500000000004,0.143046875,0.683125,0.166658203125,0.5954472656249998
same_183_subfields,neighbors,50,field,512,cls,1170,0.3838048878205128,0.34855468749999996,0.2015234375,0.7367578125,0.2290185546875,0.6426425781249998
same_183_subfields,neighbors,10,field,512,sep,1170,0.2933525307158119,0.2689453125,0.0919921875,0.6283203125,0.1207470703125,0.5522314453124998
same_183_subfields,neighbors,25,field,512,sep,1170,0.35587640224358974,0.33882812500000004,0.137734375,0.683125,0.17549609375,0.6023242187499999
same_183_subfields,neighbors,50,field,512,sep,1170,0.4178881543803418,0.40638671875,0.1915625,0.7367578125,0.2354638671875,0.6462802734374997
same_183_subfields,neighbors,10,subfield,128,mean,8235,0.4317025273224044,0.396875,0.1609375,0.75390625,0.2625,0.665625
same_183_subfields,neighbors,25,subfield,128,mean,8235,0.5383304872495447,0.511875,0.2928125,0.8084375,0.3834375,0.7359375
same_183_subfields,neighbors,50,subfield,128,mean,8235,0.6557607771706133,0.6378125,0.4684375,0.8775,0.53328125,0.80765625
same_183_subfields,neighbors,10,subfield,128,cls,8235,0.3554819368548877,0.315625,0.1265625,0.75390625,0.18984375,0.6453125
same_183_subfields,neighbors,25,subfield,128,cls,8235,0.4720666363084396,0.4421875,0.2478125,0.8084375,0.3134375,0.7134375
same_183_subfields,neighbors,50,subfield,128,cls,8235,0.6079204804189436,0.58859375,0.4184375,0.87,0.47890625,0.7850234374999999
same_183_subfields,neighbors,10,subfield,128,sep,8235,0.389524704007286,0.37578125,0.09765625,0.75390625,0.1953125,0.6453125
same_183_subfields,neighbors,25,subfield,128,sep,8235,0.5011785063752277,0.496875,0.220625,0.8084375,0.315578125,0.7156718749999998
same_183_subfields,neighbors,50,subfield,128,sep,8235,0.6282102686703097,0.628125,0.39453125,0.87,0.4791953125,0.7878125
same_183_subfields,neighbors,10,subfield,256,mean,8235,0.37404585040983607,0.33203125,0.140234375,0.72109375,0.20859375,0.621875
same_183_subfields,neighbors,25,subfield,256,mean,8235,0.45704212204007283,0.4221875,0.2140625,0.77046875,0.2906015625,0.6828359374999999
same_183_subfields,neighbors,50,subfield,256,mean,8235,0.5393727800546448,0.511640625,0.30703125,0.818828125,0.38780078125,0.73469921875
same_183_subfields,neighbors,10,subfield,256,cls,8235,0.2950910746812386,0.24921875,0.094921875,0.72109375,0.137109375,0.6000585937499998
same_183_subfields,neighbors,25,subfield,256,cls,8235,0.3812902625986642,0.34234375,0.15703125,0.77046875,0.21734375,0.6622109374999999
same_183_subfields,neighbors,50,subfield,256,cls,8235,0.47232380843958716,0.44203125,0.244921875,0.818828125,0.315859375,0.7153125
