group,field_id,n,mean,median,min,max,p025,p975
2745,27,45,0.6182090289450557,0.5307052264173931,0.4292219905123467,0.8819115836768239,0.43276298855380435,0.8638714943168696
2746,27,45,0.5769179893684249,0.48203544592710224,0.3866585497642857,0.8444562686298636,0.4043410412139814,0.8242762575311171
2748,27,45,0.6032540743810686,0.5085300759546912,0.40496664500984053,0.9048021558364301,0.41282077556772434,0.8766057383671593
2802,28,45,0.5994901001986578,0.5376786140607395,0.39401918602034947,0.851361584102597,0.4232611159555098,0.8398849708208281
2804,28,45,0.6453467297473032,0.606284895512741,0.45648161731337955,0.8834124675571565,0.4981022199832076,0.8697234547001044
2805,28,45,0.6388603073052853,0.5832742746392936,0.49557161438703273,0.8580411318224935,0.4993312128644387,0.8516130605534634
2806,28,45,0.7234698881019597,0.6848437126537082,0.5490599830794404,0.9116570864624862,0.5845180891990858,0.9078777653972087
2807,28,45,0.6029531193905289,0.5419008411601279,0.3546395524279801,0.885109916721099,0.3819279503765025,0.8779508185086078
2808,28,45,0.6413369826263896,0.5764491431800296,0.46634623259927177,0.884916387390034,0.4831109178224196,0.8758820274351641
2809,28,45,0.6722990754313484,0.6240118187710948,0.5127124343274799,0.9005739372722438,0.517102238435369,0.8764901887742615
2910,29,45,0.6260354269789521,0.582819819184026,0.43793497753174043,0.8760634824753112,0.45125307184339014,0.8573444041080507
2911,29,45,0.49594101216311304,0.3801527815532055,0.08135853525620285,0.9269382324865889,0.09914987960095703,0.9112717213742778
2916,29,45,0.6572448539191273,0.6022231731354436,0.4676448062204182,0.8734381008157178,0.5018114751696315,0.8701265182337513
2922,29,45,0.5771530912989339,0.4937587584956989,0.39055753583244185,0.8745331526622987,0.4104940415877218,0.8528855526446516
3003,30,45,0.7747132899958186,0.7624015048801956,0.591165707405752,0.9310944986027626,0.6303230580428191,0.9264918287557243
3004,30,45,0.6237679752821396,0.566019509887108,0.46438361532868394,0.8641639943159449,0.47086311921604107,0.8619820028124889
3005,30,45,0.7152120047479154,0.6750477066887275,0.5641558930335506,0.893101041651737,0.5712645943432441,0.8918791777759701
3103,31,45,0.6696877063266005,0.654580831591778,0.513365396836452,0.8689977060875416,0.521131251937198,0.8492453662648614
3104,31,45,0.7401915970885087,0.7094812504312052,0.6069843457386551,0.9085519353039808,0.6250953975671858,0.9069012621330659
3106,31,45,0.6842036825123345,0.6618130871741228,0.525369148434754,0.8945154743894894,0.5446720857236501,0.8703806445151342
3107,31,45,0.6674277384249929,0.6424252523654438,0.4880684370378763,0.8926908817094805,0.5255391080344924,0.8615310624775876
