subfield_id,corpus_rows,small_n,large_n,model_a,model_b,repeats,median_small,median_large,median_size_change,central95_width,passes_operational_screen,large_sample_equals_whole_group
1111,1162,256,512,specter,pubmedbert,20,0.5968207051596994,0.6040792266424149,0.007258521482715441,0.04708009645767186,False,False
1111,1162,256,512,specter,biobert,20,0.5984176267324968,0.6073422718010539,0.008924645068557169,0.07165382162976786,False,False
1111,1162,256,512,specter,simcse,20,0.6447763106446913,0.6512330285069603,0.006456717862268979,0.0515232953588044,False,False
1111,1162,256,512,specter2,scibert,20,0.5707199631975342,0.572514449007781,0.001794485810246882,0.04262672541244261,False,False
1111,1162,256,512,specter2,bert,20,0.5415438621329954,0.5383278307288857,0.0032160314041097537,0.04550048101783133,False,False
1111,1162,256,512,specter2,pubmedbert,20,0.5118783378918641,0.5126465133457621,0.0007681754538979568,0.04411654575269619,False,False
1111,1162,256,512,specter2,biobert,20,0.5246045051913952,0.5228241371607316,0.001780368030663615,0.06674003091015479,False,False
1111,1162,256,512,specter2,simcse,20,0.5140097399962991,0.5174942765204373,0.003484536524138271,0.04341508187855997,False,False
1111,1162,256,512,scincl,scibert,20,0.6120307951985468,0.6083300378147617,0.0037007573837850583,0.04066841620975281,False,False
1111,1162,256,512,scincl,bert,20,0.6144285170739794,0.6096606606861402,0.0047678563878391644,0.05241203069432654,False,False
1111,1162,256,512,scincl,pubmedbert,20,0.5569361892389606,0.5573762342301402,0.00044004499117955564,0.043716389605899186,False,False
1111,1162,256,512,scincl,biobert,20,0.5677984261325444,0.5677374099224792,6.1016210065156784e-05,0.06451606200178384,False,False
1111,1162,256,512,scincl,simcse,20,0.6113128825666472,0.61254984472103,0.001236962154382848,0.04997068439394958,False,False
1111,1162,256,512,bert,mpnet,20,0.6061561158458096,0.6054432395191133,0.0007128763266963656,0.0418055915734451,False,False
1111,1162,256,512,mpnet,pubmedbert,20,0.5480094900806247,0.55233549396868,0.004326003888055263,0.04304331104642334,False,False
1111,1162,256,512,mpnet,biobert,20,0.5724296922308353,0.5731916996712528,0.0007620074404175448,0.05920619092206747,False,False
1111,1162,256,512,mpnet,simcse,20,0.5893718127959753,0.5940577480672502,0.004685935271274921,0.044427219766054904,False,False
1111,1162,256,512,minilm,biobert,20,0.5472311051301969,0.5536118983788736,0.006380793248676686,0.05306942656626357,False,False
1111,1162,256,512,biobert,simcse,20,0.6312700000987674,0.6367745582948676,0.005504558196100184,0.04383397080833229,False,False
1200,30,15,30,specter,specter2,20,0.6775856018832436,0.7158991113516401,0.03831350946839651,1.5543122344752192e-15,False,True
1200,30,15,30,specter,scincl,20,0.7516917305212769,0.7833306928692916,0.031638962348014665,7.771561172376096e-16,False,True
1200,30,15,30,specter,minilm,20,0.5875482494606274,0.6339878213348972,0.046439571874269725,5.551115123125783e-16,False,True
