cls: Field 16, 2015, n=2,166, 1.6s
cls: Field 16, 2020, n=2,166, 1.5s
cls: Field 17, 2000, n=3,310, 1.8s
cls: Field 17, 2005, n=5,594, 2.3s
cls: Field 17, 2010, n=7,094, 2.4s
cls: Field 17, 2015, n=6,858, 2.3s
cls: Field 17, 2020, n=9,972, 3.1s
cls: Field 18, 2000, n=2,166, 1.5s
cls: Field 18, 2005, n=2,166, 1.5s
cls: Field 18, 2010, n=2,166, 1.5s
cls: Field 18, 2015, n=2,166, 1.6s
cls: Field 18, 2020, n=2,166, 1.6s
cls: Field 19, 2000, n=2,166, 1.5s
cls: Field 19, 2005, n=2,166, 1.6s
cls: Field 19, 2010, n=2,166, 1.8s
cls: Field 19, 2015, n=2,166, 1.6s
cls: Field 19, 2020, n=2,166, 1.6s
cls: Field 20, 2000, n=2,166, 1.5s
cls: Field 20, 2005, n=2,166, 1.7s
cls: Field 20, 2010, n=2,166, 1.9s
cls: Field 20, 2015, n=2,166, 2.1s
cls: Field 20, 2020, n=2,845, 1.8s
cls: Field 21, 2000, n=2,166, 1.6s
cls: Field 21, 2005, n=2,166, 1.6s
cls: Field 21, 2010, n=2,166, 1.6s
cls: Field 21, 2015, n=2,166, 1.6s
cls: Field 21, 2020, n=2,166, 1.6s
cls: Field 22, 2000, n=6,990, 2.5s
cls: Field 22, 2005, n=11,310, 3.5s
cls: Field 22, 2010, n=15,203, 4.1s
cls: Field 22, 2015, n=14,738, 4.4s
cls: Field 22, 2020, n=18,907, 5.2s
cls: Field 23, 2000, n=2,166, 1.7s
cls: Field 23, 2005, n=2,876, 1.9s
cls: Field 23, 2010, n=4,005, 2.2s
cls: Field 23, 2015, n=4,018, 2.1s
cls: Field 23, 2020, n=5,919, 2.3s
cls: Field 24, 2000, n=2,166, 1.6s
cls: Field 24, 2005, n=2,166, 1.6s
cls: Field 24, 2010, n=2,166, 1.7s
cls: Field 24, 2015, n=2,166, 1.7s
cls: Field 24, 2020, n=2,166, 1.6s
cls: Field 25, 2000, n=2,166, 1.6s
cls: Field 25, 2005, n=2,166, 1.6s
cls: Field 25, 2010, n=2,962, 1.8s
cls: Field 25, 2015, n=3,152, 1.7s
cls: Field 25, 2020, n=3,787, 2.0s
cls: Field 26, 2000, n=2,166, 1.6s
cls: Field 26, 2005, n=2,166, 1.6s
cls: Field 26, 2010, n=2,166, 1.6s
cls: Field 26, 2015, n=2,166, 1.7s
cls: Field 26, 2020, n=2,166, 1.7s
cls: Field 27, 2000, n=7,128, 2.8s
cls: Field 27, 2005, n=10,946, 3.8s
cls: Field 27, 2010, n=15,771, 4.3s
cls: Field 27, 2015, n=18,629, 5.6s
cls: Field 27, 2020, n=26,195, 10.2s
cls: Field 28, 2000, n=2,166, 1.7s
cls: Field 28, 2005, n=2,166, 1.8s
cls: Field 28, 2010, n=2,166, 1.7s
cls: Field 28, 2015, n=2,166, 1.7s
cls: Field 28, 2020, n=2,166, 1.7s
cls: Field 29, 2000, n=2,166, 1.8s
cls: Field 29, 2005, n=2,166, 1.6s
cls: Field 29, 2010, n=2,166, 1.6s
