model,field_id,repeat,angle_p50_observed,pr_observed,gap_25_observed,connect_ratio90_50_observed,angle_p50_gaussian,pr_gaussian,gap_25_gaussian,connect_ratio90_50_gaussian,gap_excess_observed_minus_reference,spread_reference_relative_error,pr_reference_relative_error
minilm,19,2,81.66237670818991,58.21728034247747,0.10803829995317822,1.1116470518210966,80.75772447750758,59.28354666396166,0.23528919336820378,1.0684485612114563,-0.12725089341502555,-0.011077956179440962,0.018315289123978618
minilm,20,0,83.41912918601646,74.30482332866957,0.15012098501705837,1.092808492873833,82.85654940490727,74.53232583444695,0.3064204502275165,1.056413975217589,-0.15629946521045815,-0.006744014072056492,0.003061746136870269
minilm,20,1,83.41912918601646,74.30482332866957,0.15012098501705837,1.092808492873833,82.79203520192429,73.81863648737557,0.2956086891658443,1.053981787852749,-0.14548770414878595,-0.0075173882802566094,-0.0065431397251759504
minilm,20,2,83.41912918601646,74.30482332866957,0.15012098501705837,1.092808492873833,82.75786710331909,71.46065058462182,0.26888898269296346,1.052089565181544,-0.1187679976759051,-0.00792698376439327,-0.038277094495834274
minilm,21,0,84.29984893454281,42.018397728620734,0.08292838170828296,1.1297141941863267,82.48990331350508,48.62289684694837,0.13742434383760477,1.0706368525990126,-0.05449596212932181,-0.021470330539300475,0.15718112720488153
minilm,21,1,84.29984893454281,42.018397728620734,0.08292838170828296,1.1297141941863267,82.16737787884927,46.599499828109565,0.13109576777732168,1.0732927797828191,-0.048167386069038726,-0.02529626188712819,0.10902610159188497
minilm,21,2,84.29984893454281,42.018397728620734,0.08292838170828296,1.1297141941863267,82.69911387373395,47.577533159909194,0.13337137847188069,1.0791179160652398,-0.05044299676359773,-0.018988587536518553,0.1323024135092583
minilm,22,0,87.88485439453436,89.33556087976622,0.13193797663832715,1.053858382926341,86.92966058101582,87.98163041217028,0.31377199017122637,1.031145574470175,-0.1818340135328992,-0.010868696547307932,-0.015155560162857795
minilm,22,1,87.88485439453436,89.33556087976622,0.13193797663832715,1.053858382926341,87.00512605170644,86.71888970029146,0.2960012004496743,1.0287105082355505,-0.16406322381134716,-0.010010010813451653,-0.02929036493089754
minilm,22,2,87.88485439453436,89.33556087976622,0.13193797663832715,1.053858382926341,87.07602121138595,86.6722613675019,0.3096567755400812,1.0317100163711674,-0.17771879890175404,-0.009203328477024986,-0.029812310865196978
minilm,23,0,84.84636724217444,68.64950656216487,0.11887369700558202,1.1109842334291757,83.94077533096417,68.84897089826082,0.2441074378007502,1.0681858470177503,-0.1252337407951682,-0.01067331390424131,0.0029055465375460443
minilm,23,1,84.84636724217444,68.64950656216487,0.11887369700558202,1.1109842334291757,83.73448988899378,68.6555585275861,0.24498085067152386,1.0583586662374542,-0.12610715366594183,-0.013104595863333346,8.815744969337125e-05
minilm,23,2,84.84636724217444,68.64950656216487,0.11887369700558202,1.1109842334291757,83.82815551020046,67.73013478769599,0.24444227434528104,1.0642599677188291,-0.125568577339699,-0.012000652061716743,-0.013392256121118051
minilm,24,0,80.74535862418988,55.26074888585179,0.10323200653775126,1.0984916523833637,80.0578601223199,56.978403871207554,0.18780795344637585,1.0499397364180099,-0.08457594690862459,-0.008514402729570825,0.03108273087112523
minilm,24,1,80.74535862418988,55.26074888585179,0.10323200653775126,1.0984916523833637,79.953173327897,57.97384313957377,0.19495719915108123,1.051303630105598,-0.09172519261332997,-0.00981090814123331,0.049096226678473576
minilm,24,2,80.74535862418988,55.26074888585179,0.10323200653775126,1.0984916523833637,80.12651661890717,56.53697660272453,0.18710187598668565,1.0545625620805652,-0.08386986944893439,-0.007664118604797543,0.023094651133102717
minilm,25,0,82.9375536756653,67.89412870543595,0.16022016874203254,1.0846446494835031,82.51496344779504,66.16981552753816,0.24954061697942007,1.050628503871368,-0.08932044823738752,-0.005095282042231863,-0.02539708824276765
minilm,25,1,82.9375536756653,67.89412870543595,0.16022016874203254,1.0846446494835031,82.57357271480834,66.56870533849941,0.25293856249956104,1.0515925903584318,-0.0927183937575285,-0.004388614623001108,-0.019521914371815385
minilm,25,2,82.9375536756653,67.89412870543595,0.16022016874203254,1.0846446494835031,82.46465253575477,68.65830532853568,0.27981944854987617,1.0557231292335734,-0.11959927980784363,-0.0057018940028042975,0.011255415419132442
minilm,26,0,86.66799208764004,66.66027721042325,0.05127968502230153,1.0602420079685153,85.43539090508985,66.3514236031796,0.22383843928491653,1.044254784788366,-0.17255875426261502,-0.014222103833947952,-0.004633248167701165
minilm,26,1,86.66799208764004,66.66027721042325,0.05127968502230153,1.0602420079685153,85.41482489890039,68.2342437026434,0.23648607139841524,1.0417550906280295,-0.1852063863761137,-0.014459400276314538,0.023611760377948654
minilm,26,2,86.66799208764004,66.66027721042325,0.05127968502230153,1.0602420079685153,85.31679973379619,66.74294893205285,0.23277100613179746,1.045833505112539,-0.18149132110949595,-0.015590442576280172,0.0012401946869893266
minilm,27,0,85.24850248968802,78.14514221218509,0.19895992515823804,1.0572889219242545,84.52355444347651,75.36893986311694,0.3205709728794062,1.0402279091994475,-0.12161104772116818,-0.00850393877944311,-0.03552623068405225
minilm,27,1,85.24850248968802,78.14514221218509,0.19895992515823804,1.0572889219242545,84.59883969135089,75.33211333459622,0.312149582448245,1.0437067646966858,-0.11318965729000693,-0.007620811854328058,-0.03599748874921416
minilm,27,2,85.24850248968802,78.14514221218509,0.19895992515823804,1.0572889219242545,84.66478387007702,75.03142873653799,0.29338413253658413,1.043395477548013,-0.09442420737834609,-0.00684725951264209,-0.039845259570870484
minilm,28,0,83.12537637398204,62.843895114790186,0.09431995649271127,1.1003425565041376,82.29918892896191,65.16249668943023,0.2115218948331934,1.0597919953581498,-0.11720193834048212,-0.00993905208083623,0.03689461912577041
minilm,28,1,83.12537637398204,62.843895114790186,0.09431995649271127,1.1003425565041376,82.10106713146315,61.57932027224727,0.19381299249309938,1.0579597034988495,-0.09949303600038811,-0.012322461409503882,-0.020122477135337546
minilm,28,2,83.12537637398204,62.843895114790186,0.09431995649271127,1.1003425565041376,82.23519543001504,63.97853734510372,0.2109341826664639,1.0532278697032087,-0.11661422617375264,-0.010708895199007085,0.018054931640392402
minilm,29,0,83.03150655536929,52.12318549802156,0.036258257699267216,1.1080891282841046,81.76956554382168,54.436262088839065,0.21249751356598917,1.07412903763898,-0.17623925586672196,-0.015198339328048704,0.04437711488115581
minilm,29,1,83.03150655536929,52.12318549802156,0.036258257699267216,1.1080891282841046,81.81070144706665,54.641260260004,0.20571412490352242,1.0678566508299892,-0.1694558672042552,-0.014702914097897923,0.048310070421118345
minilm,29,2,83.03150655536929,52.12318549802156,0.036258257699267216,1.1080891282841046,81.87816426928393,53.797998320326386,0.20542925245982213,1.070338763094022,-0.16917099476055492,-0.013890417432282254,0.03213182015455285
minilm,30,0,80.29830482412173,61.119994970584926,0.07190297797227299,1.104384102703871,79.94851581072102,62.73757551451705,0.25716814557222933,1.07217851442683,-0.18526516759995634,-0.004356119524152602,0.026465652438463216
minilm,30,1,80.29830482412173,61.119994970584926,0.07190297797227299,1.104384102703871,79.67471372854916,62.91241329207335,0.26081603670049647,1.064190032051763,-0.18891305872822348,-0.007765931011101901,0.029326218406121596
minilm,30,2,80.29830482412173,61.119994970584926,0.07190297797227299,1.104384102703871,79.92342712599537,59.12465525852849,0.22997140360669338,1.0720288214815896,-0.1580684256344204,-0.004668563040620244,-0.03264626760877065
minilm,31,0,84.66405122061525,66.76344652510598,0.1271173687737516,1.0894105988485476,83.90283473813771,66.12565447987218,0.23896437102805398,1.0548342663688075,-0.11184700225430239,-0.008991023598598935,-0.009553012590414411
minilm,31,1,84.66405122061525,66.76344652510598,0.1271173687737516,1.0894105988485476,83.57514342998441,68.10845929116932,0.25021060240620985,1.0648588813596433,-0.12309323363245825,-0.012861512943591502,0.020145945664407305
minilm,31,2,84.66405122061525,66.76344652510598,0.1271173687737516,1.0894105988485476,83.6730566248414,66.98592303022002,0.25659614698087146,1.0636565168032932,-0.12947877820711987,-0.011705022160958811,0.003332310069259048
minilm,32,0,83.34973910447133,74.7935953997789,0.14202263593428432,1.078429065709169,82.66944244865135,75.00968105702358,0.2913443230538124,1.0436815121394794,-0.1493216871195281,-0.008161953032237879,0.0028890930578975293
