metric,model,field_id,first,last,change,half_sample_median_change,half_q05,half_q95,same_sign_repeats
angle_p50,minilm,22,87.66576269780171,87.58812339745224,-0.07763930034947464,-0.0847034566609608,-0.2704207580641736,0.19036341228363013,8
angle_p50,minilm,23,84.55112294496656,84.00648890313607,-0.5446340418304914,-0.5073444827636848,-1.1846956668061508,0.011562716767698232,9
angle_p50,minilm,24,79.74074076626243,81.06054032884225,1.3197995625798171,1.1493100490348667,0.8736911368234395,2.2062181687533795,10
angle_p50,minilm,25,83.50987169850038,82.3081885730735,-1.2016831254268823,-1.0538028261035919,-1.821581469205654,-0.7860143120885099,10
angle_p50,minilm,26,86.20722063028728,86.91007747612855,0.7028568458412678,0.6369606160741554,0.35495995257311747,0.8922653472422744,10
angle_p50,minilm,27,85.44884619080419,84.70746611185494,-0.7413800789492484,-0.6422325012262817,-0.9119711462219542,-0.4157571049306108,10
angle_p50,minilm,28,82.2016649233707,83.25144650166612,1.0497815782954234,1.1460937290975863,1.0159675010474927,1.614517221083865,10
angle_p50,minilm,29,84.04599639653087,81.88322157398646,-2.1627748225444066,-2.041836322057037,-2.597589088823098,-0.9778654377385588,10
angle_p50,minilm,30,80.92155735370326,79.81656538895524,-1.1049919647480237,-1.1402243712487419,-1.7432225418014844,-0.26999826843982155,9
angle_p50,minilm,31,84.14477633144139,84.8507087616669,0.7059324302255021,0.6268255298337095,0.16452442241072945,1.6137738121895089,10
angle_p50,minilm,32,84.03628795361716,81.79821275976764,-2.238075193849525,-2.1124631180195053,-2.591360690833838,-1.7506073596567953,10
angle_p50,minilm,33,85.49662493838716,83.4511075091008,-2.045517429286363,-1.788386196124243,-2.3654128469745443,-1.3360451330850083,10
angle_p50,minilm,34,78.34937320331817,78.87096728687536,0.52159408355719,0.5067396820305987,-0.04465306852483905,0.9290494098858015,9
angle_p50,minilm,35,73.17225645684276,72.34752103984316,-0.8247354169996015,-0.6165017512505528,-1.3202136240680808,-0.027443996300352547,9
angle_p50,minilm,36,82.99172045784492,82.12749567160824,-0.8642247862366759,-0.8878967618530922,-1.3618157412987244,-0.20606067809936976,10
angle_p50,pubmedbert,11,10.328973341649384,9.485061191054783,-0.8439121505946012,-0.8444960217808735,-1.0767661275488352,-0.6812510351875694,10
angle_p50,pubmedbert,12,10.539204202835874,9.909702719994737,-0.6295014828411372,-0.65483713047447,-0.8934250667268362,-0.39701222262508684,10
angle_p50,pubmedbert,13,10.288932179702824,9.835003866261896,-0.45392831344092777,-0.5126627943319493,-0.6196358266986155,-0.32916526712037286,10
angle_p50,pubmedbert,14,10.125043665721437,9.127312456530857,-0.9977312091905794,-0.9810850467191647,-1.1410520336802794,-0.8372194064285406,10
angle_p50,pubmedbert,15,9.73095013319411,9.08536404446206,-0.6455860887320508,-0.6349194305962218,-0.7448621469690073,-0.5698571202281996,10
angle_p50,pubmedbert,16,10.545037149916466,10.003453724182261,-0.5415834257342045,-0.49049295158496076,-0.6393664049682367,-0.35579619597884965,10
angle_p50,pubmedbert,17,9.910093570928394,9.430031644623561,-0.4800619263048329,-0.35492946933110936,-0.5121368044776574,-0.2501642165534885,10
angle_p50,pubmedbert,18,10.172036534986576,9.465832278734347,-0.7062042562522297,-0.6927920944047115,-0.8247172478876664,-0.5041180241003977,10
angle_p50,pubmedbert,19,10.11552295365681,9.419972118364008,-0.6955508352928028,-0.6618508473787195,-0.8365064584543047,-0.5438969791578468,10
angle_p50,pubmedbert,20,10.254395115742856,9.462281529535252,-0.7921135862076039,-0.8888111813616515,-0.9739524090981971,-0.6218309760320688,10
angle_p50,pubmedbert,21,10.541947741047245,9.379414044195366,-1.1625336968518791,-1.1768049650590786,-1.2468015250260176,-1.0841630389712775,10
angle_p50,pubmedbert,22,10.185378421211905,9.466940128765637,-0.7184382924462671,-0.7208284498678452,-0.8105784709351211,-0.5236228018821822,10
angle_p50,pubmedbert,23,10.445611439114055,9.669406133240267,-0.7762053058737877,-0.7100121665228292,-0.8667287652912086,-0.5919313666298137,10
angle_p50,pubmedbert,24,9.557120884365146,9.543632887714676,-0.01348799665047018,-0.053520945513587215,-0.22002241086261315,0.12405507828172357,6
angle_p50,pubmedbert,25,9.900568063821025,9.370005037948157,-0.5305630258728673,-0.5600538281238752,-0.7056369863410534,-0.42076172576435467,10
angle_p50,pubmedbert,26,10.551604280568325,10.510655656380806,-0.040948624187519655,-0.011328767606967105,-0.14146277602381474,0.06183387619869069,5
angle_p50,pubmedbert,27,10.14058489267473,9.754734171064388,-0.38585072161034084,-0.37228621398540085,-0.5339349515828014,-0.1655341857787118,10
angle_p50,pubmedbert,28,10.034554295122671,9.70071833748007,-0.33383595764260043,-0.3132074821040707,-0.3958153253865463,-0.1910935499514935,10
angle_p50,pubmedbert,29,10.392175415653346,9.474160444621509,-0.9180149710318375,-0.9340236404039111,-1.0763700778255905,-0.7534455031494836,10
angle_p50,pubmedbert,30,10.616237126390264,9.751224426079917,-0.8650127003103467,-0.8595491643690574,-1.0597922838123661,-0.6196063880549605,10
angle_p50,pubmedbert,31,10.013491151493866,9.813482415389984,-0.20000873610388226,-0.19880939877178694,-0.3504319699822701,-0.027436926113805674,9
angle_p50,pubmedbert,32,10.30828249887426,9.633670988879922,-0.674611509994337,-0.6199689989301911,-0.8451839010647377,-0.5659724214748002,10
angle_p50,pubmedbert,33,10.487067815224183,9.80963227444741,-0.6774355407767736,-0.6289326705960399,-0.8827493671923706,-0.5084199400998868,10
angle_p50,pubmedbert,34,9.885266780466715,9.332398494118925,-0.5528682863477901,-0.5363954805273821,-0.6327045564672746,-0.4760429815629436,10
angle_p50,pubmedbert,35,9.459425994490449,8.91517355483848,-0.5442524396519683,-0.49519407705336427,-0.658009508862542,-0.4151460830987242,10
angle_p50,pubmedbert,36,10.628477980670818,9.633062041159905,-0.995415939510913,-1.0020117307811462,-1.196018253040743,-0.8157722609984261,10
angle_p50,biobert,11,23.364289487790877,21.62500894140305,-1.7392805463878283,-1.7844075672029085,-2.212592190316627,-1.4161033946716326,10
angle_p50,biobert,12,25.67434865218027,24.25852554453291,-1.415823107647359,-1.4018097752597427,-1.729819579246366,-0.9904515178034728,10
angle_p50,biobert,13,22.57309570551144,21.112030306103666,-1.4610653994077758,-1.6776587947908332,-1.9310449951677118,-1.1957395918566207,10
angle_p50,biobert,14,24.02077050899345,21.42364447540026,-2.5971260335931916,-2.6515377000128577,-2.7415067273532427,-2.371249376054734,10
angle_p50,biobert,15,22.44569178741985,20.604938075206885,-1.8407537122129654,-1.7661298497571405,-2.1003198384117985,-1.6366350283996352,10
