metric,model,field_id,condition,reference_kind,n,reference,value,difference,relative_difference,same_ids
gap_25,biobert,17,abstract,half,1000,0.13209837253689619,0.12552851995180964,-0.00656985258508655,-0.04973454599716234,True
gap_25,biobert,18,abstract,half,1000,0.11181365687529626,0.104735671378206,-0.007077985497090267,-0.06330161891569484,True
gap_25,biobert,19,abstract,half,1000,0.10630492363755675,0.10627551135482996,-2.941228272679286e-05,-0.00027667846154589323,True
gap_25,biobert,20,abstract,half,1000,0.10163729466950312,0.09145436094829741,-0.010182933721205711,-0.10018894889241046,True
gap_25,biobert,21,abstract,half,1000,0.0316534501926952,0.03287117037541468,0.001217720182719477,0.0384703776462414,True
gap_25,biobert,22,abstract,half,1000,0.13648451744138554,0.1327622239451391,-0.0037222934962464482,-0.027272642831777747,True
gap_25,biobert,23,abstract,half,1000,0.11557327243800763,0.10805863996575679,-0.007514632472250843,-0.06502050442745418,True
gap_25,biobert,24,abstract,half,1000,0.1377703522785208,0.13875714674278283,0.0009867944642620308,0.0071626039125391545,True
gap_25,biobert,25,abstract,half,1000,0.17556601721758403,0.17360304333869725,-0.0019629738788867757,-0.01118083049326115,True
gap_25,biobert,26,abstract,half,1000,0.07873345893373448,0.0481161242042876,-0.030617334729446888,-0.3888732331093922,True
gap_25,biobert,27,abstract,half,1000,0.1917296578416673,0.1786567952317927,-0.013072862609874586,-0.0681838311142782,True
gap_25,biobert,28,abstract,half,1000,0.0961631629303001,0.09796840978462737,0.001805246854327272,0.01877274830940961,True
gap_25,biobert,29,abstract,half,1000,0.08633923448925292,0.0902158028147773,0.003876568325524382,0.04489926681023467,True
gap_25,biobert,30,abstract,half,1000,0.051967177019090045,0.05199337914787233,2.6202128782286394e-05,0.0005042053520178918,True
gap_25,biobert,31,abstract,half,1000,0.11030464334079339,0.10327843497920351,-0.007026208361589875,-0.0636982102365532,True
gap_25,biobert,32,abstract,half,1000,0.13772200347750616,0.13382749707048155,-0.0038945064070246005,-0.028278026086519154,True
gap_25,biobert,33,abstract,half,1000,0.13280880745022794,0.12899516486387724,-0.003813642586350696,-0.02871528371926625,True
gap_25,biobert,34,abstract,half,1000,0.13509311555736658,0.13616670925800511,0.001073593700638531,0.007947064483701503,True
gap_25,biobert,35,abstract,half,1000,0.1299534185852347,0.12946383545894027,-0.000489583126294435,-0.0037673739684910557,True
gap_25,biobert,36,abstract,half,1000,0.13278672390598298,0.1272017484796878,-0.005584975426295186,-0.04205974258578378,True
