panel,metric,model_a,model_b,field_rank_spearman
abstract,pr,scibert,bert,0.416068376068376
abstract,pr,scibert,mpnet,0.6102564102564102
abstract,pr,scibert,minilm,0.604102564102564
abstract,pr,scibert,pubmedbert,0.6875213675213674
abstract,pr,scibert,biobert,0.5104273504273503
abstract,pr,scibert,simcse,0.5774358974358974
abstract,pr,bert,mpnet,0.5952136752136752
abstract,pr,bert,minilm,0.7073504273504274
abstract,pr,bert,pubmedbert,0.028376068376068375
abstract,pr,bert,biobert,0.13435897435897434
abstract,pr,bert,simcse,0.9268376068376067
abstract,pr,mpnet,minilm,0.9610256410256409
abstract,pr,mpnet,pubmedbert,0.23076923076923075
abstract,pr,mpnet,biobert,0.1569230769230769
abstract,pr,mpnet,simcse,0.718974358974359
abstract,pr,minilm,pubmedbert,0.19452991452991453
abstract,pr,minilm,biobert,0.12
abstract,pr,minilm,simcse,0.7982905982905983
abstract,pr,pubmedbert,biobert,0.7251282051282051
abstract,pr,pubmedbert,simcse,0.10085470085470086
abstract,pr,biobert,simcse,0.15418803418803417
abstract,gap_25,specter,specter2,0.7846153846153845
abstract,gap_25,specter,scincl,0.7545299145299145
abstract,gap_25,specter,scibert,0.5562393162393161
abstract,gap_25,specter,bert,0.6533333333333332
abstract,gap_25,specter,mpnet,0.768205128205128
abstract,gap_25,specter,minilm,0.7558974358974359
abstract,gap_25,specter,pubmedbert,0.5179487179487179
abstract,gap_25,specter,biobert,0.49675213675213675
abstract,gap_25,specter,simcse,0.6704273504273504
abstract,gap_25,specter2,scincl,0.8823931623931623
abstract,gap_25,specter2,scibert,0.5111111111111111
abstract,gap_25,specter2,bert,0.775042735042735
abstract,gap_25,specter2,mpnet,0.9610256410256409
abstract,gap_25,specter2,minilm,0.8919658119658118
abstract,gap_25,specter2,pubmedbert,0.6464957264957265
abstract,gap_25,specter2,biobert,0.6232478632478632
abstract,gap_25,specter2,simcse,0.6799999999999999
abstract,gap_25,scincl,scibert,0.37846153846153846
abstract,gap_25,scincl,bert,0.6526495726495727
abstract,gap_25,scincl,mpnet,0.9213675213675213
abstract,gap_25,scincl,minilm,0.8721367521367521
abstract,gap_25,scincl,pubmedbert,0.49606837606837606
abstract,gap_25,scincl,biobert,0.43042735042735036
abstract,gap_25,scincl,simcse,0.5931623931623932
abstract,gap_25,scibert,bert,0.3668376068376068
abstract,gap_25,scibert,mpnet,0.442051282051282
abstract,gap_25,scibert,minilm,0.3305982905982906
abstract,gap_25,scibert,pubmedbert,0.6943589743589742
abstract,gap_25,scibert,biobert,0.7873504273504273
abstract,gap_25,scibert,simcse,0.39829059829059826
abstract,gap_25,bert,mpnet,0.7818803418803418
abstract,gap_25,bert,minilm,0.7634188034188034
abstract,gap_25,bert,pubmedbert,0.6868376068376068
abstract,gap_25,bert,biobert,0.5425641025641026
abstract,gap_25,bert,simcse,0.8242735042735042
abstract,gap_25,mpnet,minilm,0.9425641025641024
abstract,gap_25,mpnet,pubmedbert,0.5815384615384616
abstract,gap_25,mpnet,biobert,0.5364102564102563
abstract,gap_25,mpnet,simcse,0.7374358974358974
abstract,gap_25,minilm,pubmedbert,0.5405128205128205
abstract,gap_25,minilm,biobert,0.455042735042735
abstract,gap_25,minilm,simcse,0.7764102564102563
