main,alternative,comparison,unit,spearman_oriented
gap_25,connect_r90,models within Field,28,-0.5030303030303029
gap_25,connect_r90,models within Field,29,-0.6727272727272726
gap_25,connect_r90,models within Field,30,-0.8787878787878788
gap_25,connect_r90,models within Field,31,-0.5030303030303029
gap_25,connect_r90,models within Field,32,-0.8424242424242423
gap_25,connect_r90,models within Field,33,-0.7818181818181817
gap_25,connect_r90,models within Field,34,-0.7696969696969697
gap_25,connect_r90,models within Field,35,-0.5636363636363636
gap_25,connect_r90,models within Field,36,-0.8424242424242423
gap_25,mst_max_median,Fields within model,specter,0.04205128205128204
gap_25,mst_max_median,Fields within model,specter2,0.2854700854700854
gap_25,mst_max_median,Fields within model,scincl,0.41948717948717945
gap_25,mst_max_median,Fields within model,scibert,0.2608547008547008
gap_25,mst_max_median,Fields within model,bert,0.12068376068376069
gap_25,mst_max_median,Fields within model,mpnet,0.5603418803418803
gap_25,mst_max_median,Fields within model,minilm,0.5063247863247863
gap_25,mst_max_median,Fields within model,pubmedbert,-0.23623931623931624
gap_25,mst_max_median,Fields within model,biobert,0.17811965811965808
gap_25,mst_max_median,Fields within model,simcse,0.3237606837606838
gap_25,mst_max_median,models within Field,11,0.32121212121212117
gap_25,mst_max_median,models within Field,12,0.7818181818181817
gap_25,mst_max_median,models within Field,13,-0.04242424242424241
gap_25,mst_max_median,models within Field,14,0.6848484848484848
gap_25,mst_max_median,models within Field,15,-0.41818181818181815
gap_25,mst_max_median,models within Field,16,0.6242424242424242
gap_25,mst_max_median,models within Field,17,-0.11515151515151514
gap_25,mst_max_median,models within Field,18,-0.04242424242424241
gap_25,mst_max_median,models within Field,19,0.6848484848484848
gap_25,mst_max_median,models within Field,20,0.33333333333333326
gap_25,mst_max_median,models within Field,21,-0.006060606060606061
gap_25,mst_max_median,models within Field,22,-0.4545454545454545
gap_25,mst_max_median,models within Field,23,0.19999999999999998
gap_25,mst_max_median,models within Field,24,-0.006060606060606061
gap_25,mst_max_median,models within Field,25,0.24848484848484845
gap_25,mst_max_median,models within Field,26,-0.10303030303030303
gap_25,mst_max_median,models within Field,27,0.2727272727272727
gap_25,mst_max_median,models within Field,28,0.01818181818181818
gap_25,mst_max_median,models within Field,29,-0.23636363636363633
gap_25,mst_max_median,models within Field,30,0.6121212121212121
gap_25,mst_max_median,models within Field,31,-0.309090909090909
gap_25,mst_max_median,models within Field,32,0.19999999999999998
gap_25,mst_max_median,models within Field,33,0.7939393939393938
gap_25,mst_max_median,models within Field,34,-0.709090909090909
gap_25,mst_max_median,models within Field,35,-0.3939393939393939
gap_25,mst_max_median,models within Field,36,0.5515151515151515
