metric,model,field_id,field_name,kind,repeats,reference_n,reference,median,q05,q95,relative_width,relative_median_shift,passes_width,passes_shift,passes_both
pr,biobert,13,"Biochemistry, Genetics and Molecular Biology",external,5,2000,52.176354373123566,51.648734676585846,50.94664822610913,52.119198588558596,0.022472830394862794,0.010112237676948554,True,True,True
pr,biobert,14,"Business, Management and Accounting",half,20,2000,40.18684780251674,39.03537383516234,38.04142048163077,40.21399701517594,0.05406187975283567,0.028653005406467497,True,True,True
pr,biobert,14,"Business, Management and Accounting",external,5,2000,40.18684780251674,39.19311451298886,38.930470430689724,39.842847345343465,0.022703370991854772,0.024727823749979238,True,True,True
pr,biobert,15,Chemical Engineering,half,20,2000,33.8773956736257,33.1927083160389,32.54570345634118,34.04467382123376,0.04424691848610901,0.020210743593842433,True,True,True
pr,biobert,15,Chemical Engineering,external,5,2000,33.8773956736257,33.259478149342065,32.93772624902828,33.92800936259516,0.02923138257460089,0.01823981778991046,True,True,True
pr,biobert,16,Chemistry,half,20,2000,25.62944202298116,25.350397110585927,24.58149011202602,25.822426038901835,0.048418374686546174,0.010887670209324917,True,True,True
pr,biobert,16,Chemistry,external,5,2000,25.62944202298116,25.25187877887991,24.94204500067663,25.479469890774432,0.020969043712145984,0.014731621693624856,True,True,True
pr,biobert,17,Computer Science,half,20,2000,36.389306573138974,35.605121915886684,35.000148568716185,36.065019527810705,0.029263293516028754,0.021549865361576888,True,True,True
pr,biobert,17,Computer Science,external,5,2000,36.389306573138974,37.01517744758343,36.36806777383111,37.96462863942575,0.043874451478917505,0.017199307526965905,True,True,True
pr,biobert,18,Decision Sciences,half,20,2000,39.61179522908837,38.397105627886745,37.06629247438136,39.81040049543364,0.06927502288604126,0.030664846018128373,True,True,True
pr,biobert,18,Decision Sciences,external,5,2000,39.61179522908837,40.35660261735925,39.69557629622198,40.628016139069004,0.02353944923360354,0.01880266683101349,True,True,True
pr,biobert,19,Earth and Planetary Sciences,half,20,2000,32.464301807906374,31.62686671182675,30.207891443945833,32.701810029169195,0.07682033637994308,0.025795567729587646,True,True,True
pr,biobert,19,Earth and Planetary Sciences,external,5,2000,32.464301807906374,32.79631647069045,31.341325903889455,33.12044583840423,0.05480234705314028,0.01022706925128501,True,True,True
pr,biobert,20,"Economics, Econometrics and Finance",half,20,2000,38.407837736478534,37.047904109235546,34.40836135964488,39.297827596754026,0.12730386622273424,0.03540771122221668,False,True,False
pr,biobert,20,"Economics, Econometrics and Finance",external,5,2000,38.407837736478534,37.79527733186024,36.331582288449276,39.222470648757714,0.07526818823135062,0.01594883858917428,True,True,True
pr,biobert,21,Energy,half,20,2000,24.515121937317833,24.24913624162636,23.81819093650874,24.796905096219277,0.03992287544859008,0.01084986223489183,True,True,True
pr,biobert,21,Energy,external,5,2000,24.515121937317833,24.71278930852484,24.32263700607292,25.18280342111635,0.035087176692115606,0.008063079258280611,True,True,True
pr,biobert,22,Engineering,half,20,2000,42.27565075583839,40.996185887551135,39.93757121878842,41.99247796693805,0.04860733569821721,0.03026481781857748,True,True,True
pr,biobert,22,Engineering,external,5,2000,42.27565075583839,40.78912314487997,40.42317392639916,41.11949598050745,0.016470995517724327,0.03516273751866788,True,True,True
pr,biobert,23,Environmental Science,half,20,2000,39.09787464038987,38.089364064857065,37.11234959115812,39.05932999215856,0.04979760201566352,0.02579451146152497,True,True,True
pr,biobert,23,Environmental Science,external,5,2000,39.09787464038987,39.408908822589915,38.29182729216846,39.80009218793419,0.038576646675510626,0.007955270844280984,True,True,True
pr,biobert,24,Immunology and Microbiology,half,20,2000,41.391860111013386,40.45125011417668,37.36700454770066,42.68136448149883,0.12839142574276696,0.022724516228890906,False,True,False
pr,biobert,24,Immunology and Microbiology,external,5,2000,41.391860111013386,43.10529594613428,42.33606733401455,43.57396559172315,0.0299068042457755,0.04139547801247487,True,True,True
pr,biobert,25,Materials Science,half,20,2000,40.88767562376093,39.93331911843036,38.94202049672082,40.719993658506226,0.0434843295604746,0.02334093319738536,True,True,True
pr,biobert,25,Materials Science,external,5,2000,40.88767562376093,40.63178706347326,40.331140158819224,41.19796785289154,0.02120021940226351,0.006258329836166133,True,True,True
pr,biobert,26,Mathematics,half,20,2000,19.067489169665127,18.94179936583766,18.481385249088337,19.52436610678841,0.054699433597128935,0.006591838217872382,True,True,True
pr,biobert,26,Mathematics,external,5,2000,19.067489169665127,19.107766170416394,18.80102873450668,19.36155833973234,0.0293971377268392,0.0021123389866844504,True,True,True
pr,biobert,27,Medicine,half,20,2000,51.18983041419596,49.832617101085816,48.707864953133445,50.73142214696778,0.03953045316737683,0.026513338726235777,True,True,True
pr,biobert,27,Medicine,external,5,2000,51.18983041419596,49.653769989510316,46.282219776800474,50.133731637082114,0.0752397855026599,0.03000714032956952,True,True,True
pr,biobert,28,Neuroscience,half,20,2000,42.25683018743045,41.34549826050785,40.340642076579385,42.322550178218464,0.0469014853420929,0.021566499968889784,True,True,True
pr,biobert,28,Neuroscience,external,5,2000,42.25683018743045,42.15951787133913,41.7663559617529,42.79341660546884,0.024305198453372086,0.0023028777989188855,True,True,True
pr,biobert,29,Nursing,half,20,2000,39.111449146564034,38.34410042821264,37.60808936715502,38.935943220725754,0.033950515323398336,0.019619541977999165,True,True,True
pr,biobert,29,Nursing,external,5,2000,39.111449146564034,40.081213425838264,39.150383883189704,40.62943270178669,0.03781626226771814,0.024794895112175214,True,True,True
pr,biobert,30,"Pharmacology, Toxicology and Pharmaceutics",half,20,2000,34.13668566064841,33.12065009935256,31.98454989883446,34.43276756941656,0.07171808344019537,0.029763743656786863,True,True,True
pr,biobert,30,"Pharmacology, Toxicology and Pharmaceutics",external,5,2000,34.13668566064841,34.11153901340099,33.833169130211544,35.12663605397689,0.03789081742216139,0.0007366458330899405,True,True,True
pr,biobert,31,Physics and Astronomy,half,20,2000,30.42642205644668,29.865850307926795,28.9719280617261,30.736477754980307,0.05799399252336138,0.018423847124710187,True,True,True
pr,biobert,31,Physics and Astronomy,external,5,2000,30.42642205644668,29.81605708364163,29.446019323932102,30.70331019309,0.04132233710639358,0.02006035976470408,True,True,True
pr,biobert,32,Psychology,half,20,2000,38.12444684893681,37.44676148908195,35.974997331228366,39.2003511265171,0.08460067127186867,0.01777561160533301,True,True,True
