metric,model,field_id,period,value
pr,scibert,16,2015,23.519122075937865
pr,scibert,16,2020,25.321084472940797
pr,scibert,17,2000,43.97427873101691
pr,scibert,17,2005,33.038152763617084
pr,scibert,17,2010,33.46626334356513
pr,scibert,17,2015,40.5146190486602
pr,scibert,17,2020,36.573415258580994
pr,scibert,18,2000,38.64968966420666
pr,scibert,18,2005,36.36635313783474
pr,scibert,18,2010,34.85014008059155
pr,scibert,18,2015,40.55295344334227
pr,scibert,18,2020,38.52180425391015
pr,scibert,19,2000,27.336146638425742
pr,scibert,19,2005,28.828410816316634
pr,scibert,19,2010,27.074430503318677
pr,scibert,19,2015,29.873230728327734
pr,scibert,19,2020,28.63169930475855
pr,scibert,20,2000,32.2135286312152
pr,scibert,20,2005,30.437696583488325
pr,scibert,20,2010,32.03362653948327
pr,scibert,20,2015,38.120342506320654
pr,scibert,20,2020,36.31026693962264
pr,scibert,21,2000,24.896906181429625
pr,scibert,21,2005,23.35624964899775
pr,scibert,21,2010,21.702424396905734
pr,scibert,21,2015,19.095619770114162
pr,scibert,21,2020,20.27044752250971
pr,scibert,22,2000,40.372716083051756
pr,scibert,22,2005,37.18957355340737
pr,scibert,22,2010,36.15351832091354
pr,scibert,22,2015,41.48486388317378
pr,scibert,22,2020,39.274524470014626
pr,scibert,23,2000,30.58407969442063
pr,scibert,23,2005,30.586139572787914
pr,scibert,23,2010,31.890416053844927
pr,scibert,23,2015,38.91275561986045
pr,scibert,23,2020,37.792790314554566
pr,scibert,24,2000,35.5272368579727
pr,scibert,24,2005,30.789455149869813
pr,scibert,24,2010,29.300285147622798
pr,scibert,24,2015,33.166745734976146
pr,scibert,24,2020,33.52000723283333
pr,scibert,25,2000,39.407169727556514
pr,scibert,25,2005,37.05541608613829
pr,scibert,25,2010,37.04071155072475
pr,scibert,25,2015,35.351203068956124
pr,scibert,25,2020,30.510759529938362
pr,scibert,26,2000,35.404991294984505
pr,scibert,26,2005,33.68376341225251
pr,scibert,26,2010,30.37818389337493
pr,scibert,26,2015,25.78033746778711
pr,scibert,26,2020,26.887208364242447
pr,scibert,27,2000,39.0027289699215
pr,scibert,27,2005,33.856948596041285
pr,scibert,27,2010,34.76348050966287
pr,scibert,27,2015,33.71760403304272
pr,scibert,27,2020,34.88465629699561
pr,scibert,28,2000,37.72459043436791
pr,scibert,28,2005,37.28576941174942
pr,scibert,28,2010,34.82805872419826
pr,scibert,28,2015,36.1146167299857
pr,scibert,28,2020,36.92476497903435
pr,scibert,29,2000,30.854317614867977
pr,scibert,29,2005,32.06393993270502
pr,scibert,29,2010,32.595363401442974
pr,scibert,29,2015,32.70150933929486
pr,scibert,29,2020,30.32835879015153
pr,scibert,30,2000,29.139301209486995
pr,scibert,30,2005,26.783491808510757
pr,scibert,30,2010,25.129269622843495
pr,scibert,30,2015,26.567326774656348
pr,scibert,30,2020,28.131534104110862
pr,scibert,31,2000,35.99472571893639
pr,scibert,31,2005,34.524276072464396
pr,scibert,31,2010,36.36037291157588
pr,scibert,31,2015,34.72442233303037
pr,scibert,31,2020,33.55670926163718
pr,scibert,32,2000,36.114618560704706
pr,scibert,32,2005,33.491835532409524
pr,scibert,32,2010,34.837512397704096
pr,scibert,32,2015,33.02994399430828
pr,scibert,32,2020,32.61837503358684
pr,scibert,33,2000,33.27219870328448
pr,scibert,33,2005,30.035164511177392
pr,scibert,33,2010,34.75477660258524
pr,scibert,33,2015,34.86577156288178
pr,scibert,33,2020,33.13223953344961
pr,scibert,34,2000,31.678138646683987
pr,scibert,34,2005,32.930641894561916
pr,scibert,34,2010,33.42723667558362
pr,scibert,34,2015,32.30756424735199
pr,scibert,34,2020,34.33907090142032
pr,scibert,35,2000,32.249954978118936
pr,scibert,35,2005,30.054840117174688
pr,scibert,35,2010,29.68943906590589
