model,field_id,small_n,large_n,small_gap25,large_gap25,large_gap50,relative_change_fixed_k,relative_change_approximately_fixed_fraction,small_neighbor_fraction,large_neighbor_fraction
specter2,30,1000,2000,0.0774948527731015,0.06906302333580595,0.0794210043294595,-0.1088050255670947,0.024855219249175352,0.025025025025025027,0.02501250625312656
specter2,30,2000,4000,0.06906302333580595,0.043081409741439376,0.06654087800055361,-0.37620150899035903,-0.036519474726568024,0.01250625312656328,0.012503125781445362
specter2,31,500,1000,0.18238836818868362,0.06115842621360891,0.08783925386614597,-0.6646802270288446,-0.5183944308593469,0.050100200400801605,0.05005005005005005
specter2,31,1000,2000,0.06115842621360891,0.05074145015026562,0.06867337623378932,-0.17032773255086336,0.12287677243251538,0.025025025025025027,0.02501250625312656
specter2,31,2000,4000,0.05074145015026562,0.039780623293251945,0.05221952228063853,-0.21601327562681608,0.029129481439646505,0.01250625312656328,0.012503125781445362
specter2,32,500,1000,0.22490064840619836,0.15890737236394195,0.22956487681657448,-0.29343301813458716,0.020739061640907063,0.050100200400801605,0.05005005005005005
specter2,32,1000,2000,0.15890737236394195,0.12596240711647477,0.1758612565059646,-0.20732181746743678,0.10669035608488667,0.025025025025025027,0.02501250625312656
specter2,32,2000,4000,0.12596240711647477,0.09615367876763152,0.1297428614688624,-0.23664781446483277,0.03001256040535911,0.01250625312656328,0.012503125781445362
specter2,33,500,1000,0.2937382051541387,0.22586686055703398,0.29766775327217493,-0.23106066356431,0.013377722233899495,0.050100200400801605,0.05005005005005005
specter2,33,1000,2000,0.22586686055703398,0.17276970561425672,0.2271727228709259,-0.23508165302262043,0.005781557819820964,0.025025025025025027,0.02501250625312656
specter2,33,2000,4000,0.17276970561425672,0.14182148130262612,0.18225232820858545,-0.17912992443668782,0.054885910470326274,0.01250625312656328,0.012503125781445362
specter2,34,500,1000,0.12577666470871152,0.08150731869656848,0.12424624709032597,-0.3519678798501075,-0.012167738919853422,0.050100200400801605,0.05005005005005005
specter2,34,1000,2000,0.08150731869656848,0.06312373916889821,0.09037065840896066,-0.22554513903356055,0.10874286940278577,0.025025025025025027,0.02501250625312656
specter2,34,2000,4000,0.06312373916889821,0.044618268349788805,0.06198392069297495,-0.29316182885799746,-0.018056890972087115,0.01250625312656328,0.012503125781445362
specter2,35,500,1000,0.1686539282078961,0.1254044079377963,0.17110737983664714,-0.25643944810337904,0.014547254575219435,0.050100200400801605,0.05005005005005005
specter2,35,1000,2000,0.1254044079377963,0.0979516687195724,0.13365772762841416,-0.2189136703379769,0.06581363307988106,0.025025025025025027,0.02501250625312656
specter2,35,2000,4000,0.0979516687195724,0.07501982286142411,0.10084386311093405,-0.23411388655154286,0.029526749560967337,0.01250625312656328,0.012503125781445362
specter2,36,500,1000,0.29194349483760934,0.21766228683722413,0.31284059420656835,-0.25443693493394465,0.07157926015985665,0.050100200400801605,0.05005005005005005
specter2,36,1000,2000,0.21766228683722413,0.14035847921672778,0.21962173370466562,-0.355154807678314,0.00900223413028289,0.025025025025025027,0.02501250625312656
specter2,36,2000,4000,0.14035847921672778,0.10600466614064685,0.16175093598027904,-0.2447576610105268,0.15241299907873126,0.01250625312656328,0.012503125781445362
scincl,11,500,1000,0.16855696982054133,0.10540759693939732,0.1519970874999384,-0.37464705819271477,-0.09824501673371236,0.050100200400801605,0.05005005005005005
scincl,11,1000,2000,0.10540759693939732,0.07812978418569301,0.10667751327401379,-0.2587841251080538,0.012047673711284687,0.025025025025025027,0.02501250625312656
scincl,11,2000,4000,0.07812978418569301,0.060505509906446216,0.0808402766436373,-0.22557689699178923,0.034692178996708775,0.01250625312656328,0.012503125781445362
scincl,12,500,1000,0.18110658482597178,0.10658623365834022,0.1597576349477553,-0.4114723450792215,-0.11788058340745051,0.050100200400801605,0.05005005005005005
scincl,12,1000,2000,0.10658623365834022,0.0813456871102987,0.11238852190439594,-0.2368086917204479,0.05443750141931861,0.025025025025025027,0.02501250625312656
