metric,model,field_id,n,value,reference,relative_to_2000
angle_p50,scincl,19,4000,40.13203914729335,40.04006257472259,1.0022971136071306
angle_p50,scincl,20,500,40.73086644404353,40.94737106355957,0.9947126124610056
angle_p50,scincl,20,1000,40.846351200365405,40.94737106355957,0.9975329340914864
angle_p50,scincl,20,2000,40.94737106355957,40.94737106355957,1.0
angle_p50,scincl,20,4000,41.00720678633397,40.94737106355957,1.001461283623838
angle_p50,scincl,21,500,42.17140782746705,42.20127385070516,0.999292295693638
angle_p50,scincl,21,1000,42.22484276866385,42.20127385070516,1.0005584883063499
angle_p50,scincl,21,2000,42.20127385070516,42.20127385070516,1.0
angle_p50,scincl,21,4000,42.22125898427474,42.20127385070516,1.0004735670690956
angle_p50,scincl,22,500,46.71205426217018,46.84648546045484,0.9971303888229108
angle_p50,scincl,22,1000,46.694127775028875,46.84648546045484,0.9967477243185173
angle_p50,scincl,22,2000,46.84648546045484,46.84648546045484,1.0
angle_p50,scincl,22,4000,46.832905708988726,46.84648546045484,0.9997101222998344
angle_p50,scincl,23,500,42.17192583513215,42.02613392646321,1.00346907733469
angle_p50,scincl,23,1000,42.30744119645609,42.02613392646321,1.006693627124615
angle_p50,scincl,23,2000,42.02613392646321,42.02613392646321,1.0
angle_p50,scincl,23,4000,42.10409203659246,42.02613392646321,1.0018549912363022
angle_p50,scincl,24,500,40.590233182787514,40.84006697806689,0.993882630128556
angle_p50,scincl,24,1000,40.74099730894845,40.84006697806689,0.9975742040488903
angle_p50,scincl,24,2000,40.84006697806689,40.84006697806689,1.0
angle_p50,scincl,24,4000,40.80339116358272,40.84006697806689,0.9991019648791498
angle_p50,scincl,25,500,39.30967974347889,39.68690344373734,0.9904950079868733
angle_p50,scincl,25,1000,39.51845379850268,39.68690344373734,0.9957555356901686
angle_p50,scincl,25,2000,39.68690344373734,39.68690344373734,1.0
angle_p50,scincl,25,4000,39.577362109092576,39.68690344373734,0.9972398618904581
angle_p50,scincl,26,500,42.71732618882552,42.891990151846095,0.9959278186346161
angle_p50,scincl,26,1000,42.99878442723032,42.891990151846095,1.00248984192634
angle_p50,scincl,26,2000,42.891990151846095,42.891990151846095,1.0
angle_p50,scincl,26,4000,43.00116113695832,42.891990151846095,1.002545253431369
angle_p50,scincl,27,500,44.92301570497809,44.78670883194297,1.0030434670595376
angle_p50,scincl,27,1000,44.86375364847078,44.78670883194297,1.0017202607321942
angle_p50,scincl,27,2000,44.78670883194297,44.78670883194297,1.0
angle_p50,scincl,27,4000,44.77813728702638,44.78670883194297,0.9998086140924365
angle_p50,scincl,28,500,45.12529861834643,45.17331975075279,0.9989369580834147
angle_p50,scincl,28,1000,45.261133429435986,45.17331975075279,1.0019439279461353
angle_p50,scincl,28,2000,45.17331975075279,45.17331975075279,1.0
angle_p50,scincl,28,4000,45.245140109341925,45.17331975075279,1.0015898844491706
angle_p50,scincl,29,500,41.71138464747821,41.95679109761241,0.9941509718995607
angle_p50,scincl,29,1000,41.82483789917202,41.95679109761241,0.996855021678531
angle_p50,scincl,29,2000,41.95679109761241,41.95679109761241,1.0
angle_p50,scincl,29,4000,41.95528623648485,41.95679109761241,0.9999641330738556
angle_p50,scincl,30,500,40.58825598798495,40.608366950031275,0.9995047581679147
