metric,kind,model,repeat,field_rank_spearman
gap_25,external,scibert,4,0.8276923076923076
gap_25,half,bert,0,0.9528205128205127
gap_25,half,bert,1,0.9548717948717947
gap_25,half,bert,2,0.945982905982906
gap_25,half,bert,3,0.9617094017094016
gap_25,half,bert,4,0.9206837606837606
gap_25,half,bert,5,0.9104273504273502
gap_25,half,bert,6,0.8694017094017094
gap_25,half,bert,7,0.9466666666666665
gap_25,half,bert,8,0.9589743589743589
gap_25,half,bert,9,0.9254700854700854
gap_25,half,bert,10,0.9726495726495725
gap_25,half,bert,11,0.9288888888888889
gap_25,half,bert,12,0.8878632478632477
gap_25,half,bert,13,0.8871794871794871
gap_25,half,bert,14,0.9165811965811965
gap_25,half,bert,15,0.9336752136752137
gap_25,half,bert,16,0.9562393162393161
gap_25,half,bert,17,0.9206837606837606
gap_25,half,bert,18,0.922051282051282
gap_25,half,bert,19,0.9931623931623932
gap_25,external,bert,0,0.8694017094017094
gap_25,external,bert,1,0.937094017094017
gap_25,external,bert,2,0.9131623931623931
gap_25,external,bert,3,0.8728205128205128
gap_25,external,bert,4,0.9097435897435897
gap_25,half,mpnet,0,0.9883760683760683
gap_25,half,mpnet,1,0.976068376068376
gap_25,half,mpnet,2,0.9610256410256409
gap_25,half,mpnet,3,0.9808547008547008
gap_25,half,mpnet,4,0.9726495726495725
gap_25,half,mpnet,5,0.9822222222222221
gap_25,half,mpnet,6,0.9678632478632478
gap_25,half,mpnet,7,0.9726495726495725
gap_25,half,mpnet,8,0.9835897435897435
gap_25,half,mpnet,9,0.9747008547008547
gap_25,half,mpnet,10,0.9822222222222221
gap_25,half,mpnet,11,0.9808547008547008
gap_25,half,mpnet,12,0.9924786324786324
gap_25,half,mpnet,13,0.984957264957265
gap_25,half,mpnet,14,0.9767521367521367
gap_25,half,mpnet,15,0.9733333333333332
gap_25,half,mpnet,16,0.989059829059829
gap_25,half,mpnet,17,0.9617094017094016
