recipe,k,field_id,model,n,mean,median,p025,p975,min,max,positive_fraction,negative_fraction
mean,25,12,biobert,50,0.18109466666666663,0.1806977777777778,0.17330666666666678,0.1894432222222223,0.17249333333333328,0.18991999999999998,1.0,0.0
mean,25,12,simcse,50,0.10867511111111114,0.1078377777777777,0.10146244444444452,0.11749699999999999,0.10093333333333332,0.11879555555555565,1.0,0.0
mean,50,12,specter,50,-0.02428422222222222,-0.02389888888888886,-0.036673888888888916,-0.013612666666666643,-0.03966000000000003,-0.01274222222222221,0.0,1.0
mean,50,12,specter2,50,-0.059809155555555556,-0.0603833333333334,-0.06806305555555557,-0.04551600000000004,-0.07816000000000001,-0.04469333333333325,0.0,1.0
mean,50,12,scincl,50,0.016897911111111125,0.016471111111111048,0.004585055555555723,0.025357666666666608,0.003544444444444461,0.02634000000000003,1.0,0.0
mean,50,12,scibert,50,0.18147239999999998,0.18152111111111108,0.17527661111111115,0.18984083333333332,0.17491111111111113,0.19067333333333336,1.0,0.0
mean,50,12,bert,50,0.11501986666666668,0.1142555555555555,0.10678211111111113,0.12404138888888881,0.10528666666666664,0.1250755555555556,1.0,0.0
mean,50,12,mpnet,50,-0.11308946666666665,-0.11302444444444437,-0.12504549999999992,-0.10114655555555553,-0.12969333333333344,-0.09811777777777786,0.0,1.0
mean,50,12,minilm,50,-0.05751053333333333,-0.05740000000000001,-0.06815755555555555,-0.04809166666666664,-0.0696822222222222,-0.0461999999999998,0.0,1.0
mean,50,12,pubmedbert,50,0.17155484444444444,0.17092333333333337,0.163778,0.1790300555555555,0.16294666666666668,0.17980444444444443,1.0,0.0
mean,50,12,biobert,50,0.18265142222222225,0.18243888888888876,0.1769897777777778,0.18993022222222228,0.17579111111111112,0.190991111111111,1.0,0.0
mean,50,12,simcse,50,0.10457142222222224,0.10496777777777788,0.09735383333333342,0.1115839444444445,0.09497777777777772,0.11453999999999986,1.0,0.0
cls,25,12,specter,50,-0.031083466666666667,-0.03207333333333323,-0.04207833333333345,-0.02042244444444453,-0.04466666666666674,-0.019031111111111,0.0,1.0
cls,25,12,specter2,50,-0.07274346666666666,-0.07431111111111116,-0.08498100000000015,-0.05872577777777781,-0.09017777777777769,-0.0560977777777778,0.0,1.0
cls,25,12,scincl,50,-0.0028294222222222153,-0.004064444444444426,-0.01276955555555552,0.006068555555555566,-0.015142222222222168,0.007862222222222215,0.38,0.62
cls,25,12,scibert,50,0.10125582222222222,0.10121333333333332,0.09331677777777779,0.10807033333333334,0.09271999999999991,0.11206666666666676,1.0,0.0
cls,25,12,bert,50,0.0993521777777778,0.09958000000000006,0.0917512222222223,0.10819311111111114,0.08974666666666664,0.10940888888888889,1.0,0.0
cls,25,12,mpnet,50,-0.1416376,-0.1427133333333333,-0.1540415555555556,-0.12912666666666658,-0.15617777777777775,-0.1258488888888889,0.0,1.0
cls,25,12,minilm,50,-0.08481359999999999,-0.0843888888888889,-0.0938295555555554,-0.07688611111111114,-0.09398222222222219,-0.07031555555555546,0.0,1.0
cls,25,12,pubmedbert,50,0.13221626666666667,0.13204666666666665,0.12424011111111112,0.1383307777777778,0.12380000000000002,0.14132,1.0,0.0
cls,25,12,biobert,50,0.13176915555555557,0.13215333333333334,0.12326377777777774,0.1407847777777779,0.1218933333333333,0.1417155555555556,1.0,0.0
cls,25,12,simcse,50,0.059599200000000005,0.059968888888888905,0.05146833333333338,0.06829522222222223,0.05130222222222225,0.07152888888888886,1.0,0.0
sep,25,12,specter,50,-0.01761902222222221,-0.018175555555555556,-0.028357444444444463,-0.007495000000000044,-0.031657777777777785,-0.005662222222222235,0.0,1.0
sep,25,12,specter2,50,-0.059036533333333335,-0.06003555555555562,-0.07082055555555565,-0.045497333333333334,-0.07741333333333333,-0.04281333333333337,0.0,1.0
sep,25,12,scincl,50,0.012119822222222229,0.011791111111111086,0.001870111111111192,0.021000333333333353,-0.0011333333333332085,0.024071111111111265,0.98,0.02
