design,grouping,model_a,model_b,n,mean,median,p025,p975,min,max
size128_subfield183,random,specter2,bert,50,0.589177373795687,0.5893400315078585,0.5486700370985294,0.6336441473714384,0.5475416267926055,0.6435031753085346
size128_subfield183,random,specter2,mpnet,50,0.6766584681328848,0.6768928639913003,0.6562291294932203,0.6971744082651622,0.6534841136186943,0.7004637896510965
size128_subfield183,random,specter2,minilm,50,0.6063595809968332,0.6094336817475994,0.5763586475978816,0.6345654723018808,0.5684612754917344,0.6371746711460394
size128_subfield183,random,specter2,pubmedbert,50,0.5210716408537144,0.5222688034323761,0.48589860508522154,0.5619120595172012,0.4738468799108783,0.569753865571095
size128_subfield183,random,specter2,biobert,50,0.5589365911239473,0.5590047062352694,0.5257492395897926,0.5991943518812165,0.5238809770768647,0.6016425325036426
size128_subfield183,random,specter2,simcse,50,0.5417320721816459,0.5397893771869864,0.5028006875629467,0.5825152763358998,0.498680899948419,0.5988664624176334
size128_subfield183,random,scincl,scibert,50,0.5390788331933016,0.536181843312267,0.4936493130572926,0.5765409416009564,0.48770321765118557,0.5820278060206338
size128_subfield183,random,scincl,bert,50,0.6039505427184709,0.5994544823906848,0.5743159880727868,0.6491039165777239,0.5672007538615107,0.6634764967625761
size128_subfield183,random,scincl,mpnet,50,0.6974186290661903,0.6965276223852834,0.677246660066361,0.718301080559679,0.6695824006204226,0.7276067907093664
size128_subfield183,random,scincl,minilm,50,0.6331969972210493,0.6342815435155866,0.6031469134780713,0.6561197311226186,0.5969543094710249,0.662234765991206
size128_subfield183,random,scincl,pubmedbert,50,0.5210066905799964,0.5159090965835513,0.4871012179631826,0.56236760451392,0.4698105490435535,0.5681625985091656
size128_subfield183,random,scincl,biobert,50,0.5587754684072648,0.5540781531637621,0.5284536398413502,0.5951374815025599,0.5219397867290428,0.6023054044338115
size128_subfield183,random,scincl,simcse,50,0.5620567433535097,0.5556538088719656,0.5290808318812814,0.6056429709532334,0.5213281029835651,0.619077332151389
size128_subfield183,random,scibert,bert,50,0.714987657675529,0.7175057767235078,0.6836042216393733,0.7388294823108573,0.6725276346478869,0.7526068643206979
size128_subfield183,random,scibert,mpnet,50,0.49106896559788604,0.4945776992366344,0.4538430603860481,0.5294622676671302,0.43439074708932235,0.5363520187549042
size128_subfield183,random,scibert,minilm,50,0.450415905803917,0.4507481453508018,0.4121505293847803,0.4903615469655491,0.39323134770699214,0.49359297996779916
size128_subfield183,random,scibert,pubmedbert,50,0.8292460027128253,0.829580015288804,0.810161623584126,0.8478291963236687,0.80778934011034,0.8655295758699367
size128_subfield183,random,scibert,biobert,50,0.8157483765560702,0.8144173431290737,0.7916901306608521,0.8338861475872942,0.7896027899188016,0.8343790237050904
size128_subfield183,random,scibert,simcse,50,0.6193705695571348,0.6210402156642085,0.5739223341552958,0.6580270977319894,0.5730347523112023,0.6714685066100663
size128_subfield183,random,bert,mpnet,50,0.5587844983904483,0.5562059706756797,0.5230518478723868,0.5992577051777636,0.5175876974079838,0.6072145018583435
size128_subfield183,random,bert,minilm,50,0.5239441545383907,0.5196688241957277,0.49091978053309543,0.5642532202179407,0.4752774227058893,0.5684133132926243
size128_subfield183,random,bert,pubmedbert,50,0.7482440674743449,0.7474695539343161,0.7201365257436709,0.7780355874285279,0.7147570038842205,0.7937713104731464
size128_subfield183,random,bert,biobert,50,0.7831404041443125,0.7832900954857629,0.7619127566705218,0.806064670596316,0.7510868597668481,0.8159322045841368
size128_subfield183,random,bert,simcse,50,0.8065696703455519,0.8058240581468853,0.7805054947871192,0.8332530110254762,0.7754039902836964,0.8362936839517473
size128_subfield183,random,mpnet,minilm,50,0.7436274828773152,0.7435090584102382,0.7220428073645505,0.7590735333108184,0.7163870098721564,0.7591653149021138
size128_subfield183,random,mpnet,pubmedbert,50,0.46597396049826023,0.4655343693463436,0.42440132634824185,0.5001866230959008,0.4179201140051667,0.501207230057424
size128_subfield183,random,mpnet,biobert,50,0.506839917706892,0.5069580270387836,0.47196524083376,0.5426456158313527,0.4593376716662855,0.5531869597713669
size128_subfield183,random,mpnet,simcse,50,0.539364133813197,0.5392708209236821,0.5013995814673785,0.5830367456251263,0.49979882313872964,0.5901591864918979
size128_subfield183,random,minilm,pubmedbert,50,0.42380833818344776,0.4224049374791255,0.3816949104953989,0.4574267864938783,0.3766488516566159,0.46807088490012505
size128_subfield183,random,minilm,biobert,50,0.4651638629151113,0.46369792939134863,0.42948920164465176,0.5028659600188187,0.42322227900609954,0.5087002556455466
size128_subfield183,random,minilm,simcse,50,0.5260587298972402,0.5238248099046965,0.48743594503301124,0.5630580226327337,0.46668133663011085,0.5711342428170898
