recipe,k,field_id,n,mean,median,p025,p975,min,max,positive_fraction
cls,25,32,50,-0.0310261688888889,-0.03060022222222225,-0.03591835555555551,-0.02666502222222208,-0.03689511111111132,-0.024819555555555484,0.0
sep,25,32,50,-0.01721778666666664,-0.01702666666666669,-0.02346505555555536,-0.012171133333333278,-0.02404133333333336,-0.011192888888888808,0.0
mean,10,33,50,0.04447471111111111,0.04418722222222227,0.0378053055555556,0.05106905555555555,0.03370888888888879,0.05158111111111119,1.0
mean,25,33,50,0.04130721777777779,0.04140422222222234,0.033439777777777666,0.04735771111111111,0.031645333333333414,0.0478328888888887,1.0
mean,50,33,50,0.0367454711111111,0.03694844444444434,0.030111361111111144,0.04196669444444436,0.028966222222222338,0.04437222222222237,1.0
cls,25,33,50,0.0010994311111110955,0.0017646666666666921,-0.0060908111111112355,0.006776299999999987,-0.008841333333333257,0.007560888888888728,0.62
sep,25,33,50,0.002690631111111108,0.0027715555555554716,-0.00527534444444446,0.007988922222222245,-0.005682222222222366,0.009539111111111054,0.82
mean,10,34,50,0.0043348666666666764,0.004604999999999915,-0.0028077499999997727,0.009152638888888794,-0.005789999999999962,0.011186666666666678,0.92
mean,25,34,50,-0.0064063111111111026,-0.005679333333333314,-0.013390577777777654,-0.002017166666666643,-0.013805777777777917,-0.001613777777777825,0.0
mean,50,34,50,-0.01585744444444442,-0.015161444444444394,-0.02224231666666667,-0.011882699999999882,-0.023224000000000022,-0.011578444444444447,0.0
cls,25,34,50,-0.057832186666666646,-0.05777755555555558,-0.062400044444444414,-0.05344687777777771,-0.06303022222222221,-0.053299111111111075,0.0
sep,25,34,50,-0.04161204444444445,-0.04123044444444446,-0.04784100000000004,-0.036980122222222224,-0.04867822222222218,-0.036660444444444495,0.0
mean,10,35,50,0.019512177777777792,0.019496666666666662,0.01156694444444451,0.027224999999999975,0.009148888888888984,0.028859999999999997,1.0
mean,25,35,50,0.016737688888888894,0.01687733333333341,0.009151911111111202,0.023388977777777598,0.007240444444444383,0.024752888888888824,1.0
mean,50,35,50,0.012269813333333324,0.01192688888888882,0.0052297000000001235,0.019071605555555576,0.0037255555555554265,0.01970800000000006,1.0
cls,25,35,50,-0.043685555555555595,-0.04372422222222222,-0.05054568888888892,-0.0378400888888888,-0.05241422222222225,-0.035865777777777885,0.0
sep,25,35,50,-0.02396125333333335,-0.02394444444444449,-0.031660400000000186,-0.017570444444444465,-0.03229066666666658,-0.0164604444444445,0.0
mean,10,36,50,0.014460622222222195,0.014396111111111054,0.008384861111111147,0.021652111111111004,0.0049944444444444125,0.023323333333333363,1.0
mean,25,36,50,0.009431937777777765,0.009578222222222155,0.0034808555555554898,0.016610888888888942,0.0015751111111109717,0.01685644444444445,1.0
mean,50,36,50,0.004593417777777758,0.004741777777777734,-0.0009457000000000326,0.01216403888888881,-0.00405622222222235,0.013011111111111195,0.9
cls,25,36,50,-0.032867297777777804,-0.03324777777777782,-0.03906423333333327,-0.02725568888888906,-0.03918177777777798,-0.026680888888888865,0.0
sep,25,36,50,-0.024540995555555566,-0.02425022222222223,-0.03095810000000003,-0.018501855555555512,-0.031711555555555715,-0.018224888888888735,0.0
