omitted_field,model_a,model_b,n,mean,median,p025,p975,min,max,largest_absolute_change
19,mpnet,biobert,51,0.002334009655974821,0.0023164127212502716,0.0012624606850709374,0.0034808973136082055,0.0008919738030890301,0.0036374200291917624,0.0036374200291917624
19,mpnet,simcse,51,0.004468314690147299,0.0043827945937339186,0.003454640054353808,0.0056342268176499954,0.003306967299378294,0.005718793327747718,0.005718793327747718
19,minilm,pubmedbert,51,0.0036345200565934014,0.00365044527972469,0.0019131617030325454,0.005012520667509707,0.0016833669611984181,0.005651806173033624,0.005651806173033624
19,minilm,biobert,51,0.003381578707644509,0.0034240226995023715,0.0019393186158979114,0.0046630929161981804,0.0017383242758969297,0.005017707952747252,0.005017707952747252
19,minilm,simcse,51,0.004685428997875124,0.004614368017660686,0.0037521978514821752,0.005741559744345065,0.003614365834830102,0.006214566867928539,0.006214566867928539
19,pubmedbert,biobert,51,7.093119341726978e-05,2.5986658753973657e-05,-0.00013938644979091808,0.00033913203207941445,-0.00014730615136326897,0.0004944598047154081,0.0004944598047154081
19,pubmedbert,simcse,51,0.0036440315734073375,0.0036976833175480506,0.0019016752714866303,0.004924992953744073,0.0016330696909688802,0.005839791554617002,0.005839791554617002
19,biobert,simcse,51,0.0021431511172029204,0.0021668346238702396,0.0009625550300783048,0.0031281618554259982,0.0007483103294809723,0.003317983539141811,0.003317983539141811
20,specter,specter2,51,-0.0011862029466413971,-0.0011396773005165617,-0.001845924043397229,-0.0005687790490679079,-0.0022406706456234993,-0.00044662433516251543,0.0022406706456234993
20,specter,scincl,51,-0.0021520762094757815,-0.002134894264103515,-0.0026099876412506162,-0.001634602132862789,-0.002645710734231921,-0.0015859761464762645,0.002645710734231921
20,specter,scibert,51,-0.0013841210765698241,-0.0014816052452363282,-0.002568742100573368,3.406059515945192e-05,-0.0032640605947679147,0.0003088111829385731,0.0032640605947679147
20,specter,bert,51,-0.0038485211905617345,-0.003850729347458781,-0.0046638232542445535,-0.0027733474603698627,-0.005989554694627475,-0.002502451391529492,0.005989554694627475
20,specter,mpnet,51,0.0001366475273179383,5.8658087500718104e-05,-0.0008007351344995195,0.0010689118775075168,-0.0009119308260239212,0.0015054963642662234,0.0015054963642662234
20,specter,minilm,51,-3.424978295933607e-05,-0.0001489948970562205,-0.0010970937437915218,0.0013850065316954596,-0.0013368288754048718,0.0014868162042327437,0.0014868162042327437
20,specter,pubmedbert,51,-0.0060492030134279935,-0.006113262760337523,-0.007582872522839484,-0.004500817593994844,-0.009067949561419097,-0.004453302837155726,0.009067949561419097
20,specter,biobert,51,-0.004967415247891974,-0.005059869998550459,-0.006366711598777192,-0.003556590667973314,-0.007620524411176111,-0.0034745421130678578,0.007620524411176111
20,specter,simcse,51,-0.005833800125601203,-0.0058323630516143865,-0.006972789711571448,-0.00475032811092535,-0.007075921082584369,-0.004529338317234011,0.007075921082584369
