representation,metric,cutoff,field_a,field_b,model,direction,smallest_relative_difference,largest_relative_difference
global_centered,angle_p50,0.0,21,24,scibert,-1,-0.05323001539319894,-0.043612512605695444
global_centered,angle_p50,0.0,21,24,bert,-1,-0.17675508667663054,-0.15564952373072533
global_centered,angle_p50,0.0,21,24,mpnet,-1,-0.038504687618245347,-0.027659009952985283
global_centered,angle_p50,0.0,21,24,minilm,-1,-0.04196703600272709,-0.031790763418073444
global_centered,angle_p50,0.0,21,24,pubmedbert,-1,-0.08951130018203453,-0.0750927169659115
global_centered,angle_p50,0.0,21,24,biobert,-1,-0.08532677267954557,-0.07390223726896371
global_centered,angle_p50,0.0,21,24,simcse,-1,-0.06269304735363246,-0.0487363478335738
global_centered,angle_p50,0.0,21,25,specter,-1,-0.0571880813009675,-0.042101008102002145
global_centered,angle_p50,0.0,21,25,specter2,-1,-0.016112745337009442,-0.005851562113924692
global_centered,angle_p50,0.0,21,25,scincl,-1,-0.035015257611963474,-0.0212018992927054
global_centered,angle_p50,0.0,21,25,scibert,-1,-0.05934913956552748,-0.04908177723125407
global_centered,angle_p50,0.0,21,25,bert,-1,-0.14130955564985198,-0.1233963471190965
global_centered,angle_p50,0.0,21,25,mpnet,-1,-0.03727465550072444,-0.02952641834411129
global_centered,angle_p50,0.0,21,25,minilm,-1,-0.022844368083698944,-0.014671375944413126
global_centered,angle_p50,0.0,21,25,pubmedbert,-1,-0.07301114702323185,-0.061310024585517896
global_centered,angle_p50,0.0,21,25,biobert,-1,-0.06864600824102891,-0.05747031054851629
global_centered,angle_p50,0.0,21,25,simcse,-1,-0.07506565044609056,-0.0633725044309454
global_centered,angle_p50,0.0,21,26,specter,-1,-0.05819004316266638,-0.03911758608144764
global_centered,angle_p50,0.0,21,26,specter2,0,-0.014823680727655305,0.0015855241037037308
global_centered,angle_p50,0.0,21,26,scincl,-1,-0.03370754245224162,-0.013786598781165832
global_centered,angle_p50,0.0,21,26,scibert,-1,-0.07779855458906634,-0.06377997573641882
global_centered,angle_p50,0.0,21,26,bert,-1,-0.2370555351293699,-0.1986588755980146
global_centered,angle_p50,0.0,21,26,mpnet,1,0.005021591987041664,0.012423972171536025
global_centered,angle_p50,0.0,21,26,minilm,0,-0.0002188262870055463,0.007231373836497969
global_centered,angle_p50,0.0,21,26,pubmedbert,-1,-0.17575022087449874,-0.14609248752870346
global_centered,angle_p50,0.0,21,26,biobert,-1,-0.18017300614253431,-0.14931887304427932
global_centered,angle_p50,0.0,21,26,simcse,-1,-0.09489986667959491,-0.07737704291445498
global_centered,angle_p50,0.0,21,27,specter,1,0.028580193609505058,0.04116819435868509
global_centered,angle_p50,0.0,21,27,specter2,1,0.030565391366211368,0.038049364433595856
global_centered,angle_p50,0.0,21,27,scincl,1,0.03026914127978607,0.04348141212570226
global_centered,angle_p50,0.0,21,27,scibert,-1,-0.010961321003309791,-0.003022884204634308
global_centered,angle_p50,0.0,21,27,bert,-1,-0.07593006409649154,-0.05947233899784152
global_centered,angle_p50,0.0,21,27,mpnet,1,0.019079179803273526,0.025343606079939154
global_centered,angle_p50,0.0,21,27,minilm,1,0.012382099881722487,0.019007077879928478
global_centered,angle_p50,0.0,21,27,pubmedbert,-1,-0.04770285150689598,-0.03692783202453522
global_centered,angle_p50,0.0,21,27,biobert,-1,-0.038455255192111966,-0.02772579017468673
global_centered,angle_p50,0.0,21,27,simcse,-1,-0.04008571188216166,-0.029812841706800854
global_centered,angle_p50,0.0,21,28,specter,0,-0.00021301157043446736,0.012204225174739812
global_centered,angle_p50,0.0,21,28,specter2,0,-0.0022193947966748797,0.006234332606015986
global_centered,angle_p50,0.0,21,28,scincl,1,0.005464414712946449,0.017821972912147748
global_centered,angle_p50,0.0,21,28,scibert,-1,-0.01444000816604319,-0.0049841385794091335
global_centered,angle_p50,0.0,21,28,bert,-1,-0.06091728484397747,-0.04186459123997248
global_centered,angle_p50,0.0,21,28,mpnet,-1,-0.01157931569679293,-0.0036505387281035966
global_centered,angle_p50,0.0,21,28,minilm,-1,-0.017688449857294883,-0.010952539860796862
global_centered,angle_p50,0.0,21,28,pubmedbert,-1,-0.027612890133404296,-0.016573654818768588
global_centered,angle_p50,0.0,21,28,biobert,-1,-0.025475332666745877,-0.015507804408494606
global_centered,angle_p50,0.0,21,28,simcse,-1,-0.031610624773788065,-0.01698793348264301
global_centered,angle_p50,0.0,21,29,specter,1,0.022182427481481394,0.03986289540136799
global_centered,angle_p50,0.0,21,29,specter2,1,0.024590196422707277,0.03358211974218684
global_centered,angle_p50,0.0,21,29,scincl,1,0.017350395453047018,0.03323768115835699
global_centered,angle_p50,0.0,21,29,scibert,1,0.004540989026123183,0.010223958720996665
global_centered,angle_p50,0.0,21,29,bert,0,-0.0029447157916668654,0.008276816191913575
global_centered,angle_p50,0.0,21,29,mpnet,0,-0.002780487108898839,0.006942076650642907
global_centered,angle_p50,0.0,21,29,minilm,1,0.002425292655124854,0.01176309544605029
global_centered,angle_p50,0.0,21,29,pubmedbert,-1,-0.025197136974827037,-0.01102279742451551
global_centered,angle_p50,0.0,21,29,biobert,0,-0.007659398202720496,0.0011110147150557028
global_centered,angle_p50,0.0,21,29,simcse,0,-0.0023463946966143824,0.007598598030113146
global_centered,angle_p50,0.0,21,30,specter,1,0.006093858146816251,0.022941775598085988
global_centered,angle_p50,0.0,21,30,specter2,-1,-0.014383488557586099,-0.0035863642132151125
global_centered,angle_p50,0.0,21,30,scincl,0,-0.009691439222321793,0.008234174513491796
global_centered,angle_p50,0.0,21,30,scibert,0,-0.004708313202482404,0.004242515675083331
global_centered,angle_p50,0.0,21,30,bert,-1,-0.04573466050686768,-0.029824677700234573
global_centered,angle_p50,0.0,21,30,mpnet,-1,-0.039155621064799424,-0.025904230138145502
global_centered,angle_p50,0.0,21,30,minilm,-1,-0.03112747398958522,-0.020581027682460864
