scope,k,field_id,n,mean,median,p025,p975,min,max
all,10,35,225,0.3037909367068865,0.24557956777996048,0.03667855418976518,0.9188966420522537,0.0,1.179410294852573
all,25,35,225,0.4152336208662599,0.3398821218074666,0.0815834085385636,1.2510805500982338,0.0555023923444975,1.5572213893053466
all,50,35,225,0.4806760063223216,0.3978010994502734,0.09610437954146178,1.582208895552224,0.06562193927521776,1.886056971514244
1024,10,35,225,0.01866666666666675,0.0,-1.0399999999999976,1.200000000000001,-1.5000000000000013,2.100000000000002
1024,25,35,225,0.13902222222222227,0.040000000000001146,-0.671999999999997,1.1999999999999977,-0.9599999999999997,2.04
1024,50,35,225,0.1551111111111108,0.08000000000000229,-0.5360000000000043,1.1880000000000015,-0.7800000000000029,2.0400000000000027
2048,10,35,90,0.42333333333333345,0.40000000000000036,-0.7775000000000006,1.6000000000000008,-1.200000000000001,2.100000000000002
2048,25,35,90,0.3680000000000002,0.3200000000000022,-0.23099999999999676,1.2530000000000017,-0.6000000000000005,1.36
2048,50,35,90,0.21244444444444477,0.18000000000000238,-0.38000000000000256,0.8064999999999982,-0.5000000000000004,0.9599999999999997
all,10,36,225,0.5913541241507015,0.5356156819436686,0.04455997029335412,1.3635382955771314,0.010030090270812808,1.7393705135284376
all,25,36,225,0.7683534375211054,0.6740220661985957,0.0799108800594106,1.872276159654801,0.04753063497957566,2.4053009387078967
all,50,36,225,0.9206855183012227,0.8094975151849759,0.09119940586706621,2.339039204859194,0.03787597474934623,3.1065709552733303
1024,10,36,225,0.271111111111111,0.30000000000000027,-1.6000000000000014,2.1400000000000015,-2.599999999999991,2.899999999999997
1024,25,36,225,0.4720000000000001,0.40000000000000036,-0.7199999999999984,2.055999999999999,-1.6799999999999982,2.9200000000000004
1024,50,36,225,0.4457777777777775,0.379999999999997,-0.8880000000000021,1.9159999999999997,-0.9800000000000031,2.300000000000002
2048,10,36,45,-0.14666666666666672,-0.10000000000000009,-0.7899999999999957,0.30000000000000027,-0.8000000000000007,0.40000000000000036
