scope,k,model_a,model_b,n,mean,median,p025,p975,min,max
all,50,specter2,pubmedbert,130,1.6444632251842857,1.4124855090966197,0.3133123379052423,4.087126395723904,0.2657688169900779,4.680727272727273
all,10,specter2,biobert,130,1.038459289952828,0.9408017707820946,0.19774663402525608,2.3629208151952863,0.18404907975460294,2.532588454376164
all,25,specter2,biobert,130,1.3796069028745708,1.20435803179946,0.2671963292820824,3.2218382593563377,0.22274657857480062,3.3970326409495573
all,50,specter2,biobert,130,1.6958432263106873,1.4633714171537249,0.33879523948861584,4.079446272295542,0.2949380165289256,4.488087572440436
all,10,specter2,simcse,130,0.7934936929014604,0.7053863605013928,0.14772383610223994,2.0949488965638343,0.07550731477111716,2.2552574329224084
all,25,specter2,simcse,130,1.0646316436742744,0.919882266040406,0.21535940612843024,2.730249439561612,0.14965932183129554,3.1127272727272723
all,50,specter2,simcse,130,1.3208256657642001,1.1468529818025375,0.24840109370276373,3.8936463820510614,0.16862573215922216,4.3447272727272725
all,10,scincl,scibert,130,0.8319803270146431,0.659226302692105,0.2145036400531075,2.218750432853343,0.19828040007018877,3.248730964467006
all,25,scincl,scibert,130,1.0903709504928398,0.8626739556572866,0.28803248101934065,3.1286208742456063,0.23221899031756754,4.3248730964467015
all,50,scincl,scibert,130,1.3229437676432627,1.052049761407467,0.36057588204875396,4.057734888900944,0.267282942184327,5.24699221514508
all,10,scincl,bert,130,0.795589493918851,0.6398294125077433,0.20192210198770266,1.8358397712078431,0.16296768538072298,2.84263959390863
all,25,scincl,bert,130,1.0588331566623388,0.8342995568232827,0.26988913917508256,2.7485806744036485,0.1832888393035026,3.805656272661348
all,50,scincl,bert,130,1.32951591511392,1.0555475512023265,0.34247173009413895,3.8097388132363044,0.21436825118540115,5.009454545454547
all,10,scincl,mpnet,130,0.7711545293664094,0.5793476821679217,0.20121507085921378,2.3067467072963455,0.018876828692782066,3.2052211747643167
all,25,scincl,mpnet,130,0.8865742929829824,0.7355805082315175,0.21149893168975503,3.000677696010624,0.1515002459419601,3.3092710544939896
all,50,scincl,mpnet,130,0.9567920700111983,0.7899522140278059,0.1846855463193836,3.5045220962908865,0.14685990338164645,4.006693440428377
all,10,scincl,minilm,130,0.6970860702779396,0.563190405779429,0.15561792975679056,2.109895150466642,0.11756448499736782,2.668600435097895
all,25,scincl,minilm,130,0.8070581708395816,0.672864744593199,0.20668932144470478,2.6787304616620515,0.14953271028037007,3.382160986221905
all,50,scincl,minilm,130,0.930291064736791,0.735148125319271,0.19458591959136906,3.6258966618954025,0.07575012297098005,4.114575779550394
all,10,scincl,pubmedbert,130,0.7905448541637361,0.6694912696376578,0.2045404392314928,1.9801223719828598,0.18073346201087914,2.5090909090909106
all,25,scincl,pubmedbert,130,1.058992124515874,0.8470527140998683,0.2998112570107326,2.769572630143212,0.2409849782842588,3.6596363636363622
all,50,scincl,pubmedbert,130,1.3190197213702073,1.020357635921701,0.3396419351184993,3.6981457784882608,0.2621827310037045,4.808727272727273
all,10,scincl,biobert,130,0.8132033222465938,0.6886961110720097,0.21666952833914177,2.0879926554732537,0.18853305785123953,2.367620206938528
all,25,scincl,biobert,130,1.0871921517215413,0.8930060490926373,0.29153978515906753,2.9126712664726453,0.25936535918906767,3.4662799129804216
all,50,scincl,biobert,130,1.3617967394974237,1.0770289268765763,0.36311003933196856,3.7111841563861407,0.30362194684623867,4.73036093418259
all,10,scincl,simcse,130,0.6550608106237163,0.5332685052023972,0.1353663506673436,1.6923989518680769,0.11355938956847389,2.342277012327773
all,25,scincl,simcse,130,0.8713049329993546,0.6810293693427172,0.21356340230918813,2.3460630243661895,0.14519663704825325,3.5329949238578684
all,50,scincl,simcse,130,1.1134088954232442,0.8882675999375353,0.24767764457451158,3.56190589096087,0.16480057377375873,4.574329224075418
all,10,scibert,bert,130,0.27190346762087003,0.14906669080686497,-0.009282641225040328,1.2334337349397555,-0.03383276945383984,1.646120377084842
all,25,scibert,bert,130,0.3667614796146171,0.19620595662805662,0.0330855496098198,1.7470896496707564,-0.022460080715919206,2.378535170413343
all,50,scibert,bert,130,0.44236966869390604,0.21689961689284332,0.04255712213019888,2.1699503023251383,0.03209060877772396,2.6530909090909107
all,10,scibert,mpnet,130,0.7380767705234673,0.5715806200959226,0.15914105512513857,2.005714722406685,0.14344343945491417,3.0836363636363635
all,25,scibert,mpnet,130,0.9780150158322555,0.7250800006305458,0.21817358117038443,3.0499325483949056,0.1859983264932058,3.898181818181823
all,50,scibert,mpnet,130,1.1934737122611987,0.8895311176406393,0.29990708926442666,3.7201278822092414,0.2053631908196185,4.618542108987967
all,10,scibert,minilm,130,0.6130074648657391,0.4459847854298371,0.12028705748350484,1.8226316025255862,0.07496251874062887,2.7563636363636372
all,25,scibert,minilm,130,0.7963471508531282,0.5577434690808014,0.1656302487214019,2.5301020781990387,0.14439972905128107,3.4961075725406907
all,50,scibert,minilm,130,0.9883057929106317,0.720580573540705,0.21714329558637488,3.231663464331676,0.1594612901940462,4.6047860768672955
all,10,scibert,pubmedbert,130,0.3285634546001225,0.19777519492776285,0.006008648323043847,1.2117943158024431,-0.047483380816715215,1.9289340101522834
all,25,scibert,pubmedbert,130,0.380845535289539,0.20226216691560106,0.025398367100789576,1.6567457515081023,0.013725490196070389,2.301090909090908
all,50,scibert,pubmedbert,130,0.4498465539625076,0.23597754282469463,0.04036405594338155,1.954040989441435,0.02596946832778002,2.6167272727272817
all,10,scibert,biobert,130,0.35412918852573483,0.20819656367646877,0.012862453124514867,1.4632627676644716,-0.0048709206039943,1.8188251946213707
all,25,scibert,biobert,130,0.4396551892542887,0.23148774978528075,0.03974133089989729,1.8372084789323038,-0.0007018775223743834,2.526468455402464
all,50,scibert,biobert,130,0.5229424490055523,0.2664268876318432,0.06852261877515031,2.4533614661493583,0.04064272211720121,2.7802755620014494
all,10,scibert,simcse,130,0.3464706168423293,0.1940004364209602,0.024924593928858096,1.4396060606801273,-0.0236294896030248,1.7621464829586653
all,25,scibert,simcse,130,0.45960000283585295,0.25382549311584734,0.05421058202278388,2.0420661275781895,0.0018903591682439824,2.6181818181818195
all,50,scibert,simcse,130,0.5660818605141993,0.30483758949751416,0.06822903271041993,2.4666987434818206,0.042533081285445196,3.3952139231327063
all,10,bert,mpnet,130,0.7870995272016238,0.5888772614759202,0.15591101267764015,2.420951499839874,0.10382255781028749,2.9877656149388283
all,25,bert,mpnet,130,1.0308081420007131,0.7794709600333336,0.22179589760002485,3.202121560766545,0.16607562656891228,4.0901481004507385
all,50,bert,mpnet,130,1.2683656237822059,0.9815454710906668,0.29535420218614467,4.205261992590744,0.18352791170259397,4.782545454545456
all,10,bert,minilm,130,0.6669568742018557,0.49976403747676035,0.1430672448594869,1.940244358421678,0.10798103358967137,2.5018129079042772
all,25,bert,minilm,130,0.8758686524590248,0.6276837088135062,0.18166790804095695,2.8021598132286725,0.13643064908156338,3.5636363636363604
